# Copper example                                                 Feff 8.50L  
# POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.449 Rnm= 1.502 K  shell
# Pot 1 Z=29 Rmt= 1.354 Rnm= 1.391
# Gam_ch=1.729E+00 H-L exch
# Mu=-7.964E+00 kf=1.982E+00 Vint=-1.706E+01 Rs_int= 1.830
# PATH  Rmax= 5.200,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.5527
#           2       0.00000     22.76      6.00     2   3.6100
#           3       0.00000     10.17     48.00     3   3.8290
#           4       0.00000      7.08     48.00     3   4.3577
#           5       0.00000     54.83     24.00     2   4.4213
#           6       0.00000     10.81     48.00     3   4.7633
#           7       0.00000     16.60     96.00     3   4.7633
#           8       0.00000     18.70     12.00     2   5.1053
#           9       0.00000      8.30     12.00     3   5.1053
#          10       0.00000     41.38     24.00     3   5.1053
#          11       0.00000      9.43     12.00     4   5.1053
#          14       0.00000     33.79     12.00     4   5.1053
#    12/  13 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000   -2.550338E-01  2.976374E-01 -2.112444E+00
     0.0500   -2.559418E-01  2.979982E-01 -2.108533E+00
     0.1000   -2.568495E-01  2.983574E-01 -2.104598E+00
     0.1500   -2.596285E-01  2.994376E-01 -2.092334E+00
     0.2000   -2.623943E-01  3.004999E-01 -2.079878E+00
     0.2500   -2.670857E-01  3.022299E-01 -2.057847E+00
     0.3000   -2.716854E-01  3.038950E-01 -2.035374E+00
     0.3500   -2.780787E-01  3.060641E-01 -2.001760E+00
     0.4000   -2.841510E-01  3.080779E-01 -1.967512E+00
     0.4500   -2.914727E-01  3.102848E-01 -1.920800E+00
     0.5000   -2.980202E-01  3.122103E-01 -1.873447E+00
     0.5500   -3.047424E-01  3.139048E-01 -1.813001E+00
     0.6000   -3.100170E-01  3.151854E-01 -1.752142E+00
     0.6500   -3.139558E-01  3.157810E-01 -1.678368E+00
     0.7000   -3.156825E-01  3.158633E-01 -1.604626E+00
     0.7500   -3.144740E-01  3.148970E-01 -1.518959E+00
     0.8000   -3.104628E-01  3.133939E-01 -1.433921E+00
     0.8500   -3.022623E-01  3.106269E-01 -1.338203E+00
     0.9000   -2.911217E-01  3.074168E-01 -1.243744E+00
     0.9500   -2.754321E-01  3.030069E-01 -1.140870E+00
     1.0000   -2.572847E-01  2.983521E-01 -1.039898E+00
     1.0500   -2.349558E-01  2.927004E-01 -9.318385E-01
     1.1000   -2.110900E-01  2.871063E-01 -8.260102E-01
     1.1500   -1.839766E-01  2.808539E-01 -7.142641E-01
     1.2000   -1.562904E-01  2.749745E-01 -6.045372E-01
     1.2500   -1.262777E-01  2.687709E-01 -4.891027E-01
     1.3000   -9.632127E-02  2.631364E-01 -3.747616E-01
     1.3500   -6.468896E-02  2.573569E-01 -2.540840E-01
     1.4000   -3.344733E-02  2.520978E-01 -1.330684E-01
     1.4500   -1.150576E-03  2.465965E-01 -4.665840E-03
     1.5000    3.017121E-02  2.412902E-01  1.253693E-01
     1.5500    6.138056E-02  2.354956E-01  2.636894E-01
     1.6000    9.020059E-02  2.293545E-01  4.041967E-01
     1.6500    1.168947E-01  2.226845E-01  5.526379E-01
     1.7000    1.386893E-01  2.145684E-01  7.028098E-01
     1.7500    1.568555E-01  2.074977E-01  8.570870E-01
     1.8000    1.664275E-01  1.958451E-01  1.015590E+00
     1.8500    1.706729E-01  1.849719E-01  1.175017E+00
     1.9000    1.679965E-01  1.729843E-01  1.330073E+00
     1.9500    1.598172E-01  1.604231E-01  1.483852E+00
     2.0000    1.476511E-01  1.478829E-01  1.626794E+00
     2.0500    1.325658E-01  1.351401E-01  1.766292E+00
     2.1000    1.176098E-01  1.237655E-01  1.887514E+00
     2.1500    1.045747E-01  1.145016E-01  1.990270E+00
     2.2000    9.430941E-02  1.079458E-01  2.078890E+00
     2.2500    8.738132E-02  1.046921E-01  2.154094E+00
     2.3000    8.159302E-02  1.046376E-01  2.247298E+00
     2.3500    7.414170E-02  1.063347E-01  2.370041E+00
     2.4000    6.256393E-02  1.082241E-01  2.525199E+00
     2.4500    4.688939E-02  1.104214E-01  2.703028E+00
     2.5000    2.610364E-02  1.112171E-01  2.904674E+00
     2.5500    1.564086E-03  1.099219E-01  3.127363E+00
     2.6000   -2.391202E-02  1.060605E-01  3.369004E+00
     2.6500   -4.611612E-02  1.044467E-01  3.598893E+00
     2.7000   -6.519221E-02  1.015913E-01  3.838319E+00
     2.7500   -7.893349E-02  9.739354E-02  4.086528E+00
     2.8000   -8.562104E-02  9.180890E-02  4.343145E+00
     2.8500   -8.794221E-02  8.820503E-02  4.635174E+00
     2.9000   -8.172365E-02  8.377181E-02  4.933972E+00
     2.9500   -6.790169E-02  7.857978E-02  5.239803E+00
     3.0000   -4.846562E-02  7.272220E-02  5.553750E+00
     3.0500   -2.530479E-02  7.031447E-02  5.915046E+00
     3.1000   -1.851325E-04  6.774703E-02  6.280453E+00
     3.1500    2.333577E-02  6.493351E-02  6.650788E+00
     3.2000    4.179061E-02  6.181635E-02  7.025567E+00
     3.2500    5.780716E-02  6.405366E-02  7.408679E+00
     3.3000    6.570282E-02  6.586450E-02  7.783898E+00
     3.3500    6.424138E-02  6.720197E-02  8.151916E+00
     3.4000    5.378530E-02  6.804347E-02  8.513227E+00
     3.4500    3.904788E-02  7.143864E-02  8.846487E+00
     3.5000    1.841883E-02  7.380300E-02  9.172544E+00
     3.5500   -4.920137E-03  7.521470E-02  9.490239E+00
     3.6000   -2.767945E-02  7.580894E-02  9.798541E+00
     3.6500   -4.728594E-02  7.674941E-02  1.008857E+01
     3.7000   -6.204987E-02  7.644195E-02  1.037188E+01
     3.7500   -7.042870E-02  7.497960E-02  1.064538E+01
     3.8000   -7.225744E-02  7.255175E-02  1.090547E+01
     3.8500   -6.890603E-02  6.981507E-02  1.115712E+01
     3.9000   -6.106365E-02  6.625633E-02  1.139412E+01
     3.9500   -5.072390E-02  6.214488E-02  1.161153E+01
     4.0000   -3.997922E-02  5.786165E-02  1.180358E+01
     4.0500   -2.968262E-02  5.356087E-02  1.197899E+01
     4.1000   -2.134554E-02  4.974715E-02  1.212290E+01
     4.1500   -1.534540E-02  4.700247E-02  1.223379E+01
     4.2000   -1.124566E-02  4.591118E-02  1.231891E+01
     4.2500   -7.348159E-03  4.603673E-02  1.240607E+01
     4.3000   -3.268119E-03  4.792601E-02  1.249813E+01
     4.3500    2.211844E-03  5.138336E-02  1.260943E+01
     4.4000    1.004248E-02  5.602449E-02  1.274660E+01
     4.4500    2.017873E-02  6.057771E-02  1.290597E+01
     4.5000    3.239512E-02  6.551755E-02  1.308357E+01
     4.5500    4.598602E-02  7.058350E-02  1.327595E+01
     4.6000    5.981153E-02  7.557188E-02  1.347955E+01
     4.6500    7.176804E-02  7.970645E-02  1.368707E+01
     4.7000    8.128808E-02  8.364601E-02  1.389916E+01
     4.7500    8.733830E-02  8.736118E-02  1.411428E+01
     4.8000    8.914245E-02  9.084775E-02  1.433123E+01
     4.8500    8.614856E-02  9.381746E-02  1.454431E+01
     4.9000    7.867538E-02  9.674061E-02  1.475823E+01
     4.9500    6.681437E-02  9.964448E-02  1.497304E+01
     5.0000    5.086510E-02  1.025440E-01  1.518894E+01
     5.0500    3.156212E-02  1.054616E-01  1.540403E+01
     5.1000    9.334547E-03  1.084299E-01  1.562177E+01
     5.1500   -1.493108E-02  1.113726E-01  1.584243E+01
     5.2000   -4.002443E-02  1.141916E-01  1.606607E+01
     5.2500   -6.453345E-02  1.168040E-01  1.629332E+01
     5.3000   -8.670391E-02  1.190493E-01  1.652380E+01
     5.3500   -1.046978E-01  1.207844E-01  1.675674E+01
     5.4000   -1.168752E-01  1.218838E-01  1.699109E+01
     5.4500   -1.219086E-01  1.220742E-01  1.722668E+01
     5.5000   -1.194190E-01  1.214345E-01  1.746121E+01
     5.5500   -1.098145E-01  1.199499E-01  1.769280E+01
     5.6000   -9.434739E-02  1.176713E-01  1.791928E+01
     5.6500   -7.463954E-02  1.145343E-01  1.813976E+01
     5.7000   -5.315152E-02  1.109326E-01  1.834989E+01
     5.7500   -3.196375E-02  1.072129E-01  1.854682E+01
     5.8000   -1.256499E-02  1.038480E-01  1.872826E+01
     5.8500    4.521000E-03  1.011966E-01  1.889425E+01
     5.9000    1.953819E-02  1.001548E-01  1.904589E+01
     5.9500    3.375656E-02  1.013180E-01  1.918922E+01
     6.0000    4.887297E-02  1.050734E-01  1.933334E+01
     6.0500    6.638345E-02  1.112471E-01  1.948896E+01
     6.1000    8.701086E-02  1.198163E-01  1.966234E+01
     6.1500    1.101179E-01  1.302888E-01  1.985646E+01
     6.2000    1.335098E-01  1.420868E-01  2.007112E+01
     6.2500    1.535917E-01  1.546322E-01  2.030428E+01
     6.3000    1.659115E-01  1.673883E-01  2.055328E+01
     6.3500    1.660100E-01  1.798726E-01  2.081552E+01
     6.4000    1.504224E-01  1.916568E-01  2.108869E+01
     6.4500    1.176250E-01  2.023629E-01  2.137088E+01
     6.5000    6.871028E-02  2.116589E-01  2.166053E+01
     6.5500    6.983124E-03  2.185012E-01  2.195918E+01
     6.6000   -5.995126E-02  2.233101E-01  2.226295E+01
     6.6500   -1.237863E-01  2.259131E-01  2.257105E+01
     6.7000   -1.760031E-01  2.261819E-01  2.288286E+01
     6.7500   -2.093513E-01  2.240316E-01  2.319792E+01
     6.8000   -2.191873E-01  2.194202E-01  2.351587E+01
     6.8500   -2.043986E-01  2.123481E-01  2.383643E+01
     6.9000   -1.677099E-01  2.028575E-01  2.415946E+01
     6.9500   -1.152849E-01  1.910310E-01  2.448487E+01
     7.0000   -5.567538E-02  1.769905E-01  2.481274E+01
     7.0500    1.845781E-03  1.605181E-01  2.514424E+01
     7.1000    4.820995E-02  1.422800E-01  2.547842E+01
     7.1500    7.736137E-02  1.225201E-01  2.581612E+01
     7.2000    8.682999E-02  1.015091E-01  2.615905E+01
     7.2500    7.807657E-02  7.954593E-02  2.651103E+01
     7.3000    5.606306E-02  5.697056E-02  2.688227E+01
     7.3500    2.813699E-02  3.424731E-02  2.731015E+01
     7.4000    2.456988E-03  1.298145E-02  2.808392E+01
     7.4500   -1.372026E-02  1.530083E-02  3.030367E+01
     7.5000   -1.554435E-02  3.625398E-02  3.097280E+01
     7.5500   -1.366534E-03  5.719170E-02  3.139203E+01
     7.6000    2.615884E-02  7.712442E-02  3.176197E+01
     7.6500    6.149836E-02  9.566094E-02  3.211418E+01
     7.7000    9.715456E-02  1.125338E-01  3.245777E+01
     7.7500    1.252229E-01  1.275287E-01  3.279627E+01
     7.8000    1.390080E-01  1.404724E-01  3.313124E+01
     7.8500    1.343706E-01  1.512297E-01  3.346341E+01
     7.9000    1.105361E-01  1.597044E-01  3.379308E+01
     7.9500    7.021870E-02  1.658401E-01  3.412031E+01
     8.0000    1.905218E-02  1.696209E-01  3.444496E+01
     8.0500   -3.562548E-02  1.708105E-01  3.476763E+01
     8.1000   -8.572118E-02  1.697698E-01  3.508682E+01
     8.1500   -1.245616E-01  1.666223E-01  3.540191E+01
     8.2000   -1.477420E-01  1.615326E-01  3.571210E+01
     8.2500   -1.537379E-01  1.547077E-01  3.601629E+01
     8.3000   -1.439083E-01  1.463984E-01  3.631302E+01
     8.3500   -1.219307E-01  1.369023E-01  3.660036E+01
     8.4000   -9.282759E-02  1.265700E-01  3.687579E+01
     8.4500   -6.182083E-02  1.158144E-01  3.713603E+01
     8.5000   -3.327250E-02  1.051230E-01  3.737706E+01
     8.5500   -9.965238E-03  9.511748E-02  3.759415E+01
     8.6000    7.352813E-03  8.646513E-02  3.778425E+01
     8.6500    1.961656E-02  7.983292E-02  3.794737E+01
     8.7000    2.886665E-02  7.576748E-02  3.808998E+01
     8.7500    3.743910E-02  7.449212E-02  3.822571E+01
     8.8000    4.715837E-02  7.577288E-02  3.837087E+01
     8.8500    5.873579E-02  7.899008E-02  3.853753E+01
     8.9000    7.151469E-02  8.336176E-02  3.873025E+01
     8.9500    8.361267E-02  8.814582E-02  3.894781E+01
     9.0000    9.241156E-02  9.273575E-02  3.918627E+01
     9.0500    9.526308E-02  9.671287E-02  3.944328E+01
     9.1000    9.006426E-02  9.966164E-02  3.971237E+01
     9.1500    7.620832E-02  1.013754E-01  3.999000E+01
     9.2000    5.468279E-02  1.017337E-01  4.027322E+01
     9.2500    2.794312E-02  1.006872E-01  4.055949E+01
     9.3000   -5.632556E-04  9.824725E-02  4.084644E+01
     9.3500   -2.710568E-02  9.447999E-02  4.113169E+01
     9.4000   -4.844089E-02  8.950399E-02  4.141259E+01
     9.4500   -6.246151E-02  8.349165E-02  4.168592E+01
     9.5000   -6.857057E-02  7.667579E-02  4.194755E+01
     9.5500   -6.757252E-02  6.922985E-02  4.219225E+01
     9.6000   -6.170975E-02  6.170977E-02  4.241061E+01
     9.6500   -5.380648E-02  5.470500E-02  4.259299E+01
     9.7000   -4.650555E-02  4.898223E-02  4.273086E+01
     9.7500   -4.158802E-02  4.541878E-02  4.282516E+01
     9.8000   -3.954347E-02  4.470509E-02  4.289679E+01
     9.8500   -3.949323E-02  4.691716E-02  4.298175E+01
     9.9000   -3.948051E-02  5.144657E-02  4.310751E+01
     9.9500   -3.705171E-02  5.739617E-02  4.328056E+01
    10.0000   -2.998284E-02  6.395218E-02  4.349433E+01
    10.0500   -1.714802E-02  7.079512E-02  4.373764E+01
    10.1000    1.765558E-03  7.728098E-02  4.400515E+01
    10.1500    2.519517E-02  8.306028E-02  4.429049E+01
    10.2000    5.011402E-02  8.787573E-02  4.458915E+01
    10.2500    7.258585E-02  9.153801E-02  4.489795E+01
    10.3000    8.858413E-02  9.391094E-02  4.521467E+01
    10.3500    9.489146E-02  9.490263E-02  4.553775E+01
    10.4000    8.986967E-02  9.445991E-02  4.586612E+01
    10.4500    7.391461E-02  9.256465E-02  4.619906E+01
    10.5000    4.947780E-02  8.923095E-02  4.653614E+01
    10.5500    2.063450E-02  8.450286E-02  4.687721E+01
    10.6000   -7.718317E-03  7.845232E-02  4.722243E+01
    10.6500   -3.086349E-02  7.117726E-02  4.757239E+01
    10.7000   -4.524518E-02  6.280020E-02  4.792836E+01
    10.7500   -4.921088E-02  5.346817E-02  4.829293E+01
    10.8000   -4.334505E-02  4.335654E-02  4.867166E+01
    10.8500   -3.031491E-02  3.268696E-02  4.907800E+01
    10.9000   -1.425756E-02  2.181022E-02  4.955301E+01
    10.9500    1.594945E-04  1.176589E-02  5.027904E+01
    11.0000    8.798090E-03  8.798747E-03  5.182405E+01
    11.0500    9.136427E-03  1.730840E-02  5.285100E+01
    11.1000    3.828750E-04  2.819336E-02  5.339349E+01
    11.1500   -1.591555E-02  3.924955E-02  5.382460E+01
    11.2000   -3.623248E-02  4.999168E-02  5.421778E+01
    11.2500   -5.579615E-02  6.017555E-02  5.459400E+01
    11.3000   -6.961371E-02  6.962324E-02  5.496132E+01
    11.3500   -7.356636E-02  7.818886E-02  5.532345E+01
    11.4000   -6.533925E-02  8.574975E-02  5.568231E+01
    11.4500   -4.498449E-02  9.220433E-02  5.603901E+01
    11.5000   -1.499436E-02  9.747167E-02  5.639422E+01
    11.5500    2.013379E-02  1.014917E-01  5.674837E+01
    11.6000    5.475047E-02  1.042255E-01  5.710174E+01
    11.6500    8.314663E-02  1.056551E-01  5.745454E+01
