# Copper example                                                 Feff 8.50L  
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.449 Rnm= 1.502 K  shell
# Pot 1 Z=29 Rmt= 1.354 Rnm= 1.391
# Gam_ch=1.729E+00 H-L exch
# Mu=-3.820E+00 kf=1.823E+00 Vint=-1.648E+01 Rs_int= 1.989
# PATH  Rmax= 5.200,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.5527
#           2       0.00000     23.00      6.00     2   3.6100
#           3       0.00000     12.38     48.00     3   3.8290
#           4       0.00000      9.47     48.00     3   4.3577
#           5       0.00000     55.84     24.00     2   4.4213
#           6       0.00000     11.78     48.00     3   4.7633
#           7       0.00000     25.63     96.00     3   4.7633
#           8       0.00000     19.17     12.00     2   5.1053
#           9       0.00000      9.64     12.00     3   5.1053
#          10       0.00000     44.61     24.00     3   5.1053
#          11       0.00000      9.66     12.00     4   5.1053
#          12       0.00000      4.46     12.00     4   5.1053
#          14       0.00000     32.35     12.00     4   5.1053
#    13/  14 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000   -2.008545E-01  2.043048E-01 -1.754839E+00
     0.0500   -2.044877E-01  2.080114E-01 -1.755122E+00
     0.1000   -2.081436E-01  2.117170E-01 -1.754785E+00
     0.1500   -2.187267E-01  2.223517E-01 -1.751613E+00
     0.2000   -2.294213E-01  2.329101E-01 -1.744096E+00
     0.2500   -2.459835E-01  2.490356E-01 -1.727518E+00
     0.3000   -2.624280E-01  2.647416E-01 -1.703099E+00
     0.3500   -2.826354E-01  2.839336E-01 -1.666459E+00
     0.4000   -3.017293E-01  3.021061E-01 -1.620746E+00
     0.4500   -3.216004E-01  3.216091E-01 -1.563443E+00
     0.5000   -3.385155E-01  3.394289E-01 -1.497417E+00
     0.5500   -3.529960E-01  3.569348E-01 -1.422098E+00
     0.6000   -3.622384E-01  3.721932E-01 -1.338992E+00
     0.6500   -3.664149E-01  3.862392E-01 -1.249015E+00
     0.7000   -3.633254E-01  3.976422E-01 -1.152295E+00
     0.7500   -3.535887E-01  4.075618E-01 -1.050297E+00
     0.8000   -3.354476E-01  4.146065E-01 -9.425758E-01
     0.8500   -3.102704E-01  4.202957E-01 -8.304266E-01
     0.9000   -2.768546E-01  4.230057E-01 -7.135130E-01
     0.9500   -2.371094E-01  4.246490E-01 -5.924145E-01
     1.0000   -1.907386E-01  4.232931E-01 -4.674447E-01
     1.0500   -1.397229E-01  4.211513E-01 -3.381730E-01
     1.1000   -8.505484E-02  4.160392E-01 -2.058910E-01
     1.1500   -2.824492E-02  4.103753E-01 -6.888150E-02
     1.2000    2.820794E-02  4.017960E-01  7.026241E-02
     1.2500    8.360711E-02  3.928044E-01  2.144875E-01
     1.3000    1.341642E-01  3.809829E-01  3.598703E-01
     1.3500    1.802657E-01  3.688262E-01  5.106623E-01
     1.4000    2.174178E-01  3.539772E-01  6.613895E-01
     1.4500    2.472123E-01  3.388649E-01  8.176352E-01
     1.5000    2.654323E-01  3.213056E-01  9.721608E-01
     1.5500    2.748463E-01  3.036260E-01  1.131881E+00
     1.6000    2.726281E-01  2.839401E-01  1.287577E+00
     1.6500    2.621535E-01  2.641757E-01  1.446985E+00
     1.7000    2.430518E-01  2.431495E-01  1.599141E+00
     1.7500    2.188016E-01  2.224322E-01  1.751721E+00
     1.8000    1.911853E-01  2.015157E-01  1.892378E+00
     1.8500    1.630210E-01  1.816212E-01  2.027325E+00
     1.9000    1.369659E-01  1.629747E-01  2.143550E+00
     1.9500    1.144075E-01  1.466512E-01  2.246714E+00
     2.0000    9.707378E-02  1.334128E-01  2.326747E+00
     2.0500    8.439549E-02  1.233980E-01  2.388458E+00
     2.1000    7.612347E-02  1.185002E-01  2.443978E+00
     2.1500    6.934185E-02  1.179217E-01  2.512968E+00
     2.2000    6.092087E-02  1.200993E-01  2.609597E+00
     2.2500    4.874669E-02  1.241039E-01  2.737930E+00
     2.3000    3.054736E-02  1.274166E-01  2.899490E+00
     2.3500    6.636219E-03  1.287456E-01  3.090025E+00
     2.4000   -2.076261E-02  1.271785E-01  3.305582E+00
     2.4500   -4.494072E-02  1.275242E-01  3.501737E+00
     2.5000   -6.798598E-02  1.266176E-01  3.708397E+00
     2.5500   -8.765626E-02  1.242774E-01  3.924477E+00
     2.6000   -1.017936E-01  1.203852E-01  4.149215E+00
     2.6500   -1.118485E-01  1.178603E-01  4.391617E+00
     2.7000   -1.139524E-01  1.142446E-01  4.640855E+00
     2.7500   -1.076695E-01  1.095258E-01  4.896760E+00
     2.8000   -9.352837E-02  1.037229E-01  5.159467E+00
     2.8500   -7.429301E-02  1.008243E-01  5.454777E+00
     2.9000   -4.905418E-02  9.727114E-02  5.754610E+00
     2.9500   -2.069197E-02  9.310525E-02  6.059071E+00
     3.0000    7.526688E-03  8.838123E-02  6.368450E+00
     3.0500    3.545269E-02  8.694520E-02  6.703184E+00
     3.1000    5.833172E-02  8.511253E-02  7.038267E+00
     3.1500    7.351117E-02  8.289321E-02  7.373598E+00
     3.2000    7.946140E-02  8.030297E-02  7.709080E+00
     3.2500    7.998185E-02  8.146008E-02  8.044779E+00
     3.3000    7.113272E-02  8.207658E-02  8.376304E+00
     3.3500    5.424819E-02  8.215614E-02  8.703552E+00
     3.4000    3.170471E-02  8.171540E-02  9.026329E+00
     3.4500    7.395223E-03  8.251964E-02  9.335040E+00
     3.5000   -1.740054E-02  8.245814E-02  9.637399E+00
