# Copper example                                                 Feff 8.50L  
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.449 Rnm= 1.502 K  shell
# Pot 1 Z=29 Rmt= 1.354 Rnm= 1.391
# Gam_ch=1.729E+00 H-L exch
# Mu=-3.820E+00 kf=1.823E+00 Vint=-1.648E+01 Rs_int= 1.989
# PATH  Rmax= 5.200,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.5527
#           2       0.00000     23.00      6.00     2   3.6100
#           3       0.00000     12.38     48.00     3   3.8290
#           4       0.00000      9.47     48.00     3   4.3577
#           5       0.00000     55.84     24.00     2   4.4213
#           6       0.00000     11.78     48.00     3   4.7633
#           7       0.00000     25.63     96.00     3   4.7633
#           8       0.00000     19.17     12.00     2   5.1053
#           9       0.00000      9.64     12.00     3   5.1053
#          10       0.00000     44.61     24.00     3   5.1053
#          11       0.00000      9.66     12.00     4   5.1053
#          12       0.00000      4.46     12.00     4   5.1053
#          14       0.00000     32.35     12.00     4   5.1053
#    13/  14 paths used
#  xsedge+50, used to normalize mu           2.4813E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8988.447     -3.820   0.000  2.92942E-01  4.83720E-01 -2.00855E-01
    8988.456     -3.811   0.050  2.96228E-01  4.90520E-01 -2.04488E-01
    8988.485     -3.782   0.100  2.99490E-01  4.97319E-01 -2.08144E-01
    8988.532     -3.735   0.150  3.09311E-01  5.17392E-01 -2.18727E-01
    8988.599     -3.668   0.200  3.19007E-01  5.37465E-01 -2.29421E-01
    8988.685     -3.582   0.250  3.34246E-01  5.68818E-01 -2.45983E-01
    8988.789     -3.477   0.300  3.49553E-01  6.00170E-01 -2.62428E-01
    8988.913     -3.354   0.350  3.66468E-01  6.36902E-01 -2.82635E-01
    8989.056     -3.211   0.400  3.84376E-01  6.73633E-01 -3.01729E-01
    8989.218     -3.049   0.450  3.99135E-01  7.08116E-01 -3.21600E-01
    8989.399     -2.868   0.500  4.16658E-01  7.42599E-01 -3.38516E-01
    8989.599     -2.668   0.550  4.29821E-01  7.70502E-01 -3.52996E-01
    8989.818     -2.449   0.600  4.47987E-01  7.98405E-01 -3.62238E-01
    8990.056     -2.211   0.650  4.64208E-01  8.19485E-01 -3.66415E-01
    8990.313     -1.953   0.700  4.87471E-01  8.40566E-01 -3.63325E-01
    8990.590     -1.677   0.750  5.11825E-01  8.56198E-01 -3.53589E-01
    8990.885     -1.382   0.800  5.44422E-01  8.71830E-01 -3.35448E-01
    8991.199     -1.068   0.850  5.80078E-01  8.83476E-01 -3.10270E-01
    8991.533     -0.734   0.900  6.23897E-01  8.95121E-01 -2.76855E-01
    8991.885     -0.382   0.950  6.71215E-01  9.03841E-01 -2.37109E-01
    8992.257     -0.010   1.000  7.25157E-01  9.12562E-01 -1.90739E-01
    8992.647      0.380   1.050  7.81655E-01  9.19071E-01 -1.39723E-01
    8993.057      0.790   1.100  8.41848E-01  9.25581E-01 -8.50548E-02
    8993.485      1.218   1.150  9.02562E-01  9.30381E-01 -2.82449E-02
    8993.933      1.666   1.200  9.62979E-01  9.35182E-01  2.82079E-02
    8994.400      2.133   1.250  1.02099E+00  9.38605E-01  8.36071E-02
    8994.885      2.619   1.300  1.07422E+00  9.42028E-01  1.34164E-01
    8995.390      3.123   1.350  1.12185E+00  9.44332E-01  1.80266E-01
    8995.914      3.647   1.400  1.16062E+00  9.46637E-01  2.17418E-01
    8996.457      4.190   1.450  1.19109E+00  9.48030E-01  2.47212E-01
    8997.019      4.752   1.500  1.21012E+00  9.49423E-01  2.65432E-01
    8997.600      5.333   1.550  1.21963E+00  9.50079E-01  2.74846E-01
    8998.200      5.933   1.600  1.21772E+00  9.50734E-01  2.72628E-01
    8998.819      6.552   1.650  1.20705E+00  9.50779E-01  2.62154E-01
    8999.457      7.190   1.700  1.18799E+00  9.50825E-01  2.43052E-01
    9000.115      7.848   1.750  1.16348E+00  9.50416E-01  2.18802E-01
    9000.791      8.524   1.800  1.13579E+00  9.50007E-01  1.91185E-01
    9001.486      9.219   1.850  1.10728E+00  9.49211E-01  1.63021E-01
