# Copper example                                                 Feff 8.50L  
# POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.449 Rnm= 1.502 K  shell
# Pot 1 Z=29 Rmt= 1.354 Rnm= 1.391
# Gam_ch=1.729E+00 H-L exch
# Mu=-7.964E+00 kf=1.982E+00 Vint=-1.706E+01 Rs_int= 1.830
# PATH  Rmax= 5.200,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.5527
#           2       0.00000     22.76      6.00     2   3.6100
#           3       0.00000     10.17     48.00     3   3.8290
#           4       0.00000      7.08     48.00     3   4.3577
#           5       0.00000     54.83     24.00     2   4.4213
#           6       0.00000     10.81     48.00     3   4.7633
#           7       0.00000     16.60     96.00     3   4.7633
#           8       0.00000     18.70     12.00     2   5.1053
#           9       0.00000      8.30     12.00     3   5.1053
#          10       0.00000     41.38     24.00     3   5.1053
#          11       0.00000      9.43     12.00     4   5.1053
#          14       0.00000     33.79     12.00     4   5.1053
#    12/  13 paths used
#  xsedge+50, used to normalize mu           2.4747E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8988.447     -7.964   0.000  2.25908E-01  4.31717E-01 -2.55034E-01
    8988.456     -7.955   0.050  2.30934E-01  4.37720E-01 -2.55942E-01
    8988.485     -7.926   0.100  2.35958E-01  4.43722E-01 -2.56850E-01
    8988.532     -7.879   0.150  2.50765E-01  4.61512E-01 -2.59629E-01
    8988.599     -7.812   0.200  2.65567E-01  4.79301E-01 -2.62394E-01
    8988.685     -7.726   0.250  2.88577E-01  5.07341E-01 -2.67086E-01
    8988.789     -7.622   0.300  3.11620E-01  5.35382E-01 -2.71685E-01
    8988.913     -7.498   0.350  3.38144E-01  5.68840E-01 -2.78079E-01
    8989.056     -7.355   0.400  3.64859E-01  6.02297E-01 -2.84151E-01
    8989.218     -7.193   0.450  3.89165E-01  6.34817E-01 -2.91473E-01
    8989.399     -7.012   0.500  4.14023E-01  6.67337E-01 -2.98020E-01
    8989.599     -6.812   0.550  4.33743E-01  6.95204E-01 -3.04742E-01
    8989.818     -6.593   0.600  4.54610E-01  7.23070E-01 -3.10017E-01
    8990.056     -6.355   0.650  4.71374E-01  7.45883E-01 -3.13956E-01
    8990.313     -6.098   0.700  4.90024E-01  7.68696E-01 -3.15683E-01
    8990.590     -5.821   0.750  5.07126E-01  7.87388E-01 -3.14474E-01
    8990.885     -5.526   0.800  5.26771E-01  8.06080E-01 -3.10463E-01
