# La2CuO4, Radaelli et al, PRB 49(6) 4163 (1994)                 Feff 8.50L  
# doi:10.1103/PhysRevB.49.4163
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.205 Rnm= 1.322 K  shell
# Pot 1 Z=57 Rmt= 1.755 Rnm= 1.830
# Pot 2 Z=29 Rmt= 1.175 Rnm= 1.252
# Pot 3 Z= 8 Rmt= 1.031 Rnm= 1.081
# Gam_ch=1.729E+00 H-L exch
# Mu=-3.009E+00 kf=2.107E+00 Vint=-1.992E+01 Rs_int= 1.722
# PATH  Rmax= 4.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   1.9044
#           2       0.00000    935.80      2.00     2   2.4277
#           3       0.00000    234.00      2.00     2   3.2308
#           4       0.00000    461.10      4.00     2   3.2413
#           6       0.00000      4.54      4.00     3   3.2582
#           7       0.00000    216.20      2.00     2   3.2872
#           8       0.00000    102.40      8.00     3   3.7075
#           9       0.00000    120.40      8.00     3   3.7101
#          10       0.00000     11.33      4.00     2   3.8035
#          11       0.00000     20.03      8.00     3   3.8061
#          15       0.00000     10.24      4.00     4   3.8088
#          16       0.00000     19.61      8.00     3   3.8655
#          17       0.00000     18.40      8.00     3   3.8885
#    13/  15 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0500    7.661038E-01  7.662468E-01  1.590116E+00
     0.1000    7.655991E-01  7.658471E-01  1.596247E+00
     0.1500    7.639268E-01  7.646589E-01  1.614559E+00
     0.2000    7.619703E-01  7.634404E-01  1.632865E+00
     0.2500    7.581768E-01  7.614264E-01  1.663217E+00
     0.3000    7.536170E-01  7.593312E-01  1.693555E+00
     0.3500    7.461689E-01  7.564317E-01  1.735710E+00
     0.4000    7.372914E-01  7.533809E-01  1.777836E+00
     0.4500    7.241884E-01  7.495111E-01  1.831478E+00
     0.5000    7.088968E-01  7.454071E-01  1.885075E+00
     0.5500    6.879086E-01  7.404637E-01  1.949826E+00
     0.6000    6.640042E-01  7.351979E-01  2.014509E+00
     0.6500    6.330760E-01  7.290970E-01  2.089825E+00
     0.7000    5.987097E-01  7.225832E-01  2.165047E+00
     0.7500    5.561339E-01  7.151427E-01  2.250666E+00
     0.8000    5.100017E-01  7.072189E-01  2.336151E+00
     0.8500    4.553045E-01  6.983820E-01  2.431450E+00
     0.9000    3.975416E-01  6.890039E-01  2.526566E+00
     0.9500    3.316740E-01  6.787001E-01  2.631005E+00
     1.0000    2.639875E-01  6.678202E-01  2.735201E+00
     1.0500    1.897098E-01  6.560139E-01  2.848217E+00
     1.1000    1.156549E-01  6.436230E-01  2.960918E+00
     1.1500    3.757733E-02  6.303129E-01  3.081940E+00
     1.2000   -3.756185E-02  6.164373E-01  3.202564E+00
     1.2500   -1.133102E-01  6.016803E-01  3.331047E+00
     1.3000   -1.830359E-01  5.864043E-01  3.459030E+00
     1.3500   -2.494849E-01  5.702752E-01  3.594389E+00
     1.4000   -3.069214E-01  5.536994E-01  3.729127E+00
     1.4500   -3.573464E-01  5.363190E-01  3.870821E+00
     1.5000   -3.964207E-01  5.185839E-01  4.011748E+00
     1.5500   -4.255239E-01  5.001112E-01  4.159210E+00
     1.6000   -4.421303E-01  4.813906E-01  4.305721E+00
     1.6500   -4.471795E-01  4.620022E-01  4.458394E+00
     1.7000   -4.401610E-01  4.424835E-01  4.609887E+00
     1.7500   -4.217732E-01  4.224062E-01  4.767139E+00
     1.8000   -3.934417E-01  4.023241E-01  4.922909E+00
     1.8500   -3.557555E-01  3.818204E-01  5.084022E+00
     1.9000   -3.116978E-01  3.614444E-01  5.243258E+00
     1.9500   -2.617329E-01  3.407851E-01  5.407427E+00
     2.0000   -2.098098E-01  3.203911E-01  5.569194E+00
