# La2CuO4, Radaelli et al, PRB 49(6) 4163 (1994)                 Feff 8.50L  
# doi:10.1103/PhysRevB.49.4163
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.205 Rnm= 1.322 K  shell
# Pot 1 Z=57 Rmt= 1.755 Rnm= 1.830
# Pot 2 Z=29 Rmt= 1.175 Rnm= 1.252
# Pot 3 Z= 8 Rmt= 1.031 Rnm= 1.081
# Gam_ch=1.729E+00 H-L exch
# Mu=-3.009E+00 kf=2.107E+00 Vint=-1.992E+01 Rs_int= 1.722
# PATH  Rmax= 4.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   1.9044
#           2       0.00000    935.80      2.00     2   2.4277
#           3       0.00000    234.00      2.00     2   3.2308
#           4       0.00000    461.10      4.00     2   3.2413
#           6       0.00000      4.54      4.00     3   3.2582
#           7       0.00000    216.20      2.00     2   3.2872
#           8       0.00000    102.40      8.00     3   3.7075
#           9       0.00000    120.40      8.00     3   3.7101
#          10       0.00000     11.33      4.00     2   3.8035
#          11       0.00000     20.03      8.00     3   3.8061
#          15       0.00000     10.24      4.00     4   3.8088
#          16       0.00000     19.61      8.00     3   3.8655
#          17       0.00000     18.40      8.00     3   3.8885
#    13/  15 paths used
#  xsedge+50, used to normalize mu           2.4354E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8989.267     -3.000   0.050  1.22220E+00  4.94875E-01  7.66104E-01
    8989.296     -2.971   0.100  1.22877E+00  5.01642E-01  7.65599E-01
    8989.343     -2.923   0.150  1.24823E+00  5.21845E-01  7.63927E-01
    8989.410     -2.857   0.200  1.26741E+00  5.42048E-01  7.61970E-01
    8989.496     -2.771   0.250  1.29677E+00  5.73647E-01  7.58177E-01
    8989.600     -2.666   0.300  1.32538E+00  6.05245E-01  7.53617E-01
    8989.724     -2.542   0.350  1.35720E+00  6.42391E-01  7.46169E-01
    8989.867     -2.400   0.400  1.38762E+00  6.79538E-01  7.37291E-01
    8990.029     -2.238   0.450  1.41225E+00  7.14631E-01  7.24188E-01
    8990.210     -2.057   0.500  1.43470E+00  7.49725E-01  7.08897E-01
    8990.410     -1.857   0.550  1.44551E+00  7.78502E-01  6.87909E-01
    8990.629     -1.638   0.600  1.45335E+00  8.07279E-01  6.64004E-01
    8990.867     -1.399   0.650  1.44777E+00  8.29495E-01  6.33076E-01
    8991.124     -1.142   0.700  1.43860E+00  8.51712E-01  5.98710E-01
    8991.401     -0.866   0.750  1.41605E+00  8.68790E-01  5.56134E-01
    8991.696     -0.571   0.800  1.38967E+00  8.85868E-01  5.10002E-01
    8992.010     -0.256   0.850  1.35075E+00  8.99239E-01  4.55304E-01
    8992.344      0.077   0.900  1.30836E+00  9.12610E-01  3.97542E-01
    8992.696      0.429   0.950  1.25470E+00  9.23298E-01  3.31674E-01
    8993.067      0.801   1.000  1.19873E+00  9.33986E-01  2.63988E-01
    8993.458      1.191   1.050  1.13360E+00  9.42688E-01  1.89710E-01
    8993.868      1.601   1.100  1.06818E+00  9.51390E-01  1.15655E-01
    8994.296      2.030   1.150  9.96563E-01  9.58503E-01  3.75773E-02
    8994.744      2.477   1.200  9.27455E-01  9.65616E-01 -3.75618E-02
    8995.211      2.944   1.250  8.56015E-01  9.71431E-01 -1.13310E-01
    8995.696      3.430   1.300  7.90325E-01  9.77247E-01 -1.83036E-01
    8996.201      3.934   1.350  7.26613E-01  9.81922E-01 -2.49485E-01
    8996.725      4.458   1.400  6.71861E-01  9.86598E-01 -3.06921E-01
    8997.268      5.001   1.450  6.23277E-01  9.90265E-01 -3.57346E-01
    8997.830      5.563   1.500  5.86213E-01  9.93932E-01 -3.96421E-01
    8998.411      6.144   1.550  5.58620E-01  9.96664E-01 -4.25524E-01
    8999.011      6.744   1.600  5.43848E-01  9.99397E-01 -4.42130E-01
    8999.630      7.363   1.650  5.40377E-01  1.00127E+00 -4.47179E-01
    9000.268      8.002   1.700  5.49345E-01  1.00315E+00 -4.40161E-01
    9000.926      8.659   1.750  5.69534E-01  1.00425E+00 -4.21773E-01
    9001.602      9.335   1.800  5.99957E-01  1.00536E+00 -3.93442E-01
    9002.297     10.030   1.850  6.39488E-01  1.00576E+00 -3.55756E-01
    9003.011     10.745   1.900  6.85510E-01  1.00616E+00 -3.11698E-01
    9003.745     11.478   1.950  7.36975E-01  1.00586E+00 -2.61733E-01
    9004.497     12.231   2.000  7.90311E-01  1.00557E+00 -2.09810E-01
    9005.269     13.002   2.050  8.45815E-01  1.00456E+00 -1.55039E-01
    9006.059     13.793   2.100  8.97969E-01  1.00356E+00 -1.03329E-01
    9006.869     14.602   2.150  9.44830E-01  1.00256E+00 -5.66033E-02
    9007.698     15.431   2.200  9.85091E-01  1.00156E+00 -1.61772E-02
    9008.546     16.279   2.250  1.01874E+00  9.99664E-01  1.87947E-02
    9009.412     17.146   2.300  1.04524E+00  9.97770E-01  4.69027E-02
    9010.298     18.031   2.350  1.06504E+00  9.95877E-01  6.85333E-02
    9011.203     18.936   2.400  1.07895E+00  9.93984E-01  8.44256E-02
    9012.127     19.860   2.450  1.09033E+00  9.93833E-01  9.62363E-02
    9013.070     20.803   2.500  1.09744E+00  9.93683E-01  1.03848E-01
    9014.032     21.765   2.550  1.10119E+00  9.93533E-01  1.08151E-01
    9015.013     22.746   2.600  1.10243E+00  9.93383E-01  1.09941E-01
    9016.013     23.746   2.650  1.10295E+00  9.93963E-01  1.10014E-01
    9017.032     24.766   2.700  1.10212E+00  9.94542E-01  1.08723E-01
    9018.070     25.804   2.750  1.10036E+00  9.95122E-01  1.06486E-01
    9019.128     26.861   2.800  1.09793E+00  9.95702E-01  1.03563E-01
    9020.204     27.937   2.850  1.09529E+00  9.95987E-01  1.00586E-01
    9021.299     29.033   2.900  1.09177E+00  9.96273E-01  9.67273E-02
    9022.414     30.147   2.950  1.08734E+00  9.96558E-01  9.19357E-02
    9023.547     31.281   3.000  1.08190E+00  9.96843E-01  8.61268E-02
    9024.700     32.433   3.050  1.07472E+00  9.96955E-01  7.86889E-02
    9025.871     33.605   3.100  1.06613E+00  9.97067E-01  6.98265E-02
    9027.062     34.795   3.150  1.05621E+00  9.97179E-01  5.96456E-02
    9028.272     36.005   3.200  1.04518E+00  9.97291E-01  4.83504E-02
    9029.500     37.234   3.250  1.03342E+00  9.97635E-01  3.60978E-02
    9030.748     38.482   3.300  1.02121E+00  9.97980E-01  2.34121E-02
    9032.015     39.748   3.350  1.00898E+00  9.98325E-01  1.07297E-02
    9033.301     41.034   3.400  9.97184E-01  9.98670E-01 -1.49496E-03
    9034.606     42.339   3.450  9.86065E-01  9.98872E-01 -1.28651E-02
    9035.930     43.663   3.500  9.76072E-01  9.99074E-01 -2.30768E-02
    9037.273     45.006   3.550  9.67501E-01  9.99276E-01 -3.18363E-02
    9038.635     46.368   3.600  9.60553E-01  9.99478E-01 -3.89486E-02
    9040.016     47.749   3.650  9.55154E-01  9.99999E-01 -4.48096E-02
    9041.416     49.149   3.700  9.51180E-01  1.00052E+00 -4.92339E-02
    9042.835     50.569   3.750  9.48556E-01  1.00104E+00 -5.22995E-02
    9044.274     52.007   3.800  9.47141E-01  1.00156E+00 -5.41537E-02
    9045.731     53.464   3.850  9.45964E-01  1.00231E+00 -5.59889E-02
    9047.207     54.941   3.900  9.45670E-01  1.00306E+00 -5.69425E-02
    9048.703     56.436   3.950  9.46194E-01  1.00381E+00 -5.70833E-02
    9050.217     57.951   4.000  9.47493E-01  1.00455E+00 -5.64566E-02
    9051.751     59.484   4.050  9.48997E-01  1.00516E+00 -5.54833E-02
    9053.303     61.037   4.100  9.51728E-01  1.00578E+00 -5.33016E-02
    9054.875     62.608   4.150  9.55806E-01  1.00639E+00 -4.98022E-02
    9056.466     64.199   4.200  9.61333E-01  1.00700E+00 -4.48887E-02
    9058.075     65.809   4.250  9.69105E-01  1.00800E+00 -3.81721E-02
    9059.704     67.437   4.300  9.78762E-01  1.00900E+00 -2.96293E-02
    9061.352     69.085   4.350  9.90174E-01  1.01000E+00 -1.93965E-02
    9063.019     70.752   4.400  1.00309E+00  1.01100E+00 -7.72260E-03
    9064.705     72.438   4.450  1.01769E+00  1.01190E+00  5.64721E-03
    9066.410     74.143   4.500  1.03298E+00  1.01280E+00  1.96569E-02
    9068.134     75.867   4.550  1.04828E+00  1.01369E+00  3.36343E-02
    9069.877     77.610   4.600  1.06283E+00  1.01459E+00  4.68473E-02
    9071.639     79.372   4.650  1.07615E+00  1.01534E+00  5.89966E-02
    9073.420     81.153   4.700  1.08708E+00  1.01608E+00  6.87883E-02
    9075.220     82.954   4.750  1.09488E+00  1.01683E+00  7.55393E-02
    9077.039     84.773   4.800  1.09901E+00  1.01757E+00  7.87226E-02
    9078.878     86.611   4.850  1.09922E+00  1.01824E+00  7.82059E-02
    9080.735     88.469   4.900  1.09506E+00  1.01891E+00  7.34799E-02
