# La2CuO4, Radaelli et al, PRB 49(6) 4163 (1994)                 Feff 8.50L  
# doi:10.1103/PhysRevB.49.4163
# POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.205 Rnm= 1.322 K  shell
# Pot 1 Z=57 Rmt= 1.755 Rnm= 1.830
# Pot 2 Z=29 Rmt= 1.175 Rnm= 1.252
# Pot 3 Z= 8 Rmt= 1.031 Rnm= 1.081
# Gam_ch=1.729E+00 H-L exch
# Mu=-8.214E+00 kf=2.053E+00 Vint=-1.954E+01 Rs_int= 1.767
# PATH  Rmax= 4.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   1.9044
#           2       0.00000    694.50      2.00     2   2.4277
#           3       0.00000    164.10      2.00     2   3.2308
#           4       0.00000    323.50      4.00     2   3.2413
#           5       0.00000      5.14      4.00     3   3.2437
#           6       0.00000      6.37      4.00     3   3.2582
#           7       0.00000    151.90      2.00     2   3.2872
#           8       0.00000     91.99      8.00     3   3.7075
#           9       0.00000    117.40      8.00     3   3.7101
#          10       0.00000      8.22      4.00     2   3.8035
#          11       0.00000     15.81      8.00     3   3.8061
#          15       0.00000      8.31      4.00     4   3.8088
#          16       0.00000     26.67      8.00     3   3.8655
#          17       0.00000     25.51      8.00     3   3.8885
#          18       0.00000     37.33      8.00     3   3.9121
#          19       0.00000     36.98      8.00     3   3.9173
#    16/  17 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0500   -5.365378E-01  1.036622E+00 -5.440235E-01
     0.1000   -5.317540E-01  1.037716E+00 -5.380088E-01
     0.1500   -5.172065E-01  1.041859E+00 -5.194776E-01
     0.2000   -5.022488E-01  1.046041E+00 -5.008173E-01
     0.2500   -4.752006E-01  1.055271E+00 -4.671140E-01
     0.3000   -4.466246E-01  1.064475E+00 -4.329743E-01
     0.3500   -3.987741E-01  1.078530E+00 -3.787277E-01
     0.4000   -3.473169E-01  1.092014E+00 -3.236737E-01
     0.4500   -2.680856E-01  1.104009E+00 -2.452811E-01
     0.5000   -1.843219E-01  1.114371E+00 -1.661680E-01
     0.5500   -7.592645E-02  1.115943E+00 -6.809051E-02
     0.6000    3.360127E-02  1.115246E+00  3.013358E-02
     0.6500    1.546615E-01  1.105897E+00  1.403116E-01
     0.7000    2.708551E-01  1.094351E+00  2.501020E-01
     0.7500    3.885959E-01  1.078449E+00  3.686200E-01
     0.8000    4.958048E-01  1.060584E+00  4.864413E-01
     0.8500    5.988988E-01  1.041496E+00  6.126493E-01
     0.9000    6.866858E-01  1.020597E+00  7.380241E-01
     0.9500    7.656297E-01  9.999497E-01  8.720795E-01
     1.0000    8.253555E-01  9.775632E-01  1.005255E+00
     1.0500    8.713199E-01  9.558219E-01  1.147141E+00
     1.1000    8.953931E-01  9.323961E-01  1.288126E+00
     1.1500    9.016222E-01  9.096791E-01  1.437606E+00
     1.2000    8.852464E-01  8.853509E-01  1.586160E+00
     1.2500    8.489538E-01  8.616723E-01  1.742824E+00
     1.3000    7.919727E-01  8.364932E-01  1.898521E+00
     1.3500    7.159068E-01  8.118462E-01  2.061873E+00
     1.4000    6.239824E-01  7.858497E-01  2.224195E+00
     1.4500    5.171069E-01  7.602836E-01  2.393625E+00
     1.5000    4.017787E-01  7.335385E-01  2.561948E+00
     1.5500    2.782093E-01  7.070657E-01  2.737189E+00
     1.6000    1.551951E-01  6.796234E-01  2.911205E+00
     1.6500    3.251808E-02  6.523695E-01  3.091726E+00
     1.7000   -8.049399E-02  6.243546E-01  3.270876E+00
     1.7500   -1.846081E-01  5.964507E-01  3.456271E+00
     1.8000   -2.715703E-01  5.679989E-01  3.640103E+00
     1.8500   -3.428003E-01  5.395497E-01  3.830048E+00
     1.9000   -3.925461E-01  5.107613E-01  4.018166E+00
     1.9500   -4.225301E-01  4.812890E-01  4.213080E+00
     2.0000   -4.305865E-01  4.516658E-01  4.405672E+00
     2.0500   -4.190233E-01  4.217103E-01  4.599442E+00
     2.1000   -3.910671E-01  3.922367E-01  4.789634E+00
     2.1500   -3.509433E-01  3.634718E-01  4.975709E+00
     2.2000   -3.030028E-01  3.356423E-01  5.157053E+00
     2.2500   -2.501307E-01  3.106076E-01  5.347013E+00
     2.3000   -1.955137E-01  2.866469E-01  5.532594E+00
     2.3500   -1.423878E-01  2.639328E-01  5.713360E+00
     2.4000   -9.319948E-02  2.426236E-01  5.888918E+00
     2.4500   -4.784286E-02  2.221787E-01  6.066150E+00
     2.5000   -9.307165E-03  2.028585E-01  6.237289E+00
