# La2CuO4, Radaelli et al, PRB 49(6) 4163 (1994)                 Feff 8.50L  
# doi:10.1103/PhysRevB.49.4163
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.205 Rnm= 1.322 K  shell
# Pot 1 Z=57 Rmt= 1.755 Rnm= 1.830
# Pot 2 Z=29 Rmt= 1.175 Rnm= 1.252
# Pot 3 Z= 8 Rmt= 1.031 Rnm= 1.081
# Gam_ch=1.729E+00 H-L exch
# Mu=-3.009E+00 kf=2.107E+00 Vint=-1.992E+01 Rs_int= 1.722
# PATH  Rmax= 4.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      2.00     2   1.9044
#           2       0.00000    100.00      2.00     2   1.9044
#           4       0.00000     30.96      2.00     2   3.2308
#           5       0.00000     30.83      2.00     2   3.2413
#           6       0.00000     30.83      2.00     2   3.2413
#           7       0.00000      8.81      4.00     3   3.2437
#           8       0.00000      8.61      4.00     3   3.2582
#           9       0.00000     30.27      2.00     2   3.2872
#          14       0.00000     20.87      2.00     2   3.8035
#          15       0.00000     20.87      2.00     2   3.8035
#          16       0.00000     55.40      4.00     3   3.8061
#          17       0.00000     55.40      4.00     3   3.8061
#          18       0.00000     15.83      2.00     3   3.8088
#          19       0.00000     15.83      2.00     3   3.8088
#          20       0.00000      7.20      2.00     4   3.8088
#          21       0.00000      7.20      2.00     4   3.8088
#          22       0.00000      5.94      2.00     4   3.8088
#          23       0.00000     37.35      2.00     4   3.8088
#          24       0.00000      5.94      2.00     4   3.8088
#          25       0.00000     37.35      2.00     4   3.8088
#          26       0.00000      4.69      4.00     3   3.8655
#          27       0.00000      4.69      4.00     3   3.8655
#          28       0.00000      4.82      4.00     3   3.8885
#          29       0.00000      4.82      4.00     3   3.8885
#    24/  24 paths used
#  xsedge+50, used to normalize mu           2.4354E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8989.267     -3.000   0.050  1.73461E-01  4.94875E-01 -3.38553E-01
    8989.296     -2.971   0.100  1.85570E-01  5.01642E-01 -3.32797E-01
    8989.343     -2.923   0.150  2.21780E-01  5.21845E-01 -3.15575E-01
    8989.410     -2.857   0.200  2.58061E-01  5.42048E-01 -2.98317E-01
    8989.496     -2.771   0.250  3.16453E-01  5.73647E-01 -2.69660E-01
    8989.600     -2.666   0.300  3.74983E-01  6.05245E-01 -2.40967E-01
    8989.724     -2.542   0.350  4.49714E-01  6.42391E-01 -2.01130E-01
    8989.867     -2.400   0.400  5.24536E-01  6.79538E-01 -1.61396E-01
    8990.029     -2.238   0.450  6.07577E-01  7.14631E-01 -1.11131E-01
    8990.210     -2.057   0.500  6.90410E-01  7.49725E-01 -6.13866E-02
    8990.410     -1.857   0.550  7.76306E-01  7.78502E-01 -2.26494E-03
    8990.629     -1.638   0.600  8.61290E-01  8.07279E-01  5.55111E-02
    8990.867     -1.399   0.650  9.47498E-01  8.29495E-01  1.20828E-01
    8991.124     -1.142   0.700  1.03159E+00  8.51712E-01  1.83498E-01
    8991.401     -0.866   0.750  1.11586E+00  8.68790E-01  2.51079E-01
    8991.696     -0.571   0.800  1.19630E+00  8.85868E-01  3.14246E-01
    8992.010     -0.256   0.850  1.27520E+00  8.99239E-01  3.79115E-01
    8992.344      0.077   0.900  1.34816E+00  9.12610E-01  4.37523E-01
    8992.696      0.429   0.950  1.41693E+00  9.23298E-01  4.94035E-01
    8993.067      0.801   1.000  1.47758E+00  9.33986E-01  5.42036E-01
    8993.458      1.191   1.050  1.53101E+00  9.42688E-01  5.84623E-01
    8993.868      1.601   1.100  1.57442E+00  9.51390E-01  6.17000E-01
    8994.296      2.030   1.150  1.60783E+00  9.58503E-01  6.41089E-01
    8994.744      2.477   1.200  1.63006E+00  9.65616E-01  6.54025E-01
    8995.211      2.944   1.250  1.64061E+00  9.71431E-01  6.56968E-01
    8995.696      3.430   1.300  1.64001E+00  9.77247E-01  6.48982E-01
    8996.201      3.934   1.350  1.62749E+00  9.81922E-01  6.30838E-01
    8996.725      4.458   1.400  1.60541E+00  9.86598E-01  6.03444E-01
    8997.268      5.001   1.450  1.57295E+00  9.90265E-01  5.67380E-01
    8997.830      5.563   1.500  1.53406E+00  9.93932E-01  5.25164E-01
    8998.411      6.144   1.550  1.48801E+00  9.96664E-01  4.77304E-01
    8999.011      6.744   1.600  1.43981E+00  9.99397E-01  4.27443E-01
    8999.630      7.363   1.650  1.38882E+00  1.00127E+00  3.76012E-01
    9000.268      8.002   1.700  1.34037E+00  1.00315E+00  3.27078E-01
    9000.926      8.659   1.750  1.29372E+00  1.00425E+00  2.80844E-01
    9001.602      9.335   1.800  1.25365E+00  1.00536E+00  2.40973E-01
    9002.297     10.030   1.850  1.21911E+00  1.00576E+00  2.07230E-01
    9003.011     10.745   1.900  1.19347E+00  1.00616E+00  1.82084E-01
    9003.745     11.478   1.950  1.17505E+00  1.00586E+00  1.64685E-01
    9004.497     12.231   2.000  1.16529E+00  1.00557E+00  1.55686E-01
    9005.269     13.002   2.050  1.16239E+00  1.00456E+00  1.54133E-01
    9006.059     13.793   2.100  1.16497E+00  1.00356E+00  1.57947E-01
    9006.869     14.602   2.150  1.17011E+00  1.00256E+00  1.64284E-01
    9007.698     15.431   2.200  1.17475E+00  1.00156E+00  1.70158E-01
    9008.546     16.279   2.250  1.17475E+00  9.99664E-01  1.72503E-01
    9009.412     17.146   2.300  1.16962E+00  9.97770E-01  1.69797E-01
    9010.298     18.031   2.350  1.15713E+00  9.95877E-01  1.59776E-01
    9011.203     18.936   2.400  1.13580E+00  9.93984E-01  1.40914E-01
    9012.127     19.860   2.450  1.10633E+00  9.93833E-01  1.12191E-01
    9013.070     20.803   2.500  1.06760E+00  9.93683E-01  7.39845E-02
    9014.032     21.765   2.550  1.02099E+00  9.93533E-01  2.75781E-02
    9015.013     22.746   2.600  9.68728E-01  9.93383E-01 -2.48577E-02
    9016.013     23.746   2.650  9.15351E-01  9.93963E-01 -7.93533E-02
    9017.032     24.766   2.700  8.61298E-01  9.94542E-01 -1.34662E-01
    9018.070     25.804   2.750  8.09061E-01  9.95122E-01 -1.88266E-01
    9019.128     26.861   2.800  7.61172E-01  9.95702E-01 -2.37593E-01
    9020.204     27.937   2.850  7.18609E-01  9.95987E-01 -2.80971E-01
    9021.299     29.033   2.900  6.83505E-01  9.96273E-01 -3.16786E-01
    9022.414     30.147   2.950  6.57433E-01  9.96558E-01 -3.43446E-01
    9023.547     31.281   3.000  6.41561E-01  9.96843E-01 -3.59772E-01
    9024.700     32.433   3.050  6.36205E-01  9.96955E-01 -3.65036E-01
    9025.871     33.605   3.100  6.42112E-01  9.97067E-01 -3.58903E-01
    9027.062     34.795   3.150  6.58864E-01  9.97179E-01 -3.41823E-01
    9028.272     36.005   3.200  6.85511E-01  9.97291E-01 -3.14777E-01
    9029.500     37.234   3.250  7.20267E-01  9.97635E-01 -2.79777E-01
    9030.748     38.482   3.300  7.62346E-01  9.97980E-01 -2.37461E-01
    9032.015     39.748   3.350  8.09647E-01  9.98325E-01 -1.89966E-01
    9033.301     41.034   3.400  8.59906E-01  9.98670E-01 -1.39583E-01
    9034.606     42.339   3.450  9.11558E-01  9.98872E-01 -8.77136E-02
    9035.930     43.663   3.500  9.61921E-01  9.99074E-01 -3.72736E-02
    9037.273     45.006   3.550  1.00889E+00  9.99276E-01  9.63132E-03
    9038.635     46.368   3.600  1.05073E+00  9.99478E-01  5.12823E-02
    9040.016     47.749   3.650  1.08700E+00  9.99999E-01  8.69370E-02
    9041.416     49.149   3.700  1.11602E+00  1.00052E+00  1.15247E-01
    9042.835     50.569   3.750  1.13737E+00  1.00104E+00  1.35844E-01
    9044.274     52.007   3.800  1.15114E+00  1.00156E+00  1.48844E-01
    9045.731     53.464   3.850  1.15813E+00  1.00231E+00  1.54832E-01
    9047.207     54.941   3.900  1.15880E+00  1.00306E+00  1.54538E-01
    9048.703     56.436   3.950  1.15425E+00  1.00381E+00  1.49063E-01
    9050.217     57.951   4.000  1.14569E+00  1.00455E+00  1.39642E-01
    9051.751     59.484   4.050  1.13435E+00  1.00516E+00  1.27613E-01
    9053.303     61.037   4.100  1.12157E+00  1.00578E+00  1.14195E-01
    9054.875     62.608   4.150  1.10840E+00  1.00639E+00  1.00443E-01
    9056.466     64.199   4.200  1.09571E+00  1.00700E+00  8.72045E-02
    9058.075     65.809   4.250  1.08511E+00  1.00800E+00  7.56796E-02
    9059.704     67.437   4.300  1.07596E+00  1.00900E+00  6.56127E-02
    9061.352     69.085   4.350  1.06843E+00  1.01000E+00  5.71648E-02
    9063.019     70.752   4.400  1.06251E+00  1.01100E+00  5.03116E-02
    9064.705     72.438   4.450  1.05823E+00  1.01190E+00  4.51946E-02
    9066.410     74.143   4.500  1.05522E+00  1.01280E+00  4.13231E-02
    9068.134     75.867   4.550  1.05314E+00  1.01369E+00  3.83655E-02
    9069.877     77.610   4.600  1.05164E+00  1.01459E+00  3.59774E-02
    9071.639     79.372   4.650  1.05045E+00  1.01534E+00  3.40579E-02
    9073.420     81.153   4.700  1.04919E+00  1.01608E+00  3.20826E-02
    9075.220     82.954   4.750  1.04759E+00  1.01683E+00  2.97713E-02
    9077.039     84.773   4.800  1.04540E+00  1.01757E+00  2.68979E-02
    9078.878     86.611   4.850  1.04260E+00  1.01824E+00  2.35273E-02
    9080.735     88.469   4.900  1.03867E+00  1.01891E+00  1.90666E-02
    9082.612     90.345   4.950  1.03345E+00  1.01958E+00  1.33714E-02
    9084.507     92.240   5.000  1.02686E+00  1.02025E+00  6.36485E-03
    9086.422     94.155   5.050  1.01833E+00  1.02066E+00 -2.24032E-03
    9088.355     96.088   5.100  1.00817E+00  1.02106E+00 -1.24109E-02
    9090.308     98.041   5.150  9.96580E-01  1.02147E+00 -2.39378E-02
    9092.279    100.013   5.200  9.83931E-01  1.02187E+00 -3.64764E-02
    9094.270    102.003   5.250  9.69705E-01  1.02196E+00 -5.02435E-02
    9096.280    104.013   5.300  9.55483E-01  1.02206E+00 -6.40067E-02
    9098.309    106.042   5.350  9.42112E-01  1.02215E+00 -7.69510E-02
    9100.357    108.090   5.400  9.30503E-01  1.02224E+00 -8.82027E-02
    9102.424    110.157   5.450  9.20849E-01  1.02204E+00 -9.73279E-02
    9104.509    112.243   5.500  9.14957E-01  1.02185E+00 -1.02840E-01
    9106.614    114.348   5.550  9.13556E-01  1.02165E+00 -1.04034E-01
    9108.739    116.472   5.600  9.17113E-01  1.02145E+00 -1.00455E-01
    9110.882    118.615   5.650  9.25521E-01  1.02096E+00 -9.19492E-02
    9113.044    120.777   5.700  9.39058E-01  1.02047E+00 -7.84877E-02
    9115.225    122.958   5.750  9.57087E-01  1.01998E+00 -6.06743E-02
    9117.425    125.159   5.800  9.78596E-01  1.01949E+00 -3.94779E-02
    9119.645    127.378   5.850  1.00228E+00  1.01876E+00 -1.59240E-02
    9121.883    129.616   5.900  1.02656E+00  1.01803E+00  8.25597E-03
    9124.140    131.874   5.950  1.04972E+00  1.01730E+00  3.13993E-02
    9126.417    134.150   6.000  1.07009E+00  1.01656E+00  5.18824E-02
    9128.712    136.446   6.050  1.08623E+00  1.01561E+00  6.85271E-02
    9131.027    138.760   6.100  1.09669E+00  1.01465E+00  7.97031E-02
    9133.361    141.094   6.150  1.10077E+00  1.01370E+00  8.46917E-02
    9135.713    143.447   6.200  1.09830E+00  1.01274E+00  8.33172E-02
    9138.085    145.818   6.250  1.08971E+00  1.01178E+00  7.59683E-02
    9140.476    148.209   6.300  1.07595E+00  1.01083E+00  6.35659E-02
    9142.886    150.619   6.350  1.05846E+00  1.00987E+00  4.74782E-02
    9145.314    153.048   6.400  1.03896E+00  1.00891E+00  2.93921E-02
    9147.762    155.496   6.450  1.01934E+00  1.00796E+00  1.11512E-02
    9150.229    157.963   6.500  1.00147E+00  1.00700E+00 -5.42320E-03
    9152.715    160.449   6.550  9.86988E-01  1.00606E+00 -1.87222E-02
    9155.220    162.954   6.600  9.77510E-01  1.00512E+00 -2.71315E-02
    9157.744    165.478   6.650  9.73814E-01  1.00417E+00 -2.98699E-02
    9160.288    168.021   6.700  9.76020E-01  1.00323E+00 -2.68012E-02
