# La2CuO4, Radaelli et al, PRB 49(6) 4163 (1994)                 Feff 8.50L  
# doi:10.1103/PhysRevB.49.4163
# POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.205 Rnm= 1.322 K  shell
# Pot 1 Z=57 Rmt= 1.755 Rnm= 1.830
# Pot 2 Z=29 Rmt= 1.175 Rnm= 1.252
# Pot 3 Z= 8 Rmt= 1.031 Rnm= 1.081
# Gam_ch=1.729E+00 H-L exch
# Mu=-8.214E+00 kf=2.053E+00 Vint=-1.954E+01 Rs_int= 1.767
# PATH  Rmax= 4.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      2.00     2   1.9044
#           2       0.00000    100.00      2.00     2   1.9044
#           4       0.00000     28.72      2.00     2   3.2308
#           5       0.00000     28.63      2.00     2   3.2413
#           6       0.00000     28.63      2.00     2   3.2413
#           7       0.00000     10.94      4.00     3   3.2437
#           8       0.00000     10.59      4.00     3   3.2582
#           9       0.00000     28.21      2.00     2   3.2872
#          14       0.00000     17.54      2.00     2   3.8035
#          15       0.00000     17.54      2.00     2   3.8035
#          16       0.00000     47.45      4.00     3   3.8061
#          17       0.00000     47.45      4.00     3   3.8061
#          18       0.00000     16.98      2.00     3   3.8088
#          19       0.00000     16.98      2.00     3   3.8088
#          20       0.00000      7.51      2.00     4   3.8088
#          21       0.00000      7.51      2.00     4   3.8088
#          22       0.00000      7.88      2.00     4   3.8088
#          23       0.00000     32.16      2.00     4   3.8088
#          24       0.00000      7.88      2.00     4   3.8088
#          25       0.00000     32.16      2.00     4   3.8088
#          26       0.00000      7.84      4.00     3   3.8655
#          27       0.00000      7.84      4.00     3   3.8655
#          28       0.00000      8.19      4.00     3   3.8885
#          29       0.00000      8.19      4.00     3   3.8885
#          30       0.00000      7.76      4.00     3   3.9121
#          31       0.00000      7.76      4.00     3   3.9121
#          32       0.00000      7.78      4.00     3   3.9173
#          33       0.00000      7.78      4.00     3   3.9173
#    28/  29 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0500   -8.906605E-02  3.517278E-01 -2.885581E+00
     0.1000   -9.095999E-02  3.604403E-01 -2.886476E+00
     0.1500   -9.866628E-02  3.878089E-01 -2.884345E+00
     0.2000   -1.081795E-01  4.154922E-01 -2.878193E+00
     0.2500   -1.320559E-01  4.648430E-01 -2.853539E+00
     0.3000   -1.612082E-01  5.142164E-01 -2.822713E+00
     0.3500   -2.190751E-01  5.841269E-01 -2.757145E+00
     0.4000   -2.856552E-01  6.522256E-01 -2.688253E+00
     0.4500   -3.866643E-01  7.291915E-01 -2.582680E+00
     0.5000   -4.934725E-01  8.013581E-01 -2.478198E+00
     0.5500   -6.177726E-01  8.693088E-01 -2.351174E+00
     0.6000   -7.372314E-01  9.303528E-01 -2.226824E+00
     0.6500   -8.511379E-01  9.827753E-01 -2.094335E+00
     0.7000   -9.492717E-01  1.027658E+00 -1.963904E+00
     0.7500   -1.031209E+00  1.066841E+00 -1.829974E+00
     0.8000   -1.089534E+00  1.098314E+00 -1.697322E+00
     0.8500   -1.126440E+00  1.126498E+00 -1.560670E+00
     0.9000   -1.134567E+00  1.146762E+00 -1.424829E+00
     0.9500   -1.116574E+00  1.164189E+00 -1.283805E+00
     1.0000   -1.067965E+00  1.173521E+00 -1.143409E+00
     1.0500   -9.911973E-01  1.179763E+00 -9.975903E-01
     1.1000   -8.867863E-01  1.177874E+00 -8.524125E-01
     1.1500   -7.572013E-01  1.172673E+00 -7.019466E-01
     1.2000   -6.083429E-01  1.159559E+00 -5.522841E-01
     1.2500   -4.428600E-01  1.143256E+00 -3.977741E-01
     1.3000   -2.708438E-01  1.119519E+00 -2.443531E-01
     1.3500   -9.446369E-02  1.092991E+00 -8.653476E-02
     1.4000    7.388483E-02  1.059733E+00  6.977685E-02
     1.4500    2.336017E-01  1.024296E+00  2.300855E-01
     1.5000    3.721709E-01  9.830218E-01  3.882820E-01
     1.5500    4.913984E-01  9.400230E-01  5.500754E-01
     1.6000    5.808423E-01  8.922183E-01  7.089132E-01
     1.6500    6.449819E-01  8.432562E-01  8.708405E-01
     1.7000    6.773194E-01  7.906736E-01  1.028713E+00
     1.7500    6.842198E-01  7.374133E-01  1.188645E+00
     1.8000    6.641592E-01  6.817692E-01  1.343017E+00
