# La2CuO4, Radaelli et al, PRB 49(6) 4163 (1994)                 Feff 8.50L  
# doi:10.1103/PhysRevB.49.4163
# POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.205 Rnm= 1.322 K  shell
# Pot 1 Z=57 Rmt= 1.755 Rnm= 1.830
# Pot 2 Z=29 Rmt= 1.175 Rnm= 1.252
# Pot 3 Z= 8 Rmt= 1.031 Rnm= 1.081
# Gam_ch=1.729E+00 H-L exch
# Mu=-8.214E+00 kf=2.053E+00 Vint=-1.954E+01 Rs_int= 1.767
# PATH  Rmax= 4.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      2.00     2   1.9044
#           2       0.00000    100.00      2.00     2   1.9044
#           4       0.00000     28.72      2.00     2   3.2308
#           5       0.00000     28.63      2.00     2   3.2413
#           6       0.00000     28.63      2.00     2   3.2413
#           7       0.00000     10.94      4.00     3   3.2437
#           8       0.00000     10.59      4.00     3   3.2582
#           9       0.00000     28.21      2.00     2   3.2872
#          14       0.00000     17.54      2.00     2   3.8035
#          15       0.00000     17.54      2.00     2   3.8035
#          16       0.00000     47.45      4.00     3   3.8061
#          17       0.00000     47.45      4.00     3   3.8061
#          18       0.00000     16.98      2.00     3   3.8088
#          19       0.00000     16.98      2.00     3   3.8088
#          20       0.00000      7.51      2.00     4   3.8088
#          21       0.00000      7.51      2.00     4   3.8088
#          22       0.00000      7.88      2.00     4   3.8088
#          23       0.00000     32.16      2.00     4   3.8088
#          24       0.00000      7.88      2.00     4   3.8088
#          25       0.00000     32.16      2.00     4   3.8088
#          26       0.00000      7.84      4.00     3   3.8655
#          27       0.00000      7.84      4.00     3   3.8655
#          28       0.00000      8.19      4.00     3   3.8885
#          29       0.00000      8.19      4.00     3   3.8885
#          30       0.00000      7.76      4.00     3   3.9121
#          31       0.00000      7.76      4.00     3   3.9121
#          32       0.00000      7.78      4.00     3   3.9173
#          33       0.00000      7.78      4.00     3   3.9173
#    28/  29 paths used
#  xsedge+50, used to normalize mu           2.4167E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8989.267     -8.204   0.050  3.90174E-01  4.66987E-01 -8.90660E-02
    8989.296     -8.176   0.100  3.94808E-01  4.73336E-01 -9.09600E-02
    8989.343     -8.128   0.150  4.06868E-01  4.92310E-01 -9.86663E-02
    8989.410     -8.061   0.200  4.17319E-01  5.11285E-01 -1.08180E-01
    8989.496     -7.976   0.250  4.25881E-01  5.41155E-01 -1.32056E-01
    8989.600     -7.871   0.300  4.29609E-01  5.71025E-01 -1.61208E-01
    8989.724     -7.747   0.350  4.13191E-01  6.06639E-01 -2.19075E-01
    8989.867     -7.604   0.400  3.88358E-01  6.42252E-01 -2.85655E-01
    8990.029     -7.442   0.450  3.30397E-01  6.76796E-01 -3.86664E-01
    8990.210     -7.261   0.500  2.65774E-01  7.11341E-01 -4.93472E-01
    8990.410     -7.061   0.550  1.78155E-01  7.40940E-01 -6.17773E-01
    8990.629     -6.842   0.600  9.29800E-02  7.70539E-01 -7.37231E-01
    8990.867     -6.604   0.650  5.11995E-03  7.94832E-01 -8.51138E-01
    8991.124     -6.347   0.700 -6.99658E-02  8.19125E-01 -9.49272E-01
    8991.401     -6.071   0.750 -1.36059E-01  8.39205E-01 -1.03121E+00
    8991.696     -5.775   0.800 -1.81103E-01  8.59285E-01 -1.08953E+00
    8992.010     -5.461   0.850 -2.09746E-01  8.76230E-01 -1.12644E+00
    8992.344     -5.128   0.900 -2.11058E-01  8.93176E-01 -1.13457E+00
    8992.696     -4.775   0.950 -1.88938E-01  9.07717E-01 -1.11657E+00
    8993.067     -4.404   1.000 -1.36156E-01  9.22258E-01 -1.06796E+00
    8993.458     -4.013   1.050 -5.57464E-02  9.34810E-01 -9.91197E-01
    8993.868     -3.604   1.100  5.37916E-02  9.47362E-01 -8.86786E-01
    8994.296     -3.175   1.150  1.89506E-01  9.58140E-01 -7.57201E-01
    8994.744     -2.727   1.200  3.46859E-01  9.68918E-01 -6.08343E-01
    8995.211     -2.261   1.250  5.22358E-01  9.78025E-01 -4.42860E-01
    8995.696     -1.775   1.300  7.06730E-01  9.87132E-01 -2.70844E-01
    8996.201     -1.270   1.350  8.96333E-01  9.94617E-01 -9.44637E-02
    8996.725     -0.746   1.400  1.07936E+00  1.00210E+00  7.38848E-02
    8997.268     -0.203   1.450  1.25317E+00  1.00802E+00  2.33602E-01
