# name:     NiO                                                  Feff 8.50L  
# formula:  NiO
# sites:    Ni1,O1
# refer1:   wyckoff 1,III,88
# refer2:
# schoen:
# notes1:   salt, halite
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.315 Rnm= 1.375 K  shell
# Pot 1 Z=28 Rmt= 1.320 Rnm= 1.381
# Pot 2 Z= 8 Rmt= 1.014 Rnm= 1.061
# Gam_ch=1.576E+00 H-L exch
# Mu=-3.100E+00 kf=2.249E+00 Vint=-2.236E+01 Rs_int= 1.613
# PATH  Rmax= 4.700,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.951                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.0842
#           2       0.00000     94.12     12.00     2   2.9475
#           3       0.00000     13.59     24.00     3   3.5580
#           4       0.00000     18.95     48.00     3   3.5580
#           5       0.00000     35.71      8.00     2   3.6099
#           6       0.00000     20.29      6.00     2   4.1684
#           7       0.00000     14.27      6.00     3   4.1684
#           8       0.00000     51.34     12.00     3   4.1684
#           9       0.00000      9.23      6.00     4   4.1684
#          10       0.00000      4.43      6.00     4   4.1684
#          11       0.00000     32.90      6.00     4   4.1684
#          12       0.00000      5.75     24.00     4   4.1684
#          14       0.00000      6.47     48.00     3   4.3208
#          15       0.00000     18.33     48.00     3   4.3208
#          16       0.00000     20.12     48.00     3   4.3208
#          17       0.00000      7.05     48.00     3   4.4213
#          18       0.00000     54.46     24.00     2   4.6604
#    17/  17 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0500    9.831218E-02  9.989627E-01  9.857382E-02
     0.1000    1.045827E-01  1.000080E+00  1.047658E-01
     0.1500    1.233859E-01  1.003376E+00  1.232828E-01
     0.2000    1.422813E-01  1.006607E+00  1.418224E-01
     0.2500    1.738677E-01  1.011832E+00  1.726916E-01
     0.3000    2.056273E-01  1.016875E+00  2.036190E-01
     0.3500    2.500030E-01  1.023524E+00  2.467534E-01
     0.4000    2.944759E-01  1.029818E+00  2.899970E-01
     0.4500    3.511427E-01  1.037282E+00  3.453457E-01
     0.5000    4.074453E-01  1.044164E+00  4.008616E-01
     0.5500    4.747082E-01  1.051650E+00  4.683265E-01
     0.6000    5.404847E-01  1.058282E+00  5.360209E-01
     0.6500    6.147917E-01  1.064866E+00  6.154694E-01
     0.7000    6.855677E-01  1.070283E+00  6.952117E-01
     0.7500    7.609222E-01  1.074945E+00  7.864794E-01
     0.8000    8.296319E-01  1.078100E+00  8.781067E-01
     0.8500    8.973465E-01  1.079765E+00  9.810053E-01
     0.9000    9.543354E-01  1.079575E+00  1.084333E+00
     0.9500    1.003438E+00  1.077167E+00  1.198660E+00
     1.0000    1.037257E+00  1.072567E+00  1.313493E+00
     1.0500    1.055835E+00  1.065063E+00  1.439063E+00
     1.1000    1.055049E+00  1.055066E+00  1.565228E+00
     1.1500    1.032628E+00  1.041564E+00  1.701880E+00
     1.2000    9.886084E-01  1.025331E+00  1.839240E+00
     1.2500    9.193573E-01  1.005132E+00  1.986920E+00
     1.3000    8.296109E-01  9.820583E-01  2.135462E+00
     1.3500    7.156035E-01  9.546354E-01  2.294121E+00
     1.4000    5.867371E-01  9.243194E-01  2.453872E+00
     1.4500    4.402996E-01  8.895208E-01  2.623775E+00
     1.5000    2.893077E-01  8.519592E-01  2.795123E+00
     1.5500    1.328425E-01  8.099620E-01  2.976837E+00
     1.6000   -1.453827E-02  7.655062E-01  3.160586E+00
     1.6500   -1.520663E-01  7.168971E-01  3.355334E+00
     1.7000   -2.665711E-01  6.663378E-01  3.553168E+00
     1.7500   -3.566261E-01  6.121874E-01  3.763448E+00
     1.8000   -4.136413E-01  5.568442E-01  3.978882E+00
     1.8500   -4.372056E-01  4.988407E-01  4.210018E+00
     1.9000   -4.257802E-01  4.407658E-01  4.450880E+00
     1.9500   -3.815603E-01  3.815620E-01  4.715343E+00
     2.0000   -3.107559E-01  3.241782E-01  5.001155E+00
     2.0500   -2.174660E-01  2.683428E-01  5.338344E+00
     2.1000   -1.147942E-01  2.188295E-01  5.730960E+00
     2.1500   -1.415068E-02  1.801872E-01  6.204571E+00
     2.2000    7.385164E-02  1.588222E-01  6.766815E+00
     2.2500    1.455137E-01  1.634623E-01  7.380962E+00
     2.3000    1.870844E-01  1.876355E-01  7.930642E+00
     2.3500    1.915488E-01  2.228545E-01  8.390440E+00
     2.4000    1.569830E-01  2.618945E-01  8.782010E+00
     2.4500    8.507044E-02  2.975534E-01  9.134833E+00
     2.5000   -1.019434E-02  3.304677E-01  9.455631E+00
     2.5500   -1.169695E-01  3.589862E-01  9.756670E+00
     2.6000   -2.222079E-01  3.820567E-01  1.004548E+01
     2.6500   -3.017672E-01  3.905579E-01  1.030779E+01
     2.7000   -3.568548E-01  3.935899E-01  1.056009E+01
     2.7500   -3.842012E-01  3.914096E-01  1.080336E+01
     2.8000   -3.840979E-01  3.844440E-01  1.103801E+01
     2.8500   -3.684936E-01  3.812964E-01  1.125545E+01
     2.9000   -3.342070E-01  3.755539E-01  1.146924E+01
     2.9500   -2.849010E-01  3.675031E-01  1.167928E+01
     3.0000   -2.250270E-01  3.574563E-01  1.188543E+01
     3.0500   -1.594303E-01  3.466873E-01  1.208852E+01
     3.1000   -9.202348E-02  3.345482E-01  1.228771E+01
     3.1500   -2.686527E-02  3.213745E-01  1.248268E+01
     3.2000    3.276460E-02  3.075092E-01  1.267312E+01
     3.2500    8.439189E-02  2.927568E-01  1.285879E+01
     3.3000    1.264359E-01  2.777836E-01  1.303892E+01
     3.3500    1.583833E-01  2.628793E-01  1.321299E+01
     3.4000    1.805753E-01  2.483618E-01  1.338041E+01
     3.4500    1.938948E-01  2.344565E-01  1.354012E+01
     3.5000    2.002127E-01  2.217889E-01  1.369242E+01
     3.5500    2.012071E-01  2.105530E-01  1.383810E+01
     3.6000    1.983345E-01  2.008690E-01  1.397814E+01
     3.6500    1.929972E-01  1.930520E-01  1.411333E+01
     3.7000    1.860859E-01  1.871912E-01  1.424589E+01
     3.7500    1.779050E-01  1.832288E-01  1.437882E+01
     3.8000    1.681927E-01  1.809665E-01  1.451514E+01
     3.8500    1.562887E-01  1.802129E-01  1.465832E+01
     3.9000    1.413036E-01  1.805284E-01  1.480894E+01
     3.9500    1.223589E-01  1.815211E-01  1.496825E+01
     4.0000    9.882295E-02  1.828046E-01  1.513682E+01
     4.0500    7.028776E-02  1.836577E-01  1.531523E+01
     4.1000    3.763617E-02  1.841580E-01  1.550214E+01
     4.1500    2.006701E-03  1.840642E-01  1.569706E+01
     4.2000   -3.485764E-02  1.831933E-01  1.589941E+01
     4.2500   -7.074564E-02  1.814631E-01  1.610845E+01
     4.3000   -1.032067E-01  1.787679E-01  1.632341E+01
     4.3500   -1.298798E-01  1.750684E-01  1.654383E+01
     4.4000   -1.487341E-01  1.703669E-01  1.676933E+01
     4.4500   -1.583133E-01  1.647076E-01  1.699920E+01
     4.5000   -1.579644E-01  1.581281E-01  1.723326E+01
     4.5500   -1.479275E-01  1.507132E-01  1.747132E+01
     4.6000   -1.293219E-01  1.425715E-01  1.771329E+01
     4.6500   -1.038656E-01  1.335600E-01  1.795861E+01
     4.7000   -7.428749E-02  1.240547E-01  1.820752E+01
     4.7500   -4.335445E-02  1.142045E-01  1.846017E+01
     4.8000   -1.378824E-02  1.041676E-01  1.871680E+01
     4.8500    1.194023E-02  9.402989E-02  1.897688E+01
     4.9000    3.205464E-02  8.396442E-02  1.924126E+01
     4.9500    4.550709E-02  7.413027E-02  1.951052E+01
     5.0000    5.207873E-02  6.468390E-02  1.978544E+01
     5.0500    5.213713E-02  5.558451E-02  2.006631E+01
     5.1000    4.699827E-02  4.709889E-02  2.035498E+01
     5.1500    3.829871E-02  3.936025E-02  2.065313E+01
     5.2000    2.782865E-02  3.248846E-02  2.096256E+01
     5.2500    1.702541E-02  2.632658E-02  2.128790E+01
     5.3000    7.491230E-03  2.118149E-02  2.162966E+01
     5.3500    9.652413E-05  1.710385E-02  2.198551E+01
     5.4000   -4.868030E-03  1.408251E-02  2.234411E+01
     5.4500   -7.694975E-03  1.183242E-02  2.269917E+01
     5.5000   -8.888524E-03  1.044635E-02  2.300879E+01
     5.5500   -9.337573E-03  9.839599E-03  2.324113E+01
     5.6000   -9.940509E-03  1.008838E-02  2.339052E+01
     5.6500   -1.117516E-02  1.118721E-02  2.351552E+01
     5.7000   -1.340913E-02  1.344633E-02  2.363635E+01
     5.7500   -1.646488E-02  1.688182E-02  2.378466E+01
     5.8000   -1.967852E-02  2.140460E-02  2.396629E+01
     5.8500   -2.165135E-02  2.663171E-02  2.418347E+01
     5.9000   -2.144304E-02  3.268201E-02  2.441709E+01
     5.9500   -1.788504E-02  3.944097E-02  2.466209E+01
     6.0000   -1.011242E-02  4.679186E-02  2.491491E+01
     6.0500    2.696448E-03  5.419642E-02  2.518252E+01
     6.1000    1.946747E-02  6.195238E-02  2.545239E+01
     6.1500    3.897772E-02  6.994306E-02  2.572385E+01
     6.2000    5.933649E-02  7.804975E-02  2.599642E+01
     6.2500    7.817615E-02  8.615338E-02  2.626981E+01
     6.3000    9.293781E-02  9.413620E-02  2.654380E+01
     6.3500    1.012140E-01  1.018835E-01  2.681825E+01
