# name:     NiO                                                  Feff 8.50L  
# formula:  NiO
# sites:    Ni1,O1
# refer1:   wyckoff 1,III,88
# refer2:
# schoen:
# notes1:   salt, halite
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.315 Rnm= 1.375 K  shell
# Pot 1 Z=28 Rmt= 1.320 Rnm= 1.381
# Pot 2 Z= 8 Rmt= 1.014 Rnm= 1.061
# Gam_ch=1.576E+00 H-L exch
# Mu=-3.100E+00 kf=2.249E+00 Vint=-2.236E+01 Rs_int= 1.613
# PATH  Rmax= 5.900,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.951                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.0842
#           2       0.00000     94.12     12.00     2   2.9475
#           3       0.00000     13.59     24.00     3   3.5580
#           4       0.00000     18.95     48.00     3   3.5580
#           5       0.00000     35.71      8.00     2   3.6099
#           6       0.00000     20.29      6.00     2   4.1684
#           7       0.00000     14.27      6.00     3   4.1684
#           8       0.00000     51.34     12.00     3   4.1684
#           9       0.00000      9.23      6.00     4   4.1684
#          10       0.00000      4.43      6.00     4   4.1684
#          11       0.00000     32.90      6.00     4   4.1684
#          12       0.00000      5.75     24.00     4   4.1684
#          14       0.00000      6.47     48.00     3   4.3208
#          15       0.00000     18.33     48.00     3   4.3208
#          16       0.00000     20.12     48.00     3   4.3208
#          17       0.00000      7.05     48.00     3   4.4213
#          18       0.00000     54.46     24.00     2   4.6604
#          19       0.00000     20.82     48.00     3   4.8461
#          20       0.00000     46.64     48.00     3   4.8461
#          21       0.00000     21.21     48.00     3   4.8461
#          22       0.00000      5.90     48.00     3   5.0317
#          23       0.00000      4.15     48.00     4   5.0317
#          24       0.00000      4.53     48.00     4   5.0317
#          25       0.00000      9.74     48.00     4   5.0317
#          26       0.00000     10.26     24.00     4   5.0317
#          27       0.00000     16.02     24.00     4   5.0317
#          29       0.00000      5.42     48.00     4   5.0317
#          30       0.00000      9.05     48.00     4   5.0317
#          31       0.00000      8.40     48.00     4   5.0317
#          32       0.00000     47.71     24.00     2   5.1052
#          33       0.00000     19.00     48.00     3   5.3997
#          34       0.00000     13.64     48.00     3   5.3997
#          35       0.00000     16.12     48.00     3   5.3997
#          37       0.00000      8.09     48.00     3   5.4565
#          38       0.00000      8.25     48.00     3   5.4565
#          40       0.00000      9.89     48.00     4   5.4565
#          41       0.00000      6.20     48.00     4   5.4565
#          42       0.00000      7.18     48.00     3   5.5001
#          43       0.00000     13.21     96.00     3   5.5001
#          44       0.00000      4.16     96.00     3   5.6089
#          45       0.00000     13.48     96.00     3   5.6089
#          46       0.00000     11.99     96.00     3   5.6089
#          49       0.00000      6.68     48.00     4   5.6422
#          51       0.00000      8.67     48.00     5   5.6422
#          56       0.00000      5.04     48.00     4   5.6941
#          57       0.00000      7.04     96.00     4   5.7946
#          58       0.00000      8.86     96.00     4   5.7946
#          59       0.00000      4.76     96.00     4   5.7946
#          61       0.00000      7.99     96.00     4   5.7946
#          62       0.00000      5.15     96.00     4   5.7946
#          63       0.00000      5.77     96.00     4   5.7946
#          67       0.00000     16.03     12.00     2   5.8950
#          68       0.00000      5.81     12.00     3   5.8950
#          69       0.00000     37.99     24.00     3   5.8950
#          70       0.00000      6.50     12.00     4   5.8950
#          72       0.00000     28.33     12.00     4   5.8950
#    56/  64 paths used
#  xsedge+50, used to normalize mu           2.6821E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8338.447     -3.090   0.050  9.54974E-01  4.52408E-01  5.81287E-01
    8338.475     -3.062   0.100  9.65941E-01  4.59181E-01  5.85861E-01
    8338.523     -3.014   0.150  9.98441E-01  4.79280E-01  5.99358E-01
    8338.589     -2.947   0.200  1.03074E+00  4.99380E-01  6.12586E-01
    8338.675     -2.862   0.250  1.08168E+00  5.30464E-01  6.34015E-01
    8338.780     -2.757   0.300  1.13204E+00  5.61549E-01  6.54688E-01
    8338.904     -2.633   0.350  1.19344E+00  5.97136E-01  6.82172E-01
    8339.047     -2.490   0.400  1.25366E+00  6.32724E-01  7.08156E-01
    8339.209     -2.328   0.450  1.31590E+00  6.65296E-01  7.39130E-01
    8339.390     -2.147   0.500  1.37615E+00  6.97869E-01  7.67608E-01
    8339.590     -1.947   0.550  1.43300E+00  7.24040E-01  7.98731E-01
    8339.809     -1.728   0.600  1.48680E+00  7.50211E-01  8.26144E-01
    8340.047     -1.490   0.650  1.53519E+00  7.70440E-01  8.53446E-01
    8340.304     -1.233   0.700  1.57926E+00  7.90668E-01  8.75680E-01
    8340.580     -0.957   0.750  1.61669E+00  8.06545E-01  8.94773E-01
    8340.875     -0.661   0.800  1.64841E+00  8.22423E-01  9.07397E-01
    8341.190     -0.347   0.850  1.67183E+00  8.35321E-01  9.13770E-01
    8341.523     -0.014   0.900  1.68814E+00  8.48219E-01  9.12352E-01
    8341.876      0.339   0.950  1.69402E+00  8.59094E-01  9.01722E-01
    8342.247      0.710   1.000  1.69153E+00  8.69969E-01  8.82226E-01
    8342.638      1.101   1.050  1.67641E+00  8.79371E-01  8.51007E-01
    8343.047      1.510   1.100  1.65205E+00  8.88773E-01  8.10325E-01
    8343.476      1.939   1.150  1.61339E+00  8.97061E-01  7.56268E-01
    8343.923      2.387   1.200  1.56541E+00  9.05350E-01  6.93013E-01
    8344.390      2.853   1.250  1.50271E+00  9.12706E-01  6.16191E-01
    8344.876      3.339   1.300  1.43198E+00  9.20061E-01  5.31834E-01
    8345.381      3.844   1.350  1.34824E+00  9.26578E-01  4.35930E-01
    8345.905      4.368   1.400  1.25992E+00  9.33095E-01  3.36240E-01
    8346.448      4.911   1.450  1.16331E+00  9.38827E-01  2.29938E-01
    8347.010      5.473   1.500  1.06813E+00  9.44560E-01  1.26021E-01
    8347.591      6.054   1.550  9.72605E-01  9.49509E-01  2.34660E-02
    8348.191      6.654   1.600  8.86755E-01  9.54457E-01 -6.85287E-02
    8348.810      7.273   1.650  8.10709E-01  9.58629E-01 -1.49260E-01
    8349.448      7.911   1.700  7.52983E-01  9.62800E-01 -2.11064E-01
    8350.105      8.568   1.750  7.14553E-01  9.66188E-01 -2.52533E-01
    8350.781      9.245   1.800  7.00150E-01  9.69576E-01 -2.69751E-01
    8351.477      9.940   1.850  7.09642E-01  9.72163E-01 -2.62421E-01
    8352.191     10.654   1.900  7.42058E-01  9.74750E-01 -2.32236E-01
    8352.925     11.388   1.950  7.94268E-01  9.76508E-01 -1.81744E-01
    8353.677     12.140   2.000  8.59305E-01  9.78266E-01 -1.18547E-01
    8354.449     12.912   2.050  9.31226E-01  9.78854E-01 -4.74839E-02
    8355.239     13.702   2.100  9.98770E-01  9.79443E-01  1.92772E-02
    8356.049     14.512   2.150  1.05266E+00  9.80032E-01  7.24750E-02
    8356.877     15.341   2.200  1.08549E+00  9.80620E-01  1.04694E-01
    8357.725     16.188   2.250  1.09156E+00  9.78750E-01  1.13030E-01
    8358.592     17.055   2.300  1.06791E+00  9.76881E-01  9.15362E-02
    8359.478     17.941   2.350  1.01478E+00  9.75011E-01  4.01333E-02
