# name:     NiO                                                  Feff 8.50L  
# formula:  NiO
# sites:    Ni1,O1
# refer1:   wyckoff 1,III,88
# refer2:
# schoen:
# notes1:   salt, halite
# POT  SCF  30  4.2000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.315 Rnm= 1.375 K  shell
# Pot 1 Z=28 Rmt= 1.320 Rnm= 1.381
# Pot 2 Z= 8 Rmt= 1.014 Rnm= 1.061
# Gam_ch=1.576E+00 H-L exch
# Mu=-1.195E+01 kf=2.169E+00 Vint=-2.164E+01 Rs_int= 1.672
# PATH  Rmax= 4.700,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.951                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.0842
#           2       0.00000     80.86     12.00     2   2.9475
#           3       0.00000     19.25     24.00     3   3.5580
#           4       0.00000     37.29     48.00     3   3.5580
#           5       0.00000     33.29      8.00     2   3.6099
#           6       0.00000     17.91      6.00     2   4.1684
#           7       0.00000     15.93      6.00     3   4.1684
#           8       0.00000     48.91     12.00     3   4.1684
#           9       0.00000      9.59      6.00     4   4.1684
#          10       0.00000      7.57      6.00     4   4.1684
#          11       0.00000     32.52      6.00     4   4.1684
#          12       0.00000     15.51     24.00     4   4.1684
#          13       0.00000     10.35     48.00     3   4.3208
#          14       0.00000     29.18     48.00     3   4.3208
#          15       0.00000     20.02     48.00     3   4.3208
#          16       0.00000      7.37     48.00     3   4.4213
#          17       0.00000     49.41     24.00     2   4.6604
#    17/  17 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0500   -7.602357E-01  9.189734E-01 -9.742240E-01
     0.1000   -7.516349E-01  9.128605E-01 -9.673490E-01
     0.1500   -7.261385E-01  8.947446E-01 -9.468164E-01
     0.2000   -7.009767E-01  8.766822E-01 -9.265940E-01
     0.2500   -6.598425E-01  8.470419E-01 -8.930634E-01
     0.3000   -6.198138E-01  8.175446E-01 -8.604570E-01
     0.3500   -5.658101E-01  7.771613E-01 -8.154690E-01
     0.4000   -5.144492E-01  7.370801E-01 -7.725388E-01
     0.4500   -4.525540E-01  6.870226E-01 -7.191133E-01
     0.5000   -3.958690E-01  6.375871E-01 -6.698727E-01
     0.5500   -3.339569E-01  5.795236E-01 -6.141463E-01
     0.6000   -2.808365E-01  5.227875E-01 -5.671028E-01
     0.6500   -2.292727E-01  4.595172E-01 -5.223783E-01
     0.7000   -1.905169E-01  3.992794E-01 -4.974110E-01
     0.7500   -1.604418E-01  3.365793E-01 -4.968782E-01
     0.8000   -1.463696E-01  2.818950E-01 -5.459551E-01
     0.8500   -1.464663E-01  2.355712E-01 -6.709746E-01
     0.9000   -1.631546E-01  2.120162E-01 -8.781184E-01
     0.9500   -1.953702E-01  2.169605E-01 -1.120889E+00
     1.0000   -2.403047E-01  2.499906E-01 -1.291519E+00
     1.0500   -2.964045E-01  3.026610E-01 -1.367115E+00
     1.1000   -3.561611E-01  3.641335E-01 -1.361156E+00
     1.1500   -4.160274E-01  4.317139E-01 -1.300398E+00
     1.2000   -4.660379E-01  4.990414E-01 -1.205075E+00
     1.2500   -5.007161E-01  5.671651E-01 -1.081875E+00
     1.3000   -5.110689E-01  6.315357E-01 -9.428706E-01
     1.3500   -4.910488E-01  6.939628E-01 -7.860974E-01
