# name:     NiO                                                  Feff 8.50L  
# formula:  NiO
# sites:    Ni1,O1
# refer1:   wyckoff 1,III,88
# refer2:
# schoen:
# notes1:   salt, halite
# POT  SCF  30  4.2000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.315 Rnm= 1.375 K  shell
# Pot 1 Z=28 Rmt= 1.320 Rnm= 1.381
# Pot 2 Z= 8 Rmt= 1.014 Rnm= 1.061
# Gam_ch=1.576E+00 H-L exch
# Mu=-1.195E+01 kf=2.169E+00 Vint=-2.164E+01 Rs_int= 1.672
# PATH  Rmax= 5.900,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.951                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.0842
#           2       0.00000     80.86     12.00     2   2.9475
#           3       0.00000     19.25     24.00     3   3.5580
#           4       0.00000     37.29     48.00     3   3.5580
#           5       0.00000     33.29      8.00     2   3.6099
#           6       0.00000     17.91      6.00     2   4.1684
#           7       0.00000     15.93      6.00     3   4.1684
#           8       0.00000     48.91     12.00     3   4.1684
#           9       0.00000      9.59      6.00     4   4.1684
#          10       0.00000      7.57      6.00     4   4.1684
#          11       0.00000     32.52      6.00     4   4.1684
#          12       0.00000     15.51     24.00     4   4.1684
#          13       0.00000     10.35     48.00     3   4.3208
#          14       0.00000     29.18     48.00     3   4.3208
#          15       0.00000     20.02     48.00     3   4.3208
#          16       0.00000      7.37     48.00     3   4.4213
#          17       0.00000     49.41     24.00     2   4.6604
#          18       0.00000     25.51     48.00     3   4.8461
#          19       0.00000     56.74     48.00     3   4.8461
#          20       0.00000     18.60     48.00     3   4.8461
#          21       0.00000      5.74     48.00     3   5.0317
#          22       0.00000      8.23     24.00     4   5.0317
#          23       0.00000      7.64     48.00     4   5.0317
#          25       0.00000     15.82     48.00     4   5.0317
#          26       0.00000     14.07     24.00     4   5.0317
#          27       0.00000      4.95     24.00     4   5.0317
#          28       0.00000     25.69     24.00     4   5.0317
#          31       0.00000      5.49     48.00     4   5.0317
#          32       0.00000      9.41     96.00     4   5.0317
#          33       0.00000     13.04     48.00     4   5.0317
#          34       0.00000      9.68     48.00     4   5.0317
#          35       0.00000     42.33     24.00     2   5.1052
#          36       0.00000     18.34     48.00     3   5.3997
#          37       0.00000     21.12     48.00     3   5.3997
#          38       0.00000     21.62     48.00     3   5.3997
#          39       0.00000      5.16     48.00     3   5.4565
#          40       0.00000     12.41     48.00     3   5.4565
#          41       0.00000      7.85     48.00     3   5.4565
#          42       0.00000      7.12     48.00     4   5.4565
#          43       0.00000     11.95     48.00     4   5.4565
#          44       0.00000      9.06     48.00     4   5.4565
#          45       0.00000      7.55     48.00     3   5.5001
#          46       0.00000     15.52     96.00     3   5.5001
#          47       0.00000      6.85     96.00     3   5.6089
#          48       0.00000     11.67     96.00     3   5.6089
#          49       0.00000     17.54     96.00     3   5.6089
#          50       0.00000      6.72     48.00     4   5.6422
#          54       0.00000      8.64     48.00     4   5.6422
#          55       0.00000      4.68     48.00     4   5.6422
#          56       0.00000      6.62     48.00     4   5.6422
#          58       0.00000      4.03     48.00     5   5.6422
#          59       0.00000     14.94     48.00     5   5.6422
#          60       0.00000      4.79     48.00     5   5.6422
#          61       0.00000      4.13     48.00     5   5.6422
#          63       0.00000      7.82     24.00     4   5.6941
#          64       0.00000      5.83     24.00     4   5.6941
#          66       0.00000      8.82     48.00     4   5.6941
#          67       0.00000      7.59     96.00     4   5.7946
#          68       0.00000     11.54     96.00     4   5.7946
#          69       0.00000     12.17     96.00     4   5.7946
#          70       0.00000      7.97     96.00     4   5.7946
#          71       0.00000      6.31     96.00     4   5.7946
#          72       0.00000      5.92     96.00     4   5.7946
#          73       0.00000      8.85     96.00     4   5.7946
#          74       0.00000     10.93     96.00     4   5.7946
#          75       0.00000      6.53     96.00     4   5.7946
#          76       0.00000      5.82     96.00     4   5.7946
#          78       0.00000      5.25     96.00     4   5.7946
#          79       0.00000     14.22     12.00     2   5.8950
#          80       0.00000      6.07     12.00     3   5.8950
#          81       0.00000     29.65     24.00     3   5.8950
#          82       0.00000      5.13     12.00     4   5.8950
#          84       0.00000     20.92     12.00     4   5.8950
#    73/  79 paths used
#  xsedge+50, used to normalize mu           2.6962E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8338.447    -11.942   0.050 -1.84933E-01  3.12483E-01 -9.17961E-01
    8338.475    -11.913   0.100 -1.76121E-01  3.17066E-01 -9.08532E-01
    8338.523    -11.866   0.150 -1.50027E-01  3.30616E-01 -8.80729E-01
    8338.589    -11.799   0.200 -1.23617E-01  3.44166E-01 -8.52644E-01
    8338.675    -11.713   0.250 -8.12906E-02  3.65433E-01 -8.07220E-01
    8338.780    -11.609   0.300 -3.85788E-02  3.86701E-01 -7.61884E-01
    8338.904    -11.485   0.350  1.54439E-02  4.11875E-01 -7.01924E-01
    8339.047    -11.342   0.400  6.91728E-02  4.37049E-01 -6.43859E-01
    8339.209    -11.180   0.450  1.27731E-01  4.61618E-01 -5.76013E-01
    8339.390    -10.999   0.500  1.84167E-01  4.86187E-01 -5.13691E-01
    8339.590    -10.799   0.550  2.40107E-01  5.08049E-01 -4.48210E-01
    8339.809    -10.580   0.600  2.90985E-01  5.29912E-01 -3.93184E-01
    8340.047    -10.342   0.650  3.37389E-01  5.49301E-01 -3.42386E-01
    8340.304    -10.085   0.700  3.75275E-01  5.68690E-01 -3.06918E-01
    8340.580     -9.808   0.750  4.05069E-01  5.86452E-01 -2.82235E-01
    8340.875     -9.513   0.800  4.23540E-01  6.04213E-01 -2.75776E-01
    8341.190     -9.199   0.850  4.31301E-01  6.21023E-01 -2.83764E-01
    8341.523     -8.865   0.900  4.27199E-01  6.37833E-01 -3.08832E-01
    8341.876     -8.513   0.950  4.12623E-01  6.54106E-01 -3.46866E-01
    8342.247     -8.142   1.000  3.89616E-01  6.70379E-01 -3.95254E-01
    8342.638     -7.751   1.050  3.60964E-01  6.86237E-01 -4.48684E-01
    8343.047     -7.341   1.100  3.32093E-01  7.02095E-01 -5.00298E-01
    8343.476     -6.913   1.150  3.07755E-01  7.17545E-01 -5.43255E-01
    8343.923     -6.465   1.200  2.95292E-01  7.32995E-01 -5.69122E-01
    8344.390     -5.998   1.250  3.00820E-01  7.47934E-01 -5.70518E-01
    8344.876     -5.513   1.300  3.30541E-01  7.62873E-01 -5.41558E-01
    8345.381     -5.008   1.350  3.90008E-01  7.77151E-01 -4.76495E-01
    8345.905     -4.484   1.400  4.80538E-01  7.91429E-01 -3.76086E-01
    8346.448     -3.941   1.450  6.04329E-01  8.04856E-01 -2.38702E-01
    8347.010     -3.379   1.500  7.55096E-01  8.18283E-01 -7.40336E-02
    8347.591     -2.798   1.550  9.29662E-01  8.30695E-01  1.14295E-01
    8348.191     -2.198   1.600  1.11415E+00  8.43107E-01  3.08605E-01
    8348.810     -1.579   1.650  1.29979E+00  8.54327E-01  5.00853E-01
    8349.448     -0.941   1.700  1.46923E+00  8.65547E-01  6.70360E-01
    8350.105     -0.283   1.750  1.61098E+00  8.75431E-01  8.08140E-01
    8350.781      0.393   1.800  1.71091E+00  8.85316E-01  8.97566E-01
    8351.477      1.088   1.850  1.75977E+00  8.93753E-01  9.33422E-01
    8352.191      1.803   1.900  1.75341E+00  9.02190E-01  9.09654E-01
    8352.925      2.536   1.950  1.68954E+00  9.09044E-01  8.28592E-01
    8353.677      3.288   2.000  1.57809E+00  9.15897E-01  6.98399E-01
    8354.449      4.060   2.050  1.42199E+00  9.20167E-01  5.27448E-01
    8355.239      4.850   2.100  1.24661E+00  9.24436E-01  3.37461E-01
    8356.049      5.660   2.150  1.07158E+00  9.28706E-01  1.49147E-01
    8356.877      6.489   2.200  9.15481E-01  9.32976E-01 -1.81999E-02
    8357.725      7.337   2.250  7.86806E-01  9.32897E-01 -1.52252E-01
    8358.592      8.203   2.300  7.10897E-01  9.32818E-01 -2.31691E-01
    8359.478      9.089   2.350  6.89700E-01  9.32740E-01 -2.54192E-01
    8360.383      9.994   2.400  7.16776E-01  9.32661E-01 -2.26195E-01
    8361.306     10.918   2.450  7.88104E-01  9.37183E-01 -1.55391E-01
    8362.249     11.861   2.500  8.70893E-01  9.41705E-01 -7.34302E-02
    8363.211     12.823   2.550  9.45828E-01  9.46227E-01 -4.11159E-04
    8364.193     13.804   2.600  9.98355E-01  9.50749E-01  4.88636E-02
    8365.193     14.804   2.650  1.02248E+00  9.58361E-01  6.54718E-02
    8366.212     15.823   2.700  1.02268E+00  9.65972E-01  5.76172E-02
    8367.250     16.861   2.750  1.00192E+00  9.73584E-01  2.86416E-02
    8368.307     17.919   2.800  9.66053E-01  9.81195E-01 -1.52296E-02
    8369.384     18.995   2.850  9.16886E-01  9.83901E-01 -6.73090E-02
