 Uraninite                                                        Feff 8.50L
 Wyckoff, R. W. G.
 Second edition. Interscience Publishers, New York, New York
 Fluorite structure
 POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=92 Rmt= 1.631 Rnm= 1.711 L3 shell
 Pot 1 Z=92 Rmt= 1.636 Rnm= 1.717
 Pot 2 Z= 8 Rmt= 1.044 Rnm= 1.096
 Gam_ch=8.104E+00 H-L exch
 Mu=-8.114E+00 kf=2.112E+00 Vint=-1.836E+01 Rs_int= 1.717
 PATH  Rmax= 5.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   16      icalc       2
 -----------------------------------------------------------------------
   2   6.000   5.4682    2.5893   -8.11371 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  92 U        absorbing atom
    -0.0000   -0.0000    5.4682  1  92 U     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  1.6093E+01  2.1320E-04 -1.8984E+01  3.838E-01  3.1417E+00  1.6706E+00
  0.100  1.6090E+01  8.3174E-02 -2.0037E+01  3.894E-01  3.1469E+00  1.6734E+00
  0.200  1.6082E+01  1.6640E-01 -2.1021E+01  4.062E-01  3.1624E+00  1.6817E+00
  0.300  1.6069E+01  2.4945E-01 -2.1933E+01  4.337E-01  3.1879E+00  1.6954E+00
  0.400  1.6057E+01  3.3171E-01 -2.2778E+01  4.714E-01  3.2230E+00  1.7144E+00
  0.500  1.6045E+01  4.1235E-01 -2.3559E+01  5.182E-01  3.2671E+00  1.7387E+00
  0.600  1.6036E+01  4.9045E-01 -2.4278E+01  5.724E-01  3.3193E+00  1.7679E+00
  0.700  1.6030E+01  5.6500E-01 -2.4938E+01  6.322E-01  3.3787E+00  1.8020E+00
  0.800  1.6025E+01  6.3479E-01 -2.5542E+01  6.954E-01  3.4443E+00  1.8407E+00
