 Uraninite                                                        Feff 8.50L
 Wyckoff, R. W. G.
 Second edition. Interscience Publishers, New York, New York
 Fluorite structure
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=92 Rmt= 1.631 Rnm= 1.711 L3 shell
 Pot 1 Z=92 Rmt= 1.636 Rnm= 1.717
 Pot 2 Z= 8 Rmt= 1.044 Rnm= 1.096
 Gam_ch=8.104E+00 H-L exch
 Mu=-6.404E-01 kf=2.192E+00 Vint=-1.895E+01 Rs_int= 1.655
 PATH  Rmax= 5.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   10      icalc       2
 -----------------------------------------------------------------------
   4  24.000   4.7356    2.5893   -0.64041 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  92 U        absorbing atom
     1.3671    1.3671   -1.3671  2   8 O     
    -0.0000    2.7341   -2.7341  1  92 U     
     1.3671    1.3671   -1.3671  2   8 O     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  1.5091E+01  1.6721E-05 -1.7692E+01  7.855E-01  4.1470E+00  2.2052E+00
  0.100  1.5093E+01  2.8107E-02 -1.8619E+01  7.875E-01  4.1510E+00  2.2073E+00
  0.200  1.5097E+01  5.5232E-02 -1.9507E+01  7.934E-01  4.1630E+00  2.2138E+00
  0.300  1.5104E+01  8.0458E-02 -2.0357E+01  8.030E-01  4.1828E+00  2.2244E+00
  0.400  1.5112E+01  1.0297E-01 -2.1168E+01  8.161E-01  4.2098E+00  2.2393E+00
  0.500  1.5123E+01  1.2220E-01 -2.1942E+01  8.323E-01  4.2437E+00  2.2583E+00
  0.600  1.5133E+01  1.3774E-01 -2.2680E+01  8.510E-01  4.2836E+00  2.2813E+00
  0.700  1.5144E+01  1.4939E-01 -2.3383E+01  8.718E-01  4.3288E+00  2.3082E+00
  0.800  1.5154E+01  1.5717E-01 -2.4054E+01  8.941E-01  4.3784E+00  2.3389E+00
  0.900  1.5162E+01  1.6128E-01 -2.4694E+01  9.173E-01  4.4314E+00  2.3734E+00
  1.000  1.5168E+01  1.6202E-01 -2.5303E+01  9.408E-01  4.4867E+00  2.4115E+00
  1.100  1.5170E+01  1.5984E-01 -2.5884E+01  9.643E-01  4.5433E+00  2.4531E+00
  1.200  1.5170E+01  1.5518E-01 -2.6438E+01  9.871E-01  4.6001E+00  2.4980E+00
  1.300  1.5164E+01  1.4861E-01 -2.6968E+01  1.009E+00  4.6560E+00  2.5463E+00
  1.400  1.5155E+01  1.4065E-01 -2.7475E+01  1.030E+00  4.7102E+00  2.5978E+00
  1.500  1.5140E+01  1.3165E-01 -2.7960E+01  1.049E+00  4.7619E+00  2.6524E+00
  1.600  1.5121E+01  1.2212E-01 -2.8426E+01  1.067E+00  4.8104E+00  2.7101E+00
  1.700  1.5096E+01  1.1242E-01 -2.8874E+01  1.084E+00  4.8556E+00  2.7708E+00
  1.800  1.5066E+01  1.0293E-01 -2.9305E+01  1.098E+00  4.8974E+00  2.8346E+00
  1.900  1.5030E+01  9.3765E-02 -2.9720E+01  1.111E+00  4.9362E+00  2.9013E+00
  2.000  1.4989E+01  8.5550E-02 -3.0122E+01  1.122E+00  4.9728E+00  2.9712E+00
  2.200  1.4891E+01  7.2298E-02 -3.0884E+01  1.137E+00  5.0452E+00  3.1201E+00
  2.400  1.4774E+01  6.3935E-02 -3.1546E+01  1.138E+00  5.1322E+00  3.2823E+00
  2.600  1.4581E+01  5.4300E-02 -3.1998E+01  1.149E+00  5.0228E+00  3.4728E+00
  2.800  1.4466E+01  6.3918E-02 -3.2833E+01  1.307E+00  4.0494E+00  3.6342E+00
  3.000  1.4435E+01  8.1903E-02 -3.3586E+01  1.365E+00  3.7862E+00  3.7663E+00
  3.200  1.4394E+01  9.3734E-02 -3.4164E+01  1.392E+00  3.6607E+00  3.9056E+00
  3.400  1.4342E+01  9.7548E-02 -3.4618E+01  1.402E+00  3.6180E+00  4.0521E+00
  3.600  1.4284E+01  9.2916E-02 -3.4978E+01  1.398E+00  3.6254E+00  4.2037E+00
  3.800  1.4220E+01  8.2644E-02 -3.5252E+01  1.385E+00  3.6665E+00  4.3601E+00
  4.000  1.4151E+01  6.9629E-02 -3.5450E+01  1.369E+00  3.7321E+00  4.5208E+00
  4.200  1.4077E+01  5.7027E-02 -3.5568E+01  1.347E+00  3.8166E+00  4.6854E+00
  4.400  1.3997E+01  4.6357E-02 -3.5629E+01  1.324E+00  3.9160E+00  4.8534E+00
  4.600  1.3910E+01  3.8032E-02 -3.5646E+01  1.298E+00  4.0277E+00  5.0245E+00
