# Uraninite                                                      Feff 8.50L  
# Wyckoff, R. W. G.
# Second edition. Interscience Publishers, New York, New York
# Fluorite structure
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=92 Rmt= 1.631 Rnm= 1.711 L3 shell
# Pot 1 Z=92 Rmt= 1.636 Rnm= 1.717
# Pot 2 Z= 8 Rmt= 1.044 Rnm= 1.096
# Gam_ch=8.104E+00 H-L exch
# Mu=-6.404E-01 kf=2.192E+00 Vint=-1.895E+01 Rs_int= 1.655
# PATH  Rmax= 5.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.909                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      8.00     2   2.3678
#           2       0.00000      7.99     24.00     3   3.7349
#           3       0.00000     66.15     12.00     2   3.8666
#           4       0.00000      8.24     24.00     3   4.3011
#           5       0.00000      7.26     48.00     3   4.3011
#           6       0.00000     36.68     24.00     2   4.5340
#           7       0.00000      6.18      8.00     3   4.7356
#           8       0.00000     13.79      8.00     4   4.7356
#           9       0.00000      5.68      8.00     4   4.7356
#          10       0.00000      4.38     24.00     4   4.7356
#          12       0.00000     12.65     48.00     3   4.8179
#          14       0.00000      6.88     96.00     3   5.3842
#          15       0.00000      4.45     96.00     3   5.3842
#          16       0.00000     15.12     96.00     3   5.3842
#          17       0.00000     12.07      6.00     2   5.4682
#    15/  17 paths used
#  xsedge+50, used to normalize mu           2.2187E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   17165.091     -0.631   0.050  1.05704E+00  6.45572E-01  2.70581E-01
   17165.120     -0.602   0.100  1.05929E+00  6.47466E-01  2.71039E-01
   17165.168     -0.555   0.150  1.06598E+00  6.53236E-01  2.72305E-01
   17165.234     -0.488   0.200  1.07246E+00  6.59007E-01  2.73436E-01
   17165.320     -0.402   0.250  1.08271E+00  6.68605E-01  2.74965E-01
   17165.425     -0.298   0.300  1.09236E+00  6.78204E-01  2.76108E-01
   17165.549     -0.174   0.350  1.10462E+00  6.91442E-01  2.76972E-01
   17165.692     -0.031   0.400  1.11571E+00  7.04679E-01  2.77055E-01
   17165.853      0.131   0.450  1.12763E+00  7.21161E-01  2.75850E-01
   17166.034      0.312   0.500  1.13767E+00  7.37643E-01  2.73349E-01
   17166.234      0.512   0.550  1.14629E+00  7.56665E-01  2.68389E-01
   17166.454      0.731   0.600  1.15232E+00  7.75686E-01  2.61556E-01
   17166.692      0.969   0.650  1.15441E+00  7.96203E-01  2.51029E-01
   17166.949      1.226   0.700  1.15343E+00  8.16720E-01  2.38139E-01
   17167.225      1.503   0.750  1.14621E+00  8.37454E-01  2.20559E-01
   17167.520      1.798   0.800  1.13599E+00  8.58187E-01  2.00454E-01
   17167.835      2.112   0.850  1.11812E+00  8.77794E-01  1.75275E-01
   17168.168      2.446   0.900  1.09817E+00  8.97402E-01  1.48015E-01
   17168.520      2.798   0.950  1.07083E+00  9.14800E-01  1.16330E-01
   17168.892      3.170   1.000  1.04338E+00  9.32199E-01  8.38381E-02
   17169.282      3.560   1.050  1.01062E+00  9.46705E-01  4.87606E-02
