# Uraninite                                                      Feff 8.50L  
# Wyckoff, R. W. G.
# Second edition. Interscience Publishers, New York, New York
# Fluorite structure
# POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=92 Rmt= 1.631 Rnm= 1.711 L3 shell
# Pot 1 Z=92 Rmt= 1.636 Rnm= 1.717
# Pot 2 Z= 8 Rmt= 1.044 Rnm= 1.096
# Gam_ch=8.104E+00 H-L exch
# Mu=-8.114E+00 kf=2.112E+00 Vint=-1.836E+01 Rs_int= 1.717
# PATH  Rmax= 5.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.909                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      8.00     2   2.3678
#           2       0.00000      7.81     24.00     3   3.7349
#           3       0.00000     55.64     12.00     2   3.8666
#           4       0.00000      8.54     24.00     3   4.3011
#           5       0.00000      9.11     48.00     3   4.3011
#           6       0.00000     31.04     24.00     2   4.5340
#           7       0.00000      5.77      8.00     3   4.7356
#           8       0.00000     17.88      8.00     4   4.7356
#           9       0.00000      5.91      8.00     4   4.7356
#          10       0.00000      6.21     24.00     4   4.7356
#          11       0.00000     13.45     48.00     3   4.8179
#          12       0.00000      4.51     24.00     4   5.1019
#          13       0.00000      7.49     96.00     3   5.3842
#          14       0.00000      4.84     96.00     3   5.3842
#          15       0.00000     15.29     96.00     3   5.3842
#          16       0.00000     10.03      6.00     2   5.4682
#    16/  16 paths used
#  xsedge+50, used to normalize mu           2.2249E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   17165.091     -8.104   0.050  7.23334E-01  8.59744E-01 -4.43964E-02
   17165.120     -8.076   0.100  7.27641E-01  8.62131E-01 -4.40505E-02
   17165.168     -8.028   0.150  7.40708E-01  8.69503E-01 -4.29466E-02
   17165.234     -7.961   0.200  7.53916E-01  8.76876E-01 -4.17543E-02
   17165.320     -7.876   0.250  7.75854E-01  8.89200E-01 -3.95495E-02
   17165.425     -7.771   0.300  7.98104E-01  9.01524E-01 -3.71080E-02
   17165.549     -7.647   0.350  8.28682E-01  9.18398E-01 -3.32894E-02
   17165.692     -7.504   0.400  8.59699E-01  9.35273E-01 -2.90324E-02
   17165.853     -7.342   0.450  8.98254E-01  9.55943E-01 -2.30001E-02
   17166.034     -7.161   0.500  9.37287E-01  9.76614E-01 -1.62954E-02
   17166.234     -6.961   0.550  9.82607E-01  9.99811E-01 -7.40820E-03
   17166.454     -6.742   0.600  1.02837E+00  1.02301E+00  2.40221E-03
   17166.692     -6.504   0.650  1.07822E+00  1.04691E+00  1.45811E-02
   17166.949     -6.247   0.700  1.12858E+00  1.07081E+00  2.79860E-02
   17167.225     -5.971   0.750  1.18088E+00  1.09324E+00  4.40550E-02
   17167.520     -5.675   0.800  1.23386E+00  1.11568E+00  6.17392E-02
   17167.835     -5.361   0.850  1.28681E+00  1.13455E+00  8.24004E-02
   17168.168     -5.028   0.900  1.34054E+00  1.15342E+00  1.05045E-01
   17168.520     -4.675   0.950  1.39250E+00  1.16717E+00  1.30799E-01
   17168.892     -4.304   1.000  1.44459E+00  1.18092E+00  1.58449E-01
   17169.282     -3.913   1.050  1.49264E+00  1.18880E+00  1.88440E-01
