# name:     zircon                                               Feff 8.50L  
# formula:  ZrSiO4
# sites:    Zr1,Si1,O1
# refer1:   wyckoff XII,157
# refer2:
# schoen:
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=14 Rmt= 0.991 Rnm= 1.189 K  shell
# Pot 1 Z=40 Rmt= 1.490 Rnm= 1.564
# Pot 2 Z=14 Rmt= 0.992 Rnm= 1.193
# Pot 3 Z= 8 Rmt= 0.932 Rnm= 1.037
# Gam_ch=4.153E-01 H-L exch
# Mu= 4.092E+00 kf=2.491E+00 Vint=-1.954E+01 Rs_int= 1.456
# PATH  Rmax= 4.400,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.938                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   1.6123
#           2       0.00000      5.36      4.00     3   2.8231
#           3       0.00000     16.42      8.00     3   2.9785
#           4       0.00000     18.03      2.00     2   3.0075
#           5       0.00000     21.98      4.00     4   3.2246
#           6       0.00000      9.69      8.00     4   3.2246
#           8       0.00000     20.88      4.00     2   3.3160
#           9       0.00000      4.86      8.00     3   3.4545
#          10       0.00000     35.64      8.00     2   3.5501
#          11       0.00000     24.13      4.00     2   3.6339
#          12       0.00000     18.42      4.00     2   3.6339
#          13       0.00000     32.29      8.00     3   3.6946
#          14       0.00000     14.19      4.00     4   3.7552
#          15       0.00000      9.25     16.00     3   3.8895
#          16       0.00000      9.57     16.00     3   4.0065
#          17       0.00000      4.94      4.00     4   4.0339
#          18       0.00000     13.18      4.00     2   4.0346
#          19       0.00000     23.45      8.00     3   4.0942
#          20       0.00000     11.75      4.00     4   4.1539
#          21       0.00000      5.05     16.00     4   4.1893
#          23       0.00000      9.79      8.00     4   4.3447
#          24       0.00000     21.75      8.00     2   4.3724
#          25       0.00000      6.78     16.00     3   4.3982
#    23/  25 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000    7.601363E-01  7.606655E-01  1.533491E+00
     0.0500    7.587125E-01  7.591360E-01  1.537392E+00
     0.1000    7.572716E-01  7.576013E-01  1.541291E+00
     0.1500    7.528877E-01  7.530080E-01  1.552920E+00
     0.2000    7.483543E-01  7.483689E-01  1.564530E+00
     0.2500    7.406161E-01  7.406778E-01  1.583704E+00
     0.3000    7.324874E-01  7.328630E-01  1.602815E+00
     0.3500    7.207860E-01  7.220171E-01  1.629201E+00
     0.4000    7.083947E-01  7.109397E-01  1.655435E+00
     0.4500    6.920559E-01  6.968811E-01  1.688543E+00
     0.5000    6.747483E-01  6.824662E-01  1.721330E+00
     0.5500    6.532362E-01  6.651647E-01  1.760464E+00
     0.6000    6.306032E-01  6.473854E-01  1.798989E+00
     0.6500    6.037616E-01  6.268739E-01  1.843185E+00
     0.7000    5.758962E-01  6.057983E-01  1.886300E+00
     0.7500    5.441942E-01  5.822175E-01  1.934200E+00
     0.8000    5.119275E-01  5.580637E-01  1.980276E+00
     0.8500    4.766872E-01  5.317526E-01  2.029910E+00
     0.9000    4.417660E-01  5.049872E-01  2.076556E+00
     0.9500    4.050987E-01  4.764295E-01  2.125075E+00
     1.0000    3.700370E-01  4.477259E-01  2.168765E+00
     1.0500    3.349331E-01  4.178662E-01  2.211740E+00
     1.1000    3.029825E-01  3.884503E-01  2.246963E+00
     1.1500    2.728356E-01  3.587703E-01  2.277550E+00
     1.2000    2.473938E-01  3.305595E-01  2.295932E+00
     1.2500    2.254566E-01  3.034421E-01  2.304055E+00
     1.3000    2.094375E-01  2.794840E-01  2.294480E+00
     1.3500    1.981303E-01  2.587020E-01  2.269210E+00
     1.4000    1.932309E-01  2.434620E-01  2.224758E+00
     1.4500    1.934083E-01  2.338673E-01  2.167842E+00
     1.5000    1.994291E-01  2.317207E-01  2.105059E+00
     1.5500    2.098313E-01  2.362983E-01  2.048630E+00
     1.6000    2.242560E-01  2.476007E-01  2.008526E+00
     1.6500    2.410519E-01  2.639673E-01  1.990552E+00
     1.7000    2.588504E-01  2.842647E-01  1.996868E+00
