 name:     zircon                                                 Feff 8.50L
 formula:  ZrSiO4
 sites:    Zr1,Si1,O1
 refer1:   wyckoff XII,157
 refer2:
 schoen:
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=14 Rmt= 0.991 Rnm= 1.189 K  shell
 Pot 1 Z=40 Rmt= 1.490 Rnm= 1.564
 Pot 2 Z=14 Rmt= 0.992 Rnm= 1.193
 Pot 3 Z= 8 Rmt= 0.932 Rnm= 1.037
 Gam_ch=4.153E-01 H-L exch
 Mu= 4.092E+00 kf=2.491E+00 Vint=-1.954E+01 Rs_int= 1.456
 PATH  Rmax= 4.400,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    8      icalc       2
 -----------------------------------------------------------------------
   2   4.000   3.3160    2.2389    4.09194 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  14 Si       absorbing atom
    -1.4831    1.4831    2.5684  3   8 O     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.1452E+01  2.8227E-05 -8.5651E+00  1.003E+00  9.1411E+01  2.4908E+00
  0.100  1.1452E+01  3.7898E-02 -9.2167E+00  1.003E+00  9.1480E+01  2.4927E+00
  0.200  1.1450E+01  7.5584E-02 -9.8437E+00  1.003E+00  9.1667E+01  2.4984E+00
  0.300  1.1448E+01  1.1285E-01 -1.0447E+01  1.003E+00  9.1916E+01  2.5080E+00
  0.400  1.1444E+01  1.4951E-01 -1.1026E+01  1.003E+00  9.2132E+01  2.5213E+00
  0.500  1.1440E+01  1.8537E-01 -1.1582E+01  1.003E+00  9.2191E+01  2.5383E+00
  0.600  1.1434E+01  2.2029E-01 -1.2114E+01  1.003E+00  9.1940E+01  2.5589E+00
  0.700  1.1426E+01  2.5412E-01 -1.2624E+01  1.004E+00  9.1221E+01  2.5831E+00
  0.800  1.1417E+01  2.8675E-01 -1.3112E+01  1.004E+00  8.9885E+01  2.6108E+00
  0.900  1.1406E+01  3.1808E-01 -1.3578E+01  1.005E+00  8.7822E+01  2.6419E+00
  1.000  1.1393E+01  3.4804E-01 -1.4023E+01  1.006E+00  8.4981E+01  2.6762E+00
  1.100  1.1378E+01  3.7657E-01 -1.4448E+01  1.007E+00  8.1389E+01  2.7138E+00
  1.200  1.1361E+01  4.0363E-01 -1.4852E+01  1.008E+00  7.7148E+01  2.7544E+00
  1.300  1.1342E+01  4.2917E-01 -1.5236E+01  1.009E+00  7.2420E+01  2.7981E+00
  1.400  1.1320E+01  4.5318E-01 -1.5601E+01  1.011E+00  6.7400E+01  2.8447E+00
  1.500  1.1296E+01  4.7561E-01 -1.5946E+01  1.012E+00  6.2284E+01  2.8941E+00
  1.600  1.1269E+01  4.9644E-01 -1.6274E+01  1.014E+00  5.7250E+01  2.9464E+00
  1.700  1.1240E+01  5.1563E-01 -1.6583E+01  1.017E+00  5.2437E+01  3.0014E+00
  1.800  1.1207E+01  5.3314E-01 -1.6873E+01  1.019E+00  4.7942E+01  3.0591E+00
  1.900  1.1173E+01  5.4891E-01 -1.7146E+01  1.022E+00  4.3825E+01  3.1194E+00
  2.000  1.1135E+01  5.6287E-01 -1.7401E+01  1.024E+00  4.0115E+01  3.1824E+00
  2.200  1.1052E+01  5.8503E-01 -1.7859E+01  1.030E+00  3.3917E+01  3.3162E+00
  2.400  1.0957E+01  5.9884E-01 -1.8247E+01  1.035E+00  2.9243E+01  3.4607E+00
