# name:     zircon                                               Feff 8.50L  
# formula:  ZrSiO4
# sites:    Zr1,Si1,O1
# refer1:   wyckoff XII,157
# refer2:
# schoen:
# POT  SCF  30  4.4000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=14 Rmt= 0.991 Rnm= 1.189 K  shell
# Pot 1 Z=40 Rmt= 1.490 Rnm= 1.564
# Pot 2 Z=14 Rmt= 0.992 Rnm= 1.193
# Pot 3 Z= 8 Rmt= 0.932 Rnm= 1.037
# Gam_ch=4.153E-01 H-L exch
# Mu=-5.477E+00 kf=2.422E+00 Vint=-1.910E+01 Rs_int= 1.498
# PATH  Rmax= 4.400,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.938                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   1.6123
#           2       0.00000      6.38      4.00     3   2.8231
#           3       0.00000     17.03      8.00     3   2.9785
#           4       0.00000     15.96      2.00     2   3.0075
#           5       0.00000     25.80      4.00     4   3.2246
#           6       0.00000      9.28      8.00     4   3.2246
#           7       0.00000      5.57      4.00     4   3.2246
#           8       0.00000     19.77      4.00     2   3.3160
#           9       0.00000     10.51      8.00     3   3.4545
#          10       0.00000     33.64      8.00     2   3.5501
#          11       0.00000     22.27      4.00     2   3.6339
#          12       0.00000     13.68      4.00     2   3.6339
#          13       0.00000     37.57      8.00     3   3.6946
#          14       0.00000     20.15      4.00     4   3.7552
#          15       0.00000     14.76     16.00     3   3.8895
#          16       0.00000      4.59      4.00     4   3.9016
#          17       0.00000     15.00     16.00     3   4.0065
#          18       0.00000      7.07      4.00     4   4.0339
#          19       0.00000     12.38      4.00     2   4.0346
#          20       0.00000     25.64      8.00     3   4.0942
#          21       0.00000     15.14      4.00     4   4.1539
#          22       0.00000      8.53     16.00     4   4.1893
#          23       0.00000      4.78      8.00     3   4.2332
#          24       0.00000     10.33     16.00     3   4.2646
#          25       0.00000     13.30      8.00     4   4.3447
#          26       0.00000     20.36      8.00     2   4.3724
#          27       0.00000      8.32     16.00     3   4.3982
#    27/  27 paths used
#  xsedge+50, used to normalize mu           1.2188E-03
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    1841.023     -5.477   0.000  1.36510E-01  9.72049E-01 -4.16776E-01
    1841.033     -5.467   0.050  1.91799E-01  1.02917E+00 -4.18068E-01
    1841.061     -5.439   0.100  2.47153E-01  1.08629E+00 -4.19329E-01
    1841.109     -5.391   0.150  3.82741E-01  1.22685E+00 -4.22951E-01
    1841.176     -5.324   0.200  5.18947E-01  1.36742E+00 -4.26282E-01
    1841.261     -5.239   0.250  6.31606E-01  1.48600E+00 -4.31181E-01
    1841.366     -5.134   0.300  7.46170E-01  1.60459E+00 -4.35158E-01
    1841.490     -5.010   0.350  8.02322E-01  1.66323E+00 -4.39122E-01
    1841.633     -4.867   0.400  8.62627E-01  1.72187E+00 -4.41004E-01
    1841.795     -4.705   0.450  8.93354E-01  1.74451E+00 -4.40294E-01
    1841.976     -4.524   0.500  9.31443E-01  1.76716E+00 -4.35734E-01
    1842.176     -4.324   0.550  9.63579E-01  1.77115E+00 -4.25045E-01
    1842.395     -4.105   0.600  1.00674E+00  1.77515E+00 -4.08294E-01
    1842.633     -3.867   0.650  1.05867E+00  1.76869E+00 -3.81391E-01
    1842.890     -3.610   0.700  1.12462E+00  1.76224E+00 -3.46286E-01
    1843.166     -3.334   0.750  1.20866E+00  1.74935E+00 -2.97238E-01
    1843.462     -3.038   0.800  1.30737E+00  1.73647E+00 -2.38805E-01
    1843.776     -2.724   0.850  1.42680E+00  1.71943E+00 -1.65040E-01
    1844.109     -2.391   0.900  1.55806E+00  1.70239E+00 -8.25039E-02
    1844.462     -2.038   0.950  1.70764E+00  1.68264E+00  1.44953E-02
    1844.833     -1.667   1.000  1.86189E+00  1.66289E+00  1.17072E-01
    1845.224     -1.276   1.050  2.02605E+00  1.64145E+00  2.29669E-01
    1845.633     -0.867   1.100  2.18450E+00  1.62001E+00  3.42256E-01
    1846.062     -0.438   1.150  2.33978E+00  1.59764E+00  4.57004E-01
    1846.510      0.010   1.200  2.47682E+00  1.57528E+00  5.63980E-01
    1846.976      0.476   1.250  2.59699E+00  1.55258E+00  6.63799E-01
    1847.462      0.962   1.300  2.68770E+00  1.52988E+00  7.47832E-01
    1847.967      1.467   1.350  2.75067E+00  1.50729E+00  8.16043E-01
    1848.491      1.991   1.400  2.77733E+00  1.48471E+00  8.62271E-01
    1849.034      2.534   1.450  2.77231E+00  1.46265E+00  8.87707E-01
    1849.596      3.096   1.500  2.72944E+00  1.44058E+00  8.87897E-01
    1850.177      3.677   1.550  2.66024E+00  1.41926E+00  8.68517E-01
    1850.777      4.277   1.600  2.55810E+00  1.39793E+00  8.25074E-01
    1851.396      4.896   1.650  2.43999E+00  1.37759E+00  7.67303E-01
    1852.034      5.534   1.700  2.30124E+00  1.35725E+00  6.92556E-01
    1852.691      6.191   1.750  2.16005E+00  1.33801E+00  6.12189E-01
    1853.368      6.868   1.800  2.01497E+00  1.31877E+00  5.26414E-01
    1854.063      7.563   1.850  1.87894E+00  1.30072E+00  4.43556E-01
    1854.777      8.277   1.900  1.75436E+00  1.28267E+00  3.67158E-01
    1855.511      9.011   1.950  1.64670E+00  1.26592E+00  3.00486E-01
    1856.263      9.763   2.000  1.56012E+00  1.24918E+00  2.48814E-01
    1857.035     10.535   2.050  1.49185E+00  1.23432E+00  2.08654E-01
    1857.825     11.325   2.100  1.44703E+00  1.21946E+00  1.86709E-01
    1858.635     12.135   2.150  1.42395E+00  1.20460E+00  1.82266E-01
    1859.464     12.964   2.200  1.41858E+00  1.18974E+00  1.92620E-01
    1860.311     13.811   2.250  1.42394E+00  1.17738E+00  2.09774E-01
    1861.178     14.678   2.300  1.43729E+00  1.16501E+00  2.34166E-01
    1862.064     15.564   2.350  1.45112E+00  1.15265E+00  2.59524E-01
    1862.969     16.469   2.400  1.45834E+00  1.14029E+00  2.79630E-01
    1863.893     17.393   2.450  1.45830E+00  1.13042E+00  2.90809E-01
    1864.836     18.336   2.500  1.44270E+00  1.12055E+00  2.88272E-01
    1865.798     19.298   2.550  1.40834E+00  1.11069E+00  2.68739E-01
    1866.779     20.279   2.600  1.35440E+00  1.10082E+00  2.31029E-01
    1867.779     21.279   2.650  1.28761E+00  1.09429E+00  1.77148E-01
    1868.798     22.298   2.700  1.20139E+00  1.08777E+00  1.04730E-01
    1869.836     23.336   2.750  1.10217E+00  1.08124E+00  1.94068E-02
    1870.893     24.394   2.800  9.98243E-01  1.07472E+00 -7.13255E-02
    1871.970     25.470   2.850  8.94326E-01  1.06764E+00 -1.62910E-01
    1873.065     26.565   2.900  8.06909E-01  1.06056E+00 -2.40312E-01
    1874.180     27.680   2.950  7.41392E-01  1.05348E+00 -2.98033E-01
    1875.313     28.813   3.000  7.00316E-01  1.04640E+00 -3.33155E-01
    1876.466     29.966   3.050  6.81692E-01  1.04062E+00 -3.48344E-01
    1877.637     31.137   3.100  6.80216E-01  1.03485E+00 -3.47004E-01
    1878.828     32.328   3.150  6.92967E-01  1.02907E+00 -3.31605E-01
    1880.037     33.538   3.200  7.16223E-01  1.02330E+00 -3.05499E-01
    1881.266     34.766   3.250  7.45439E-01  1.02020E+00 -2.74015E-01
    1882.514     36.014   3.300  7.77983E-01  1.01709E+00 -2.39050E-01
    1883.781     37.281   3.350  8.10464E-01  1.01399E+00 -2.03975E-01
    1885.067     38.567   3.400  8.40018E-01  1.01088E+00 -1.71668E-01
    1886.372     39.872   3.450  8.67248E-01  1.01058E+00 -1.43870E-01
    1887.695     41.196   3.500  8.88963E-01  1.01029E+00 -1.21658E-01
    1889.039     42.539   3.550  9.04475E-01  1.00999E+00 -1.05701E-01
    1890.401     43.901   3.600  9.13943E-01  1.00969E+00 -9.58255E-02
    1891.782     45.282   3.650  9.19768E-01  1.01034E+00 -9.04812E-02
    1893.182     46.682   3.700  9.21680E-01  1.01100E+00 -8.90577E-02
    1894.601     48.101   3.750  9.21328E-01  1.01165E+00 -8.98934E-02
    1896.039     49.539   3.800  9.20551E-01  1.01230E+00 -9.11474E-02
    1897.497     50.997   3.850  9.21480E-01  1.01346E+00 -9.11558E-02
    1898.973     52.473   3.900  9.25010E-01  1.01462E+00 -8.85932E-02
    1900.468     53.969   3.950  9.32309E-01  1.01577E+00 -8.23244E-02
    1901.983     55.483   4.000  9.44020E-01  1.01693E+00 -7.17438E-02
    1903.516     57.017   4.050  9.60110E-01  1.01851E+00 -5.73133E-02
    1905.069     58.569   4.100  9.80195E-01  1.02010E+00 -3.90510E-02
    1906.641     60.141   4.150  1.00335E+00  1.02168E+00 -1.78874E-02
    1908.231     61.731   4.200  1.02826E+00  1.02326E+00  4.86109E-03
    1909.841     63.341   4.250  1.05358E+00  1.02518E+00  2.75691E-02
    1911.470     64.970   4.300  1.07792E+00  1.02710E+00  4.91920E-02
    1913.118     66.618   4.350  1.09975E+00  1.02902E+00  6.82721E-02
    1914.784     68.285   4.400  1.11780E+00  1.03094E+00  8.36178E-02
    1916.470     69.971   4.450  1.13154E+00  1.03273E+00  9.48639E-02
    1918.175     71.675   4.500  1.14088E+00  1.03452E+00  1.01827E-01
