# 1-bromo-adamantane                                             Feff 8.50L  
# POT  SCF  30  8.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=35 Rmt= 1.346 Rnm= 1.565 K  shell
# Pot 1 Z= 6 Rmt= 0.889 Rnm= 1.046
# Pot 2 Z= 1 Rmt= 0.840 Rnm= 0.972
# Gam_ch=3.018E+00 H-L exch
# Mu=-7.712E+00 kf=2.233E+00 Vint=-1.459E+01 Rs_int= 1.624
# PATH  Rmax= 3.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.919                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      1.00     2   1.9521
#           2       0.00000    106.50      3.00     2   2.8567
#           3       0.00000     43.02      6.00     2   3.0185
#           4       0.00000     73.51      4.00     3   3.1734
#           5       0.00000     36.77      2.00     3   3.1732
#           6       0.00000     26.95      8.00     3   3.4865
#           7       0.00000     13.47      4.00     3   3.4868
#           8       0.00000      8.12      1.00     4   3.4898
#           9       0.00000     16.23      2.00     4   3.4899
#     9/   9 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0500   -5.920183E-02  2.660894E-01 -2.243662E-01
     0.1000   -5.634649E-02  2.666050E-01 -2.129541E-01
     0.1500   -4.788492E-02  2.678943E-01 -1.797113E-01
     0.2000   -3.934138E-02  2.692367E-01 -1.466470E-01
     0.2500   -2.550297E-02  2.707701E-01 -9.432661E-02
     0.3000   -1.154751E-02  2.723245E-01 -4.241621E-02
     0.3500    6.868650E-03  2.734002E-01  2.512571E-02
     0.4000    2.521423E-02  2.743041E-01  9.205065E-02
     0.4500    4.656691E-02  2.742199E-01  1.706429E-01
     0.5000    6.730069E-02  2.736637E-01  2.484737E-01
     0.5500    8.919602E-02  2.719027E-01  3.342321E-01
     0.6000    1.096195E-01  2.693842E-01  4.190866E-01
     0.6500    1.294365E-01  2.657416E-01  5.087393E-01
     0.7000    1.468692E-01  2.611606E-01  5.972504E-01
     0.7500    1.627048E-01  2.557413E-01  6.895741E-01
     0.8000    1.754141E-01  2.493112E-01  7.804442E-01
     0.8500    1.855913E-01  2.426247E-01  8.709353E-01
     0.9000    1.924437E-01  2.350157E-01  9.594129E-01
     0.9500    1.971781E-01  2.275378E-01  1.048294E+00
     1.0000    1.987451E-01  2.192767E-01  1.134604E+00
     1.0500    1.987378E-01  2.115436E-01  1.221067E+00
     1.1000    1.960448E-01  2.032116E-01  1.304424E+00
     1.1500    1.924608E-01  1.957039E-01  1.388493E+00
     1.2000    1.868120E-01  1.877824E-01  1.469090E+00
     1.2500    1.808227E-01  1.808571E-01  1.551299E+00
     1.3000    1.733746E-01  1.736781E-01  1.629928E+00
     1.3500    1.658975E-01  1.675516E-01  1.711423E+00
     1.4000    1.574431E-01  1.612859E-01  1.789524E+00
     1.4500    1.490020E-01  1.560195E-01  1.871860E+00
     1.5000    1.399053E-01  1.506779E-01  1.951224E+00
     1.5500    1.306481E-01  1.462296E-01  2.036635E+00
     1.6000    1.209016E-01  1.417106E-01  2.119583E+00
     1.6500    1.106912E-01  1.379103E-01  2.209897E+00
     1.7000    1.000984E-01  1.340123E-01  2.298153E+00
     1.7500    8.873213E-02  1.306437E-01  2.394932E+00
     1.8000    7.712269E-02  1.271370E-01  2.489802E+00
     1.8500    6.451690E-02  1.239940E-01  2.594364E+00
     1.9000    5.192135E-02  1.206774E-01  2.696824E+00
     1.9500    3.839333E-02  1.175346E-01  2.808830E+00
     2.0000    2.529493E-02  1.142120E-01  2.918267E+00
     2.0500    1.065622E-02  1.110750E-01  3.045508E+00
     2.1000   -2.937499E-03  1.077022E-01  3.168870E+00
     2.1500   -1.519906E-02  1.041964E-01  3.287984E+00
     2.2000   -2.597085E-02  1.006641E-01  3.402539E+00
     2.2500   -3.807222E-02  9.676810E-02  3.545960E+00
     2.3000   -4.803518E-02  9.290332E-02  3.684988E+00
     2.3500   -5.588322E-02  8.912270E-02  3.819336E+00
     2.4000   -6.174763E-02  8.548108E-02  3.948793E+00
     2.4500   -6.632418E-02  8.136046E-02  4.094649E+00
     2.5000   -6.867394E-02  7.721601E-02  4.237568E+00
     2.5500   -6.903027E-02  7.309577E-02  4.377300E+00
     2.6000   -6.768708E-02  6.904651E-02  4.513625E+00
     2.6500   -6.571196E-02  6.586430E-02  4.644361E+00
     2.7000   -6.260091E-02  6.271482E-02  4.772669E+00
     2.7500   -5.859367E-02  5.962195E-02  4.898381E+00
     2.8000   -5.392815E-02  5.660846E-02  5.021345E+00
     2.8500   -4.913623E-02  5.461774E-02  5.164244E+00
     2.9000   -4.361248E-02  5.261728E-02  5.306114E+00
     2.9500   -3.756682E-02  5.061663E-02  5.446863E+00
     3.0000   -3.120555E-02  4.862521E-02  5.586399E+00
     3.0500   -2.417414E-02  4.671141E-02  5.739234E+00
     3.1000   -1.709478E-02  4.479508E-02  5.891635E+00
     3.1500   -1.017661E-02  4.288051E-02  6.043574E+00
     3.2000   -3.607482E-03  4.097187E-02  6.195023E+00
     3.2500    2.568063E-03  3.930600E-02  6.348567E+00
     3.3000    8.189872E-03  3.764511E-02  6.502494E+00
     3.3500    1.313655E-02  3.598767E-02  6.656849E+00
     3.4000    1.731150E-02  3.433262E-02  6.811674E+00
     3.4500    2.092679E-02  3.310029E-02  6.967605E+00
     3.5000    2.375708E-02  3.185665E-02  7.124844E+00
     3.5500    2.575212E-02  3.059866E-02  7.283442E+00
     3.6000    2.688763E-02  2.932427E-02  7.443446E+00
     3.6500    2.749742E-02  2.836292E-02  7.606306E+00
     3.7000    2.727311E-02  2.736757E-02  7.770872E+00
     3.7500    2.624697E-02  2.633797E-02  7.937134E+00
     3.8000    2.448227E-02  2.527496E-02  8.105090E+00
     3.8500    2.224821E-02  2.439513E-02  8.276659E+00
     3.9000    1.942912E-02  2.347139E-02  8.449641E+00
     3.9500    1.615834E-02  2.250730E-02  8.623975E+00
     4.0000    1.258671E-02  2.150725E-02  8.799613E+00
     4.0500    8.902866E-03  2.060648E-02  8.978022E+00
     4.1000    5.198612E-03  1.966818E-02  9.157284E+00
     4.1500    1.633536E-03  1.869772E-02  9.337301E+00
     4.2000   -1.647257E-03  1.770098E-02  9.517973E+00
     4.2500   -4.558072E-03  1.674598E-02  9.700445E+00
     4.3000   -6.979935E-03  1.576585E-02  9.883413E+00
     4.3500   -8.841936E-03  1.476640E-02  1.006676E+01
     4.4000   -1.010827E-02  1.375369E-02  1.025037E+01
     4.4500   -1.076597E-02  1.270427E-02  1.043590E+01
     4.5000   -1.085371E-02  1.167064E-02  1.061920E+01
     4.5500   -1.046882E-02  1.066646E-02  1.080277E+01
     4.6000   -9.678198E-03  9.678393E-03  1.098923E+01
     4.6500   -8.537480E-03  8.672164E-03  1.117205E+01
