 1-bromo-adamantane                                               Feff 8.50L
 POT  SCF  30  8.0000   0, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=35 Rmt= 1.346 Rnm= 1.565 K  shell
 Pot 1 Z= 6 Rmt= 0.889 Rnm= 1.046
 Pot 2 Z= 1 Rmt= 0.840 Rnm= 0.972
 Gam_ch=3.018E+00 H-L exch
 Mu=-7.712E+00 kf=2.233E+00 Vint=-1.459E+01 Rs_int= 1.624
 PATH  Rmax= 3.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    2      icalc       2
 -----------------------------------------------------------------------
   2   3.000   2.8567    1.9603   -7.71196 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  35 Br       absorbing atom
    -2.4606   -1.0460    1.0059  1   6 C     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  7.6124E+00  1.5267E-04 -4.7764E+00  1.202E+00  6.8242E+00  1.3513E+00
  0.100  7.6081E+00  1.1569E-01 -5.3266E+00  1.201E+00  6.8419E+00  1.3548E+00
  0.200  7.5950E+00  2.2969E-01 -5.8372E+00  1.199E+00  6.8942E+00  1.3653E+00
  0.300  7.5735E+00  3.4019E-01 -6.3087E+00  1.196E+00  6.9798E+00  1.3825E+00
  0.400  7.5438E+00  4.4526E-01 -6.7432E+00  1.192E+00  7.0962E+00  1.4063E+00
  0.500  7.5064E+00  5.4296E-01 -7.1431E+00  1.187E+00  7.2398E+00  1.4363E+00
  0.600  7.4619E+00  6.3159E-01 -7.5115E+00  1.182E+00  7.4064E+00  1.4723E+00
  0.700  7.4106E+00  7.0990E-01 -7.8514E+00  1.177E+00  7.5910E+00  1.5137E+00
  0.800  7.3533E+00  7.7730E-01 -8.1657E+00  1.171E+00  7.7878E+00  1.5603E+00
  0.900  7.2905E+00  8.3374E-01 -8.4571E+00  1.166E+00  7.9907E+00  1.6116E+00
  1.000  7.2228E+00  8.7978E-01 -8.7278E+00  1.161E+00  8.1934E+00  1.6673E+00
  1.100  7.1506E+00  9.1628E-01 -8.9795E+00  1.157E+00  8.3894E+00  1.7270E+00
  1.200  7.0745E+00  9.4428E-01 -9.2137E+00  1.153E+00  8.5728E+00  1.7904E+00
  1.300  6.9947E+00  9.6486E-01 -9.4313E+00  1.149E+00  8.7381E+00  1.8572E+00
  1.400  6.9119E+00  9.7900E-01 -9.6330E+00  1.146E+00  8.8808E+00  1.9272E+00
  1.500  6.8261E+00  9.8755E-01 -9.8194E+00  1.144E+00  8.9979E+00  2.0002E+00
  1.600  6.7379E+00  9.9119E-01 -9.9907E+00  1.142E+00  9.0875E+00  2.0760E+00
  1.700  6.6473E+00  9.9045E-01 -1.0147E+01  1.141E+00  9.1496E+00  2.1546E+00
  1.800  6.5546E+00  9.8570E-01 -1.0288E+01  1.140E+00  9.1859E+00  2.2358E+00
  1.900  6.4600E+00  9.7717E-01 -1.0415E+01  1.139E+00  9.1995E+00  2.3196E+00
  2.000  6.3638E+00  9.6498E-01 -1.0525E+01  1.138E+00  9.1956E+00  2.4059E+00
  2.200  6.1677E+00  9.2964E-01 -1.0699E+01  1.136E+00  9.1619E+00  2.5865E+00
  2.400  5.9636E+00  8.7927E-01 -1.0795E+01  1.122E+00  9.1512E+00  2.7781E+00
  2.600  5.7085E+00  8.0484E-01 -1.0759E+01  1.104E+00  9.2642E+00  2.9960E+00
  2.800  5.5031E+00  8.1506E-01 -1.0846E+01  1.245E+00  5.9066E+00  3.1935E+00
  3.000  5.4040E+00  7.9743E-01 -1.1069E+01  1.296E+00  5.1652E+00  3.3464E+00
  3.200  5.3144E+00  7.4397E-01 -1.1263E+01  1.322E+00  4.8299E+00  3.5007E+00
  3.400  5.2189E+00  6.6863E-01 -1.1431E+01  1.331E+00  4.6855E+00  3.6632E+00
  3.600  5.1251E+00  5.9351E-01 -1.1597E+01  1.328E+00  4.6462E+00  3.8302E+00
  3.800  5.0326E+00  5.2542E-01 -1.1765E+01  1.317E+00  4.6722E+00  4.0010E+00
  4.000  4.9400E+00  4.6682E-01 -1.1937E+01  1.299E+00  4.7428E+00  4.1754E+00
  4.200  4.8454E+00  4.1957E-01 -1.2114E+01  1.277E+00  4.8461E+00  4.3529E+00
  4.400  4.7473E+00  3.8300E-01 -1.2296E+01  1.253E+00  4.9746E+00  4.5331E+00
  4.600  4.6450E+00  3.5595E-01 -1.2474E+01  1.228E+00  5.1234E+00  4.7157E+00
  4.800  4.5388E+00  3.3670E-01 -1.2646E+01  1.207E+00  5.2891E+00  4.9004E+00
  5.000  4.4290E+00  3.2254E-01 -1.2805E+01  1.183E+00  5.4691E+00  5.0869E+00
  5.200  4.3164E+00  3.1114E-01 -1.2947E+01  1.164E+00  5.6616E+00  5.2750E+00
  5.400  4.2018E+00  2.9999E-01 -1.3073E+01  1.146E+00  5.8651E+00  5.4644E+00
  5.600  4.0862E+00  2.8760E-01 -1.3185E+01  1.129E+00  6.0786E+00  5.6551E+00
  5.800  3.9701E+00  2.7306E-01 -1.3283E+01  1.114E+00  6.3011E+00  5.8468E+00
  6.000  3.8546E+00  2.5619E-01 -1.3371E+01  1.101E+00  6.5319E+00  6.0395E+00
  6.500  3.5735E+00  2.0636E-01 -1.3565E+01  1.075E+00  7.1414E+00  6.5245E+00
  7.000  3.3071E+00  1.5721E-01 -1.3746E+01  1.052E+00  7.7920E+00  7.0131E+00
  7.500  3.0550E+00  1.2121E-01 -1.3932E+01  1.033E+00  8.4786E+00  7.5045E+00
  8.000  2.8138E+00  1.0201E-01 -1.4107E+01  1.017E+00  9.1978E+00  7.9979E+00
  8.500  2.5799E+00  9.4762E-02 -1.4245E+01  1.003E+00  9.9468E+00  8.4928E+00
  9.000  2.3552E+00  9.1303E-02 -1.4355E+01  9.921E-01  1.0724E+01  8.9889E+00
  9.500  2.1411E+00  8.5340E-02 -1.4460E+01  9.845E-01  1.1526E+01  9.4858E+00
 10.000  1.9378E+00  7.4814E-02 -1.4580E+01  9.788E-01  1.2354E+01  9.9834E+00
