# 1-bromo-adamantane                                             Feff 8.50L  
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=35 Rmt= 1.346 Rnm= 1.565 K  shell
# Pot 1 Z= 6 Rmt= 0.889 Rnm= 1.046
# Pot 2 Z= 1 Rmt= 0.840 Rnm= 0.972
# Gam_ch=3.018E+00 H-L exch
# Mu= 4.480E+00 kf=2.227E+00 Vint=-1.442E+01 Rs_int= 1.628
# PATH  Rmax= 3.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.919                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      1.00     2   1.9521
#           2       0.00000    124.70      3.00     2   2.8567
#           3       0.00000     36.46      6.00     2   3.0185
#           4       0.00000     44.99      4.00     3   3.1734
#           5       0.00000     22.50      2.00     3   3.1732
#           6       0.00000     14.74      8.00     3   3.4865
#           7       0.00000      7.37      4.00     3   3.4868
#           9       0.00000      7.39      2.00     4   3.4899
#     8/   9 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000    9.288081E-02  1.342818E-01  2.377772E+00
     0.0500    9.254663E-02  1.341931E-01  2.380583E+00
     0.1000    9.221216E-02  1.341042E-01  2.383393E+00
     0.1500    9.120795E-02  1.338403E-01  2.391825E+00
     0.2000    9.020118E-02  1.335755E-01  2.400245E+00
     0.2500    8.852005E-02  1.331428E-01  2.414299E+00
     0.3000    8.683239E-02  1.327078E-01  2.428320E+00
     0.3500    8.446460E-02  1.321268E-01  2.448045E+00
     0.4000    8.208500E-02  1.315410E-01  2.467708E+00
     0.4500    7.900927E-02  1.308003E-01  2.493026E+00
     0.5000    7.591935E-02  1.300522E-01  2.518240E+00
     0.5500    7.210346E-02  1.291873E-01  2.549461E+00
     0.6000    6.827279E-02  1.283104E-01  2.580524E+00
     0.6500    6.374283E-02  1.273044E-01  2.617172E+00
     0.7000    5.920737E-02  1.262822E-01  2.653605E+00
     0.7500    5.394470E-02  1.251537E-01  2.695961E+00
     0.8000    4.869603E-02  1.240034E-01  2.738028E+00
     0.8500    4.272142E-02  1.227538E-01  2.786129E+00
     0.9000    3.679665E-02  1.214768E-01  2.833847E+00
     0.9500    3.016395E-02  1.201032E-01  2.887724E+00
     1.0000    2.363815E-02  1.186971E-01  2.941105E+00
     1.0500    1.644698E-02  1.171937E-01  3.000788E+00
     1.1000    9.444666E-03  1.156540E-01  3.059838E+00
     1.1500    1.859878E-03  1.140093E-01  3.125279E+00
     1.2000   -5.427487E-03  1.123267E-01  3.189930E+00
     1.2500   -1.317626E-02  1.105320E-01  3.261084E+00
     1.3000   -2.049571E-02  1.087009E-01  3.331280E+00
     1.3500   -2.810695E-02  1.067485E-01  3.408035E+00
     1.4000   -3.514174E-02  1.047647E-01  3.483659E+00
     1.4500   -4.225475E-02  1.026520E-01  3.565836E+00
     1.5000   -4.864251E-02  1.005162E-01  3.646729E+00
     1.5500   -5.486434E-02  9.824867E-02  3.734076E+00
     1.6000   -6.022770E-02  9.596930E-02  3.820024E+00
     1.6500   -6.517229E-02  9.355848E-02  3.912232E+00
     1.7000   -6.915787E-02  9.114873E-02  4.002964E+00
     1.7500   -7.250298E-02  8.862402E-02  4.099685E+00
     1.8000   -7.483796E-02  8.611406E-02  4.194884E+00
     1.8500   -7.636531E-02  8.351017E-02  4.295723E+00
     1.9000   -7.689313E-02  8.093575E-02  4.394994E+00
     1.9500   -7.653285E-02  7.829961E-02  4.499554E+00
     2.0000   -7.525297E-02  7.570972E-02  4.602489E+00
     2.0500   -7.306891E-02  7.306905E-02  4.714327E+00
     2.1000   -7.005433E-02  7.049631E-02  4.824425E+00
     2.1500   -6.636254E-02  6.800848E-02  4.932844E+00
     2.2000   -6.213714E-02  6.562066E-02  5.039688E+00
     2.2500   -5.682323E-02  6.301405E-02  5.159373E+00
     2.3000   -5.106610E-02  6.047040E-02  5.277590E+00
     2.3500   -4.502694E-02  5.800024E-02  5.394374E+00
     2.4000   -3.884938E-02  5.561276E-02  5.509789E+00
     2.4500   -3.242613E-02  5.326287E-02  5.628645E+00
     2.5000   -2.613647E-02  5.104929E-02  5.745691E+00
     2.5500   -2.005864E-02  4.898303E-02  5.861277E+00
     2.6000   -1.423911E-02  4.707071E-02  5.975866E+00
     2.6500   -8.412613E-03  4.579189E-02  6.098422E+00
     2.7000   -2.736740E-03  4.450522E-02  6.221654E+00
     2.7500    2.694162E-03  4.320474E-02  6.345584E+00
     2.8000    7.787508E-03  4.188514E-02  6.470199E+00
     2.8500    1.310857E-02  4.056632E-02  6.612230E+00
     2.9000    1.780550E-02  3.923380E-02  6.754245E+00
     2.9500    2.180027E-02  3.789013E-02  6.896223E+00
     3.0000    2.503793E-02  3.653792E-02  7.038144E+00
     3.0500    2.756643E-02  3.512015E-02  7.185749E+00
     3.1000    2.922904E-02  3.368795E-02  7.333623E+00
     3.1500    3.003513E-02  3.224346E-02  7.481730E+00
     3.2000    3.002027E-02  3.078916E-02  7.630029E+00
     3.2500    2.954595E-02  2.963489E-02  7.776489E+00
     3.3000    2.838721E-02  2.845690E-02  7.923977E+00
     3.3500    2.660848E-02  2.725640E-02  8.072460E+00
     3.4000    2.429304E-02  2.603539E-02  8.221901E+00
     3.4500    2.179768E-02  2.511633E-02  8.373881E+00
     3.5000    1.889070E-02  2.416002E-02  8.527071E+00
     3.5500    1.568088E-02  2.316966E-02  8.681391E+00
     3.6000    1.228636E-02  2.214919E-02  8.836764E+00
     3.6500    8.810058E-03  2.127168E-02  8.997749E+00
     3.7000    5.338047E-03  2.035815E-02  9.159470E+00
     3.7500    1.995448E-03  1.941344E-02  9.321809E+00
     3.8000   -1.103429E-03  1.844286E-02  9.484643E+00
     3.8500   -3.943892E-03  1.750304E-02  9.652056E+00
     3.9000   -6.365365E-03  1.654081E-02  9.819799E+00
     3.9500   -8.306512E-03  1.556210E-02  9.987825E+00
     4.0000   -9.732426E-03  1.457276E-02  1.015609E+01
     4.0500   -1.065429E-02  1.357595E-02  1.032714E+01
     4.1000   -1.104216E-02  1.256852E-02  1.049761E+01
     4.1500   -1.094885E-02  1.156443E-02  1.066783E+01
     4.2000   -1.044185E-02  1.057180E-02  1.083862E+01
     4.2500   -9.576935E-03  9.577844E-03  1.100935E+01
     4.3000   -8.435443E-03  8.580796E-03  1.117990E+01
     4.3500   -7.113908E-03  7.585589E-03  1.135008E+01
     4.4000   -5.711642E-03  6.597070E-03  1.151965E+01
     4.4500   -4.341930E-03  5.635805E-03  1.168687E+01
     4.5000   -3.072229E-03  4.684699E-03  1.185113E+01
     4.5500   -1.978699E-03  3.748103E-03  1.201022E+01
     4.6000   -1.120672E-03  2.830628E-03  1.215931E+01
     4.6500   -5.455713E-04  1.957450E-03  1.228391E+01
     4.7000   -2.608306E-04  1.118347E-03  1.233097E+01
     4.7500   -2.648150E-04  4.030628E-04  1.184953E+01
     4.8000   -5.356358E-04  6.651663E-04  1.036090E+01
     4.8500   -1.025309E-03  1.384214E-03  1.025891E+01
     4.9000   -1.686418E-03  2.106504E-03  1.035304E+01
     4.9500   -2.454313E-03  2.803176E-03  1.049135E+01
     5.0000   -3.258143E-03  3.467672E-03  1.064617E+01
     5.0500   -4.018109E-03  4.089092E-03  1.080898E+01
     5.1000   -4.674726E-03  4.675580E-03  1.097647E+01
     5.1500   -5.166054E-03  5.225666E-03  1.114677E+01
     5.2000   -5.441070E-03  5.738236E-03  1.131881E+01
     5.2500   -5.459269E-03  6.208756E-03  1.149201E+01
     5.3000   -5.203243E-03  6.641601E-03  1.166620E+01
     5.3500   -4.667766E-03  7.036384E-03  1.184105E+01
     5.4000   -3.864519E-03  7.392923E-03  1.201632E+01
     5.4500   -2.814893E-03  7.707191E-03  1.219249E+01
     5.5000   -1.565724E-03  7.983686E-03  1.236898E+01
     5.5500   -1.704241E-04  8.222732E-03  1.254564E+01
     5.6000    1.309103E-03  8.424816E-03  1.272239E+01
     5.6500    2.820437E-03  8.595951E-03  1.290068E+01
     5.7000    4.282804E-03  8.731593E-03  1.307903E+01
     5.7500    5.629122E-03  8.832573E-03  1.325738E+01
     5.8000    6.798351E-03  8.899856E-03  1.343566E+01
     5.8500    7.753870E-03  8.943657E-03  1.361546E+01
     5.9000    8.437247E-03  8.955751E-03  1.379522E+01
     5.9500    8.819928E-03  8.937327E-03  1.397490E+01
     6.0000    8.888345E-03  8.889675E-03  1.415446E+01
     6.0500    8.664454E-03  8.840578E-03  1.433711E+01
     6.1000    8.130875E-03  8.764400E-03  1.451972E+01
     6.1500    7.315875E-03  8.662486E-03  1.470224E+01
     6.2000    6.260410E-03  8.536256E-03  1.488467E+01
     6.2500    5.015578E-03  8.387197E-03  1.506695E+01
     6.3000    3.639606E-03  8.216849E-03  1.524908E+01
     6.3500    2.194576E-03  8.026801E-03  1.543103E+01
     6.4000    7.430877E-04  7.818674E-03  1.561278E+01
     6.4500   -6.549330E-04  7.594119E-03  1.579431E+01
     6.5000   -1.945127E-03  7.354798E-03  1.597562E+01
     6.5500   -3.135501E-03  7.160779E-03  1.616119E+01
     6.6000   -4.144856E-03  6.953843E-03  1.634654E+01
     6.6500   -4.941528E-03  6.735461E-03  1.653165E+01
     6.7000   -5.505478E-03  6.507081E-03  1.671654E+01
     6.7500   -5.828531E-03  6.270115E-03  1.690122E+01
     6.8000   -5.913981E-03  6.025931E-03  1.708570E+01
     6.8500   -5.775621E-03  5.775841E-03  1.727003E+01
     6.9000   -5.436313E-03  5.521096E-03  1.745423E+01
     6.9500   -4.926216E-03  5.262876E-03  1.763838E+01
     7.0000   -4.280793E-03  5.002292E-03  1.782253E+01
     7.0500   -3.579721E-03  4.807967E-03  1.800971E+01
     7.1000   -2.801522E-03  4.611533E-03  1.819664E+01
     7.1500   -1.983712E-03  4.413737E-03  1.838342E+01
     7.2000   -1.162490E-03  4.215192E-03  1.857015E+01
     7.2500   -3.713479E-04  4.016387E-03  1.875697E+01
     7.3000    3.600480E-04  3.817694E-03  1.894401E+01
     7.3500    1.006726E-03  3.619385E-03  1.913142E+01
     7.4000    1.549044E-03  3.421647E-03  1.931937E+01
     7.4500    1.973112E-03  3.224607E-03  1.950801E+01
     7.5000    2.271035E-03  3.028351E-03  1.969750E+01
     7.5500    2.485268E-03  2.881431E-03  1.988977E+01
     7.6000    2.579069E-03  2.733653E-03  2.008245E+01
     7.6500    2.558104E-03  2.585110E-03  2.027568E+01
     7.7000    2.432900E-03  2.435856E-03  2.046963E+01
     7.7500    2.218153E-03  2.285919E-03  2.066445E+01
     7.8000    1.931918E-03  2.135305E-03  2.086036E+01
     7.8500    1.594678E-03  1.984019E-03  2.105756E+01
     7.9000    1.228324E-03  1.832069E-03  2.125632E+01
     7.9500    8.550705E-04  1.679481E-03  2.145698E+01
     8.0000    4.963434E-04  1.526313E-03  2.165993E+01
     8.0500    1.728628E-04  1.387784E-03  2.186626E+01
     8.1000   -1.045709E-04  1.247208E-03  2.207509E+01
     8.1500   -3.223667E-04  1.104777E-03  2.228725E+01
     8.2000   -4.714649E-04  9.607406E-04  2.250408E+01
     8.2500   -5.478536E-04  8.154272E-04  2.272787E+01
     8.3000   -5.527835E-04  6.693203E-04  2.296292E+01
     8.3500   -4.926541E-04  5.232409E-04  2.321833E+01
     8.4000   -3.785688E-04  3.789551E-04  2.351679E+01
     8.4500   -2.255754E-04  2.418607E-04  2.393101E+01
     8.5000   -5.162864E-05  1.384212E-04  2.475052E+01
     8.5500    1.233323E-04  1.593824E-04  2.601758E+01
     8.6000    2.787895E-04  2.789500E-04  2.666962E+01
     8.6500    3.961503E-04  4.194964E-04  2.703873E+01
     8.7000    4.595753E-04  5.648697E-04  2.732402E+01
     8.7500    4.572153E-04  7.112593E-04  2.757615E+01
     8.8000    3.821965E-04  8.571938E-04  2.781219E+01
     8.8500    2.332793E-04  1.001858E-03  2.803933E+01
     8.9000    1.513877E-05  1.144677E-03  2.826111E+01
     8.9500   -2.617633E-04  1.285181E-03  2.847945E+01
     9.0000   -5.817156E-04  1.422953E-03  2.869548E+01
     9.0500   -9.213257E-04  1.549756E-03  2.891097E+01
     9.1000   -1.256549E-03  1.671794E-03  2.912484E+01
     9.1500   -1.563244E-03  1.788789E-03  2.933753E+01
     9.2000   -1.817949E-03  1.900487E-03  2.954933E+01
     9.2500   -1.999472E-03  2.006656E-03  2.976049E+01
     9.3000   -2.090371E-03  2.107082E-03  2.997116E+01
