# 1-bromo-adamantane                                             Feff 8.50L  
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=35 Rmt= 1.346 Rnm= 1.565 K  shell
# Pot 1 Z= 6 Rmt= 0.889 Rnm= 1.046
# Pot 2 Z= 1 Rmt= 0.840 Rnm= 0.972
# Gam_ch=3.018E+00 H-L exch
# Mu= 4.480E+00 kf=2.227E+00 Vint=-1.442E+01 Rs_int= 1.628
# PATH  Rmax= 3.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.919                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      1.00     2   1.9521
#           2       0.00000    124.70      3.00     2   2.8567
#           3       0.00000     36.46      6.00     2   3.0185
#           4       0.00000     44.99      4.00     3   3.1734
#           5       0.00000     22.50      2.00     3   3.1732
#           6       0.00000     14.74      8.00     3   3.4865
#           7       0.00000      7.37      4.00     3   3.4868
#           9       0.00000      7.39      2.00     4   3.4899
#     8/   9 paths used
#  xsedge+50, used to normalize mu           1.6493E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   13478.757      4.480   0.000  6.01337E-01  5.05373E-01  9.28808E-02
   13478.766      4.490   0.050  6.05040E-01  5.09446E-01  9.25466E-02
   13478.795      4.518   0.100  6.08742E-01  5.13519E-01  9.22122E-02
   13478.843      4.566   0.150  6.19805E-01  5.25694E-01  9.12080E-02
   13478.909      4.633   0.200  6.30867E-01  5.37868E-01  9.02012E-02
   13478.995      4.718   0.250  6.48792E-01  5.57645E-01  8.85200E-02
   13479.100      4.823   0.300  6.66716E-01  5.77422E-01  8.68324E-02
   13479.224      4.947   0.350  6.89838E-01  6.03130E-01  8.44646E-02
   13479.366      5.090   0.400  7.12957E-01  6.28838E-01  8.20850E-02
   13479.528      5.252   0.450  7.38121E-01  6.57327E-01  7.90093E-02
   13479.709      5.433   0.500  7.63284E-01  6.85815E-01  7.59193E-02
   13479.909      5.633   0.550  7.86612E-01  7.13223E-01  7.21035E-02
   13480.128      5.852   0.600  8.09944E-01  7.40630E-01  6.82728E-02
   13480.367      6.090   0.650  8.28706E-01  7.64168E-01  6.37428E-02
   13480.624      6.347   0.700  8.47486E-01  7.87706E-01  5.92074E-02
   13480.900      6.623   0.750  8.60715E-01  8.06410E-01  5.39447E-02
   13481.195      6.919   0.800  8.73989E-01  8.25115E-01  4.86960E-02
   13481.510      7.233   0.850  8.82003E-01  8.39257E-01  4.27214E-02
   13481.843      7.566   0.900  8.90104E-01  8.53399E-01  3.67966E-02
   13482.195      7.919   0.950  8.93830E-01  8.63836E-01  3.01640E-02
   13482.567      8.290   1.000  8.97704E-01  8.74273E-01  2.36381E-02
   13482.957      8.681   1.050  8.98118E-01  8.81866E-01  1.64470E-02
   13483.367      9.090   1.100  8.98763E-01  8.89459E-01  9.44467E-03
   13483.796      9.519   1.150  8.96791E-01  8.94965E-01  1.85988E-03
   13484.243      9.967   1.200  8.95155E-01  9.00470E-01 -5.42749E-03
   13484.710     10.433   1.250  8.91620E-01  9.04489E-01 -1.31763E-02
   13485.196     10.919   1.300  8.88545E-01  9.08508E-01 -2.04957E-02
   13485.701     11.424   1.350  8.84167E-01  9.11477E-01 -2.81070E-02
   13486.224     11.948   1.400  8.80385E-01  9.14446E-01 -3.51417E-02
   13486.767     12.491   1.450  8.75859E-01  9.16728E-01 -4.22547E-02
   13487.329     13.053   1.500  8.72062E-01  9.19011E-01 -4.86425E-02
   13487.910     13.634   1.550  8.67982E-01  9.20847E-01 -5.48643E-02
   13488.510     14.234   1.600  8.64748E-01  9.22684E-01 -6.02277E-02
   13489.130     14.853   1.650  8.61686E-01  9.24302E-01 -6.51723E-02
   13489.768     15.491   1.700  8.59557E-01  9.25920E-01 -6.91579E-02
   13490.425     16.148   1.750  8.57920E-01  9.27445E-01 -7.25030E-02
   13491.101     16.825   1.800  8.57255E-01  9.28969E-01 -7.48380E-02
   13491.797     17.520   1.850  8.57375E-01  9.30542E-01 -7.63653E-02
   13492.511     18.234   1.900  8.58454E-01  9.32114E-01 -7.68931E-02
   13493.244     18.968   1.950  8.60522E-01  9.33867E-01 -7.65328E-02
   13493.997     19.720   2.000  8.63472E-01  9.35620E-01 -7.52530E-02
   13494.768     20.492   2.050  8.67458E-01  9.37606E-01 -7.30689E-02
   13495.559     21.282   2.100  8.72249E-01  9.39592E-01 -7.00543E-02
   13496.368     22.092   2.150  8.77699E-01  9.41578E-01 -6.63625E-02
   13497.197     22.921   2.200  8.83673E-01  9.43564E-01 -6.21371E-02
   13498.045     23.768   2.250  8.90764E-01  9.45707E-01 -5.68232E-02
   13498.912     24.635   2.300  8.98317E-01  9.47851E-01 -5.10661E-02
   13499.797     25.521   2.350  9.06180E-01  9.49994E-01 -4.50269E-02
   13500.702     26.426   2.400  9.14215E-01  9.52138E-01 -3.88494E-02
   13501.626     27.350   2.450  9.21354E-01  9.53034E-01 -3.24261E-02
   13502.569     28.293   2.500  9.28373E-01  9.53931E-01 -2.61365E-02
   13503.531     29.255   2.550  9.35196E-01  9.54827E-01 -2.00586E-02
   13504.512     30.236   2.600  9.41776E-01  9.55724E-01 -1.42391E-02
   13505.512     31.236   2.650  9.46275E-01  9.54519E-01 -8.41261E-03
   13506.532     32.255   2.700  9.50632E-01  9.53315E-01 -2.73674E-03
   13507.570     33.293   2.750  9.54754E-01  9.52111E-01  2.69416E-03
   13508.627     34.351   2.800  9.58551E-01  9.50907E-01  7.78751E-03
   13509.703     35.427   2.850  9.65048E-01  9.52154E-01  1.31086E-02
   13510.799     36.522   2.900  9.70952E-01  9.53401E-01  1.78055E-02
   13511.913     37.637   2.950  9.76181E-01  9.54647E-01  2.18003E-02
   13513.047     38.770   3.000  9.80678E-01  9.55894E-01  2.50379E-02
   13514.199     39.923   3.050  9.85514E-01  9.58184E-01  2.75664E-02
   13515.371     41.094   3.100  9.89499E-01  9.60474E-01  2.92290E-02
   13516.561     42.285   3.150  9.92636E-01  9.62764E-01  3.00351E-02
   13517.771     43.494   3.200  9.94959E-01  9.65054E-01  3.00203E-02
   13519.000     44.723   3.250  9.96645E-01  9.67189E-01  2.95460E-02
   13520.248     45.971   3.300  9.97647E-01  9.69324E-01  2.83872E-02
   13521.514     47.238   3.350  9.98028E-01  9.71459E-01  2.66085E-02
   13522.800     48.524   3.400  9.97871E-01  9.73594E-01  2.42930E-02
   13524.105     49.829   3.450  9.97233E-01  9.75447E-01  2.17977E-02
   13525.429     51.153   3.500  9.96184E-01  9.77299E-01  1.88907E-02
   13526.772     52.496   3.550  9.94830E-01  9.79151E-01  1.56809E-02
   13528.134     53.858   3.600  9.93290E-01  9.81003E-01  1.22864E-02
   13529.515     55.239   3.650  9.91244E-01  9.82435E-01  8.81006E-03
   13530.916     56.639   3.700  9.89204E-01  9.83867E-01  5.33805E-03
   13532.335     58.058   3.750  9.87294E-01  9.85300E-01  1.99545E-03
   13533.773     59.496   3.800  9.85630E-01  9.86732E-01 -1.10343E-03
   13535.230     60.954   3.850  9.83766E-01  9.87706E-01 -3.94389E-03
   13536.707     62.430   3.900  9.82323E-01  9.88679E-01 -6.36536E-03
   13538.202     63.926   3.950  9.81362E-01  9.89652E-01 -8.30651E-03
   13539.717     65.440   4.000  9.80916E-01  9.90626E-01 -9.73243E-03
   13541.250     66.974   4.050  9.80434E-01  9.91060E-01 -1.06543E-02
   13542.803     68.526   4.100  9.80485E-01  9.91494E-01 -1.10422E-02
   13544.374     70.098   4.150  9.81016E-01  9.91928E-01 -1.09489E-02
   13545.965     71.688   4.200  9.81959E-01  9.92362E-01 -1.04419E-02
   13547.575     73.298   4.250  9.82833E-01  9.92372E-01 -9.57694E-03
   13549.203     74.927   4.300  9.83983E-01  9.92382E-01 -8.43544E-03
   13550.851     76.575   4.350  9.85310E-01  9.92392E-01 -7.11391E-03
   13552.518     78.242   4.400  9.86718E-01  9.92401E-01 -5.71164E-03
   13554.204     79.927   4.450  9.87553E-01  9.91872E-01 -4.34193E-03
   13555.909     81.632   4.500  9.88287E-01  9.91342E-01 -3.07223E-03
   13557.633     83.356   4.550  9.88845E-01  9.90812E-01 -1.97870E-03
   13559.376     85.100   4.600  9.89169E-01  9.90283E-01 -1.12067E-03
   13561.138     86.862   4.650  9.89038E-01  9.89580E-01 -5.45571E-04
   13562.919     88.643   4.700  9.88618E-01  9.88877E-01 -2.60831E-04
   13564.720     90.443   4.750  9.87912E-01  9.88174E-01 -2.64815E-04
   13566.539     92.262   4.800  9.86940E-01  9.87471E-01 -5.35636E-04
   13568.377     94.101   4.850  9.85410E-01  9.86426E-01 -1.02531E-03
