# 1-bromo-adamantane                                             Feff 8.50L  
# POT  SCF  30  8.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=35 Rmt= 1.346 Rnm= 1.565 K  shell
# Pot 1 Z= 6 Rmt= 0.889 Rnm= 1.046
# Pot 2 Z= 1 Rmt= 0.840 Rnm= 0.972
# Gam_ch=3.018E+00 H-L exch
# Mu=-6.087E+00 kf=2.184E+00 Vint=-1.447E+01 Rs_int= 1.661
# PATH  Rmax= 3.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.919                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      1.00     2   1.9521
#           2       0.00000    110.70      3.00     2   2.8567
#           3       0.00000     42.06      6.00     2   3.0185
#           4       0.00000     68.79      4.00     3   3.1734
#           5       0.00000     34.41      2.00     3   3.1732
#           6       0.00000     23.47      8.00     3   3.4865
#           7       0.00000     11.73      4.00     3   3.4868
#           8       0.00000      7.70      1.00     4   3.4898
#           9       0.00000     15.40      2.00     4   3.4899
#     9/   9 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0500    9.446188E-02  2.584849E-01  3.741102E-01
     0.1000    9.610310E-02  2.582557E-01  3.812961E-01
     0.1500    1.008643E-01  2.575451E-01  4.024106E-01
     0.2000    1.055192E-01  2.567869E-01  4.234645E-01
     0.2500    1.128115E-01  2.554662E-01  4.573707E-01
     0.3000    1.197975E-01  2.540202E-01  4.911113E-01
     0.3500    1.289293E-01  2.518561E-01  5.374144E-01
     0.4000    1.374227E-01  2.494595E-01  5.834205E-01
     0.4500    1.466773E-01  2.464743E-01  6.373920E-01
     0.5000    1.549407E-01  2.431678E-01  6.908288E-01
     0.5500    1.633743E-01  2.392451E-01  7.516900E-01
     0.6000    1.704348E-01  2.349263E-01  8.117340E-01
     0.6500    1.770135E-01  2.301450E-01  8.774929E-01
     0.7000    1.819219E-01  2.249320E-01  9.420850E-01
     0.7500    1.859977E-01  2.194851E-01  1.011121E+00
     0.8000    1.882563E-01  2.136129E-01  1.078599E+00
     0.8500    1.895785E-01  2.077533E-01  1.149397E+00
     0.9000    1.891228E-01  2.015185E-01  1.218227E+00
     0.9500    1.878950E-01  1.955525E-01  1.290024E+00
     1.0000    1.850745E-01  1.892839E-01  1.359510E+00
