PATH  Rmax= 3.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
     1    2   1.000  index, nleg, degeneracy, r=  1.9521
      x           y           z     ipot  label      rleg      beta        eta
   -1.952100   -0.000200    0.000000   1 'C     '     1.9521  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Br    '     1.9521  180.0000    0.0000
     2    2   3.000  index, nleg, degeneracy, r=  2.8565
      x           y           z     ipot  label      rleg      beta        eta
   -2.460600   -1.046000    1.005900   1 'C     '     2.8567  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Br    '     2.8567  180.0000    0.0000
     3    2   6.000  index, nleg, degeneracy, r=  3.0185
      x           y           z     ipot  label      rleg      beta        eta
   -2.089100    0.375100   -2.146300   2 'H     '     3.0185  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Br    '     3.0185  180.0000    0.0000
     4    3   4.000  index, nleg, degeneracy, r=  3.1732
      x           y           z     ipot  label      rleg      beta        eta
   -2.460900    1.394100    0.402500   1 'C     '     2.8568  139.8458    0.0000
   -1.952100   -0.000200    0.000000   1 'C     '     1.5378   70.6851    0.0000
    0.000000    0.000000    0.000000   0 'Br    '     1.9521  149.4691    0.0000
     5    3   2.000  index, nleg, degeneracy, r=  3.1732
      x           y           z     ipot  label      rleg      beta        eta
   -2.460600   -1.046000    1.005900   1 'C     '     2.8567  139.8432    0.0000
   -1.952100   -0.000200    0.000000   1 'C     '     1.5376   70.6834    0.0000
    0.000000    0.000000    0.000000   0 'Br    '     1.9521  149.4734    0.0000
     6    3   8.000  index, nleg, degeneracy, r=  3.4865
      x           y           z     ipot  label      rleg      beta        eta
   -2.089100    0.375100   -2.146300   2 'H     '     3.0185  108.9955    0.0000
   -2.460300   -0.348600   -1.408900   1 'C     '     1.0979   92.3140    0.0000
    0.000000    0.000000    0.000000   0 'Br    '     2.8565  158.6904    0.0000
     7    3   4.000  index, nleg, degeneracy, r=  3.4865
      x           y           z     ipot  label      rleg      beta        eta
   -2.089700    2.159000   -0.292100   2 'H     '     3.0188  108.9923    0.0000
   -2.460900    1.394100    0.402500   1 'C     '     1.0979   92.3154    0.0000
    0.000000    0.000000    0.000000   0 'Br    '     2.8568  158.6923    0.0000
     8    4   1.000  index, nleg, degeneracy, r=  3.4897
      x           y           z     ipot  label      rleg      beta        eta
   -1.952100   -0.000200    0.000000   1 'C     '     1.9521   70.7004    0.0000
   -2.460300   -0.348600   -1.408900   1 'C     '     1.5377  180.0000    0.0000
   -1.952100   -0.000200    0.000000   1 'C     '     1.5377   70.7004    0.0000
    0.000000    0.000000    0.000000   0 'Br    '     1.9521  180.0000    0.0000
     9    4   2.000  index, nleg, degeneracy, r=  3.4897
      x           y           z     ipot  label      rleg      beta        eta
   -1.952100   -0.000200    0.000000   1 'C     '     1.9521   70.6851    0.0000
   -2.460900    1.394100    0.402500   1 'C     '     1.5378  180.0000    0.0000
   -1.952100   -0.000200    0.000000   1 'C     '     1.5378   70.6851    0.0000
    0.000000    0.000000    0.000000   0 'Br    '     1.9521  180.0000    0.0000
