# 1-bromo-adamantane                                             Feff 8.50L  
# POT  SCF  30  8.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=35 Rmt= 1.346 Rnm= 1.565 K  shell
# Pot 1 Z= 6 Rmt= 0.889 Rnm= 1.046
# Pot 2 Z= 1 Rmt= 0.840 Rnm= 0.972
# Gam_ch=3.018E+00 H-L exch
# Mu=-6.087E+00 kf=2.184E+00 Vint=-1.447E+01 Rs_int= 1.661
# PATH  Rmax= 3.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.919                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      1.00     2   1.9521
#           2       0.00000    110.70      3.00     2   2.8567
#           3       0.00000     42.06      6.00     2   3.0185
#           4       0.00000     68.79      4.00     3   3.1734
#           5       0.00000     34.41      2.00     3   3.1732
#           6       0.00000     23.47      8.00     3   3.4865
#           7       0.00000     11.73      4.00     3   3.4868
#           8       0.00000      7.70      1.00     4   3.4898
#           9       0.00000     15.40      2.00     4   3.4899
#     9/   9 paths used
#  xsedge+50, used to normalize mu           1.6126E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   13478.766     -6.077   0.050  6.86738E-01  5.72344E-01  9.44619E-02
   13478.795     -6.049   0.100  6.93329E-01  5.77043E-01  9.61031E-02
   13478.843     -6.001   0.150  7.12617E-01  5.90861E-01  1.00864E-01
   13478.909     -5.935   0.200  7.31750E-01  6.04679E-01  1.05519E-01
   13478.995     -5.849   0.250  7.62275E-01  6.26950E-01  1.12811E-01
   13479.100     -5.744   0.300  7.92365E-01  6.49221E-01  1.19797E-01
   13479.224     -5.620   0.350  8.31150E-01  6.77898E-01  1.28929E-01
   13479.366     -5.477   0.400  8.69066E-01  7.06575E-01  1.37423E-01
   13479.528     -5.315   0.450  9.10128E-01  7.37799E-01  1.46677E-01
   13479.709     -5.134   0.500  9.49893E-01  7.69023E-01  1.54941E-01
   13479.909     -4.934   0.550  9.87543E-01  7.98211E-01  1.63374E-01
   13480.128     -4.715   0.600  1.02347E+00  8.27399E-01  1.70435E-01
   13480.367     -4.477   0.650  1.05337E+00  8.51348E-01  1.77014E-01
   13480.624     -4.220   0.700  1.08126E+00  8.75296E-01  1.81922E-01
   13480.900     -3.944   0.750  1.10178E+00  8.92968E-01  1.85998E-01
   13481.195     -3.649   0.800  1.12020E+00  9.10640E-01  1.88256E-01
   13481.510     -3.334   0.850  1.13181E+00  9.22589E-01  1.89579E-01
   13481.843     -3.001   0.900  1.14145E+00  9.34538E-01  1.89123E-01
   13482.195     -2.648   0.950  1.14574E+00  9.41938E-01  1.87895E-01
   13482.567     -2.277   1.000  1.14834E+00  9.49339E-01  1.85075E-01
   13482.957     -1.886   1.050  1.14713E+00  9.53386E-01  1.81703E-01
   13483.367     -1.477   1.100  1.14459E+00  9.57434E-01  1.77015E-01
   13483.796     -1.048   1.150  1.13957E+00  9.59166E-01  1.72009E-01
   13484.243     -0.601   1.200  1.13357E+00  9.60898E-01  1.65979E-01
   13484.710     -0.134   1.250  1.12609E+00  9.61125E-01  1.59753E-01
   13485.196      0.352   1.300  1.11789E+00  9.61351E-01  1.52746E-01
   13485.701      0.857   1.350  1.10880E+00  9.60672E-01  1.45525E-01
   13486.224      1.381   1.400  1.09919E+00  9.59992E-01  1.37700E-01
   13486.767      1.924   1.450  1.08900E+00  9.58860E-01  1.29512E-01
   13487.329      2.485   1.500  1.07840E+00  9.57729E-01  1.20819E-01
   13487.910      3.067   1.550  1.06729E+00  9.56475E-01  1.11535E-01
   13488.510      3.667   1.600  1.05587E+00  9.55221E-01  1.01828E-01
   13489.130      4.286   1.650  1.04396E+00  9.54107E-01  9.12983E-02
   13489.768      4.924   1.700  1.03186E+00  9.52993E-01  8.04714E-02
   13490.425      5.581   1.750  1.01923E+00  9.52168E-01  6.86506E-02
   13491.101      6.257   1.800  1.00661E+00  9.51344E-01  5.67553E-02
   13491.797      6.953   1.850  9.93679E-01  9.50997E-01  4.39304E-02
   13492.511      7.667   1.900  9.81087E-01  9.50650E-01  3.13953E-02
   13493.244      8.400   1.950  9.68471E-01  9.50926E-01  1.81164E-02
   13493.997      9.153   2.000  9.56616E-01  9.51202E-01  5.59684E-03
   13494.768      9.924   2.050  9.44564E-01  9.52285E-01 -7.97416E-03
   13495.559     10.715   2.100  9.33809E-01  9.53368E-01 -2.01850E-02
   13496.368     11.525   2.150  9.24518E-01  9.54451E-01 -3.08648E-02
   13497.197     12.353   2.200  9.16754E-01  9.55534E-01 -3.99554E-02
   13498.045     13.201   2.250  9.09728E-01  9.57973E-01 -4.95416E-02
   13498.912     14.068   2.300  9.04699E-01  9.60411E-01 -5.70218E-02
   13499.797     14.954   2.350  9.01562E-01  9.62850E-01 -6.25218E-02
   13500.702     15.859   2.400  9.00137E-01  9.65288E-01 -6.62451E-02
   13501.626     16.782   2.450  8.99584E-01  9.66911E-01 -6.84055E-02
   13502.569     17.725   2.500  9.00906E-01  9.68533E-01 -6.86588E-02
   13503.531     18.687   2.550  9.03831E-01  9.70156E-01 -6.72856E-02
   13504.512     19.669   2.600  9.08052E-01  9.71778E-01 -6.46005E-02
   13505.512     20.669   2.650  9.08705E-01  9.69745E-01 -6.19030E-02
   13506.532     21.688   2.700  9.10312E-01  9.67711E-01 -5.82359E-02
   13507.570     22.726   2.750  9.12668E-01  9.65678E-01 -5.38055E-02
   13508.627     23.783   2.800  9.15568E-01  9.63644E-01 -4.88189E-02
   13509.703     24.860   2.850  9.21096E-01  9.63820E-01 -4.33604E-02
   13510.799     25.955   2.900  9.27192E-01  9.63996E-01 -3.73307E-02
   13511.913     27.069   2.950  9.33655E-01  9.64172E-01 -3.09368E-02
   13513.047     28.203   3.000  9.40287E-01  9.64348E-01 -2.43790E-02
   13514.199     29.355   3.050  9.48695E-01  9.65923E-01 -1.74403E-02
   13515.371     30.527   3.100  9.56984E-01  9.67499E-01 -1.06344E-02
   13516.561     31.718   3.150  9.64977E-01  9.69075E-01 -4.14131E-03
   13517.771     32.927   3.200  9.72514E-01  9.70651E-01  1.88106E-03
   13519.000     34.156   3.250  9.80466E-01  9.73065E-01  7.46436E-03
   13520.248     35.404   3.300  9.87830E-01  9.75478E-01  1.24430E-02
   13521.514     36.671   3.350  9.94504E-01  9.77892E-01  1.67167E-02
   13522.800     37.956   3.400  1.00041E+00  9.80306E-01  2.02087E-02
   13524.105     39.261   3.450  1.00590E+00  9.82829E-01  2.31648E-02
   13525.429     40.585   3.500  1.01060E+00  9.85352E-01  2.53217E-02
   13526.772     41.928   3.550  1.01448E+00  9.87875E-01  2.66466E-02
   13528.134     43.290   3.600  1.01752E+00  9.90399E-01  2.71336E-02
   13529.515     44.672   3.650  1.01988E+00  9.92755E-01  2.71055E-02
   13530.916     46.072   3.700  1.02144E+00  9.95111E-01  2.62845E-02
   13532.335     47.491   3.750  1.02227E+00  9.97467E-01  2.47249E-02
   13533.773     48.929   3.800  1.02243E+00  9.99823E-01  2.25099E-02
   13535.230     50.387   3.850  1.02173E+00  1.00173E+00  1.98884E-02
   13536.707     51.863   3.900  1.02054E+00  1.00364E+00  1.67917E-02
   13538.202     53.358   3.950  1.01902E+00  1.00555E+00  1.33633E-02
   13539.717     54.873   4.000  1.01731E+00  1.00746E+00  9.75711E-03
   13541.250     56.406   4.050  1.01493E+00  1.00875E+00  6.12516E-03
   13542.803     57.959   4.100  1.01265E+00  1.01003E+00  2.59136E-03
   13544.374     59.530   4.150  1.01061E+00  1.01132E+00 -6.99482E-04
   13545.965     61.121   4.200  1.00893E+00  1.01260E+00 -3.62277E-03
   13547.575     62.731   4.250  1.00711E+00  1.01332E+00 -6.12064E-03
   13549.203     64.360   4.300  1.00582E+00  1.01403E+00 -8.09358E-03
   13550.851     66.007   4.350  1.00510E+00  1.01475E+00 -9.49828E-03
   13552.518     67.674   4.400  1.00497E+00  1.01546E+00 -1.03254E-02
   13554.204     69.360   4.450  1.00463E+00  1.01539E+00 -1.05892E-02
   13555.909     71.065   4.500  1.00481E+00  1.01532E+00 -1.03373E-02
   13557.633     72.789   4.550  1.00541E+00  1.01525E+00 -9.67450E-03
   13559.376     74.532   4.600  1.00634E+00  1.01518E+00 -8.69014E-03
   13561.138     76.294   4.650  1.00713E+00  1.01471E+00 -7.45341E-03
   13562.919     78.076   4.700  1.00806E+00  1.01424E+00 -6.08055E-03
   13564.720     79.876   4.750  1.00902E+00  1.01377E+00 -4.68206E-03
   13566.539     81.695   4.800  1.00989E+00  1.01330E+00 -3.36079E-03
