# ferrocene-based macrocycle                                     Feff 8.50L  
# Dinnebier et al,  Organometallics 2001, 20, 5642-5647
# doi:10.1021/om0105066
# POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.259 Rnm= 1.308 K  shell
# Pot 1 Z=26 Rmt= 1.298 Rnm= 1.358
# Pot 2 Z= 6 Rmt= 0.856 Rnm= 1.054
# Pot 3 Z= 5 Rmt= 0.932 Rnm= 1.069
# Pot 4 Z= 7 Rmt= 0.778 Rnm= 0.961
# Pot 5 Z= 8 Rmt= 0.780 Rnm= 0.992
# Pot 6 Z= 1 Rmt= 0.751 Rnm= 0.908
# Gam_ch=1.309E+00 H-L exch
# Mu=-8.153E+00 kf=2.415E+00 Vint=-1.737E+01 Rs_int= 1.502
# PATH  Rmax= 3.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.941                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      1.00     2   2.0264
#           2       0.00000     98.80      1.00     2   2.0369
#           3       0.00000     96.85      1.00     2   2.0542
#           4       0.00000     96.75      1.00     2   2.0550
#           5       0.00000     94.97      1.00     2   2.0714
#           6       0.00000     93.95      1.00     2   2.0808
#           7       0.00000     93.60      1.00     2   2.0842
#           8       0.00000     93.52      1.00     2   2.0849
#           9       0.00000     93.27      1.00     2   2.0873
#          10       0.00000     92.00      1.00     2   2.0995
#          11       0.00000     65.67      2.00     3   2.7457
#          12       0.00000     64.71      2.00     3   2.7586
#          13       0.00000     62.64      2.00     3   2.7757
#          14       0.00000     62.70      2.00     3   2.7795
#          15       0.00000     10.14      1.00     2   2.7842
#          16       0.00000     62.40      2.00     3   2.7852
#          17       0.00000     61.73      2.00     3   2.7898
#          18       0.00000     10.05      1.00     2   2.7946
#          19       0.00000     10.03      1.00     2   2.7966
#          20       0.00000     61.05      2.00     3   2.7976
#          21       0.00000     60.79      2.00     3   2.8026
#          22       0.00000     60.78      2.00     3   2.8060
#          23       0.00000     60.98      2.00     3   2.8060
#          24       0.00000      9.93      1.00     2   2.8080
#          25       0.00000      9.82      1.00     2   2.8217
#          26       0.00000      9.74      1.00     2   2.8308
#          27       0.00000      9.71      1.00     2   2.8345
#          28       0.00000      9.55      1.00     2   2.8537
#          29       0.00000     23.17      2.00     3   2.9476
#          30       0.00000     22.97      2.00     3   2.9597
#          31       0.00000     22.08      2.00     3   2.9660
#          32       0.00000     22.39      2.00     3   2.9743
#          33       0.00000     22.34      2.00     3   2.9940
#          34       0.00000     21.53      2.00     3   2.9938
#    34/  34 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000   -1.085011E+00  1.259054E+00 -1.038742E+00
     0.0500   -1.073117E+00  1.251439E+00 -1.030403E+00
     0.1000   -1.061220E+00  1.243832E+00 -1.022063E+00
     0.1500   -1.025899E+00  1.221204E+00 -9.974162E-01
     0.2000   -9.906190E-01  1.198655E+00 -9.727590E-01
     0.2500   -9.335284E-01  1.161917E+00 -9.330476E-01
     0.3000   -8.768994E-01  1.125418E+00 -8.933508E-01
     0.3500   -8.017858E-01  1.076176E+00 -8.405833E-01
     0.4000   -7.283866E-01  1.027442E+00 -7.879826E-01
     0.4500   -6.422178E-01  9.688794E-01 -7.246133E-01
     0.5000   -5.599476E-01  9.111947E-01 -6.617777E-01
     0.5500   -4.715910E-01  8.448202E-01 -5.922325E-01
     0.6000   -3.904376E-01  7.798678E-01 -5.243447E-01
     0.6500   -3.110205E-01  7.101083E-01 -4.533619E-01
     0.7000   -2.420221E-01  6.424386E-01 -3.862572E-01
     0.7500   -1.810762E-01  5.732752E-01 -3.213657E-01
     0.8000   -1.327907E-01  5.071190E-01 -2.649419E-01
     0.8500   -9.606854E-02  4.429269E-01 -2.186324E-01
     0.9000   -7.241582E-02  3.832453E-01 -1.900971E-01
     0.9500   -6.032091E-02  3.292312E-01 -1.842583E-01
     1.0000   -5.958640E-02  2.826405E-01 -2.124142E-01
     1.0500   -6.738636E-02  2.465916E-01 -2.767920E-01
     1.1000   -8.300277E-02  2.227091E-01 -3.819126E-01
     1.1500   -1.022053E-01  2.131228E-01 -5.001538E-01
     1.2000   -1.246460E-01  2.167456E-01 -6.127014E-01
     1.2500   -1.452443E-01  2.300833E-01 -6.831876E-01
     1.3000   -1.644523E-01  2.504410E-01 -7.163692E-01
     1.3500   -1.772043E-01  2.730105E-01 -7.063680E-01
     1.4000   -1.847889E-01  2.976811E-01 -6.697131E-01
     1.4500   -1.829303E-01  3.206431E-01 -6.071276E-01
     1.5000   -1.736239E-01  3.436557E-01 -5.296443E-01
     1.5500   -1.539252E-01  3.635610E-01 -4.371754E-01
     1.6000   -1.262602E-01  3.827905E-01 -3.361357E-01
     1.6500   -8.932991E-02  3.984873E-01 -2.260939E-01
     1.7000   -4.564804E-02  4.133067E-01 -1.106717E-01
     1.7500    4.521141E-03  4.246033E-01  1.064812E-02
     1.8000    5.883344E-02  4.350329E-01  1.356547E-01
     1.8500    1.157330E-01  4.421205E-01  2.648537E-01
     1.9000    1.732994E-01  4.484434E-01  3.967755E-01
     1.9500    2.291791E-01  4.517328E-01  5.320875E-01
     2.0000    2.820080E-01  4.544006E-01  6.695271E-01
     2.0500    3.281145E-01  4.530351E-01  8.099583E-01
     2.1000    3.675633E-01  4.512736E-01  9.518706E-01
     2.1500    3.993279E-01  4.491362E-01  1.095379E+00
