# ferrocene-based macrocycle                                     Feff 8.50L  
# Dinnebier et al,  Organometallics 2001, 20, 5642-5647
# doi:10.1021/om0105066
# POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.259 Rnm= 1.308 K  shell
# Pot 1 Z=26 Rmt= 1.298 Rnm= 1.358
# Pot 2 Z= 6 Rmt= 0.856 Rnm= 1.054
# Pot 3 Z= 5 Rmt= 0.932 Rnm= 1.069
# Pot 4 Z= 7 Rmt= 0.778 Rnm= 0.961
# Pot 5 Z= 8 Rmt= 0.780 Rnm= 0.992
# Pot 6 Z= 1 Rmt= 0.751 Rnm= 0.908
# Gam_ch=1.309E+00 H-L exch
# Mu=-8.153E+00 kf=2.415E+00 Vint=-1.737E+01 Rs_int= 1.502
# PATH  Rmax= 3.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.941                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      1.00     2   2.0264
#           2       0.00000     98.80      1.00     2   2.0369
#           3       0.00000     96.85      1.00     2   2.0542
#           4       0.00000     96.75      1.00     2   2.0550
#           5       0.00000     94.97      1.00     2   2.0714
#           6       0.00000     93.95      1.00     2   2.0808
#           7       0.00000     93.60      1.00     2   2.0842
#           8       0.00000     93.52      1.00     2   2.0849
#           9       0.00000     93.27      1.00     2   2.0873
#          10       0.00000     92.00      1.00     2   2.0995
#          11       0.00000     65.67      2.00     3   2.7457
#          12       0.00000     64.71      2.00     3   2.7586
#          13       0.00000     62.64      2.00     3   2.7757
#          14       0.00000     62.70      2.00     3   2.7795
#          15       0.00000     10.14      1.00     2   2.7842
#          16       0.00000     62.40      2.00     3   2.7852
#          17       0.00000     61.73      2.00     3   2.7898
#          18       0.00000     10.05      1.00     2   2.7946
#          19       0.00000     10.03      1.00     2   2.7966
#          20       0.00000     61.05      2.00     3   2.7976
#          21       0.00000     60.79      2.00     3   2.8026
#          22       0.00000     60.78      2.00     3   2.8060
#          23       0.00000     60.98      2.00     3   2.8060
#          24       0.00000      9.93      1.00     2   2.8080
#          25       0.00000      9.82      1.00     2   2.8217
#          26       0.00000      9.74      1.00     2   2.8308
#          27       0.00000      9.71      1.00     2   2.8345
#          28       0.00000      9.55      1.00     2   2.8537
#          29       0.00000     23.17      2.00     3   2.9476
#          30       0.00000     22.97      2.00     3   2.9597
#          31       0.00000     22.08      2.00     3   2.9660
#          32       0.00000     22.39      2.00     3   2.9743
#          33       0.00000     22.34      2.00     3   2.9940
#          34       0.00000     21.53      2.00     3   2.9938
#    34/  34 paths used
#  xsedge+50, used to normalize mu           3.0659E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7115.990     -8.153   0.000 -4.84453E-01  4.40785E-01 -1.08501E+00
    7115.999     -8.144   0.050 -4.67357E-01  4.48883E-01 -1.07312E+00
    7116.028     -8.115   0.100 -4.50232E-01  4.56981E-01 -1.06122E+00
    7116.075     -8.067   0.150 -3.99494E-01  4.80753E-01 -1.02590E+00
    7116.142     -8.001   0.200 -3.48568E-01  5.04526E-01 -9.90619E-01
    7116.228     -7.915   0.250 -2.68242E-01  5.40438E-01 -9.33528E-01
    7116.332     -7.810   0.300 -1.87736E-01  5.76349E-01 -8.76899E-01
    7116.456     -7.686   0.350 -8.85524E-02  6.15522E-01 -8.01786E-01
    7116.599     -7.544   0.400  1.01333E-02  6.54695E-01 -7.28387E-01
    7116.761     -7.382   0.450  1.15479E-01  6.89047E-01 -6.42218E-01
    7116.942     -7.201   0.500  2.18723E-01  7.23398E-01 -5.59948E-01
    7117.142     -7.001   0.550  3.21562E-01  7.50941E-01 -4.71591E-01
    7117.361     -6.782   0.600  4.19402E-01  7.78483E-01 -3.90438E-01
    7117.599     -6.543   0.650  5.11514E-01  8.00598E-01 -3.11021E-01
    7117.856     -6.286   0.700  5.95393E-01  8.22714E-01 -2.42022E-01
    7118.133     -6.010   0.750  6.69157E-01  8.41036E-01 -1.81076E-01
    7118.428     -5.715   0.800  7.31990E-01  8.59357E-01 -1.32791E-01
    7118.742     -5.400   0.850  7.81861E-01  8.74935E-01 -9.60685E-02
    7119.076     -5.067   0.900  8.19654E-01  8.90513E-01 -7.24158E-02
    7119.428     -4.715   0.950  8.44330E-01  9.03897E-01 -6.03209E-02
    7119.800     -4.343   1.000  8.57903E-01  9.17281E-01 -5.95864E-02
    7120.190     -3.953   1.050  8.61015E-01  9.28703E-01 -6.73864E-02
    7120.600     -3.543   1.100  8.56089E-01  9.40125E-01 -8.30028E-02
    7121.028     -3.114   1.150  8.45537E-01  9.49701E-01 -1.02205E-01
    7121.476     -2.667   1.200  8.31405E-01  9.59278E-01 -1.24646E-01
    7121.943     -2.200   1.250  8.17263E-01  9.67032E-01 -1.45244E-01
    7122.428     -1.714   1.300  8.04345E-01  9.74787E-01 -1.64452E-01
    7122.933     -1.209   1.350  7.96472E-01  9.80786E-01 -1.77204E-01
    7123.457     -0.686   1.400  7.93898E-01  9.86785E-01 -1.84789E-01
    7124.000     -0.143   1.450  7.99731E-01  9.91075E-01 -1.82930E-01
    7124.562      0.419   1.500  8.13378E-01  9.95365E-01 -1.73624E-01
    7125.143      1.000   1.550  8.36637E-01  9.98076E-01 -1.53925E-01
    7125.743      1.600   1.600  8.68281E-01  1.00079E+00 -1.26260E-01
    7126.362      2.220   1.650  9.08370E-01  1.00206E+00 -8.93299E-02
    7127.000      2.858   1.700  9.55483E-01  1.00332E+00 -4.56480E-02
    7127.658      3.515   1.750  1.00806E+00  1.00333E+00  4.52114E-03
