 Copper example                                                   Feff 8.50L
 POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=29 Rmt= 1.449 Rnm= 1.502 K  shell
 Pot 1 Z=29 Rmt= 1.354 Rnm= 1.391
 Gam_ch=1.729E+00 H-L exch
 Mu=-7.964E+00 kf=1.982E+00 Vint=-1.706E+01 Rs_int= 1.830
 PATH  Rmax= 5.200,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    4      icalc       2
 -----------------------------------------------------------------------
   3  48.000   4.3577    2.6317   -7.96446 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  29 Cu       absorbing atom
    -0.0000   -0.0000   -3.6100  1  29 Cu    
    -1.8050   -0.0000   -1.8050  1  29 Cu    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  3.8237E+00  2.0449E-06 -6.4663E+00  9.628E-01  1.3636E+01  1.5471E+00
  0.100  3.8253E+00  4.4354E-03 -7.3131E+00  9.632E-01  1.3663E+01  1.5502E+00
  0.200  3.8299E+00  8.5073E-03 -8.1098E+00  9.642E-01  1.3743E+01  1.5595E+00
  0.300  3.8374E+00  1.1931E-02 -8.8580E+00  9.658E-01  1.3871E+01  1.5748E+00
  0.400  3.8473E+00  1.4551E-02 -9.5593E+00  9.680E-01  1.4040E+01  1.5959E+00
  0.500  3.8590E+00  1.6338E-02 -1.0215E+01  9.709E-01  1.4239E+01  1.6227E+00
  0.600  3.8718E+00  1.7367E-02 -1.0826E+01  9.742E-01  1.4455E+01  1.6549E+00
  0.700  3.8850E+00  1.7765E-02 -1.1393E+01  9.781E-01  1.4674E+01  1.6923E+00
  0.800  3.8976E+00  1.7682E-02 -1.1914E+01  9.823E-01  1.4880E+01  1.7344E+00
  0.900  3.9088E+00  1.7281E-02 -1.2388E+01  9.870E-01  1.5054E+01  1.7811E+00
  1.000  3.9178E+00  1.6666E-02 -1.2810E+01  9.920E-01  1.5183E+01  1.8322E+00
  1.100  3.9235E+00  1.5997E-02 -1.3179E+01  9.974E-01  1.5253E+01  1.8872E+00
  1.200  3.9254E+00  1.5426E-02 -1.3491E+01  1.003E+00  1.5255E+01  1.9460E+00
  1.300  3.9227E+00  1.5115E-02 -1.3749E+01  1.009E+00  1.5184E+01  2.0085E+00
  1.400  3.9147E+00  1.5217E-02 -1.3962E+01  1.016E+00  1.5041E+01  2.0745E+00
  1.500  3.9010E+00  1.5838E-02 -1.4144E+01  1.022E+00  1.4832E+01  2.1438E+00
  1.600  3.8812E+00  1.6978E-02 -1.4312E+01  1.029E+00  1.4569E+01  2.2163E+00
  1.700  3.8548E+00  1.8546E-02 -1.4478E+01  1.037E+00  1.4266E+01  2.2921E+00
  1.800  3.8216E+00  2.0355E-02 -1.4646E+01  1.044E+00  1.3940E+01  2.3711E+00
  1.900  3.7812E+00  2.2238E-02 -1.4816E+01  1.051E+00  1.3613E+01  2.4534E+00
  2.000  3.7334E+00  2.3951E-02 -1.4987E+01  1.058E+00  1.3303E+01  2.5390E+00
  2.200  3.6157E+00  2.5842E-02 -1.5306E+01  1.069E+00  1.2825E+01  2.7207E+00
  2.400  3.4252E+00  2.5665E-02 -1.5659E+01  1.100E+00  1.1075E+01  2.9342E+00
  2.600  3.3445E+00  3.4620E-02 -1.6090E+01  1.265E+00  6.6670E+00  3.1074E+00
  2.800  3.3374E+00  3.2644E-02 -1.6693E+01  1.306E+00  5.8165E+00  3.2478E+00
  3.000  3.2954E+00  2.8425E-02 -1.7402E+01  1.314E+00  5.4221E+00  3.3979E+00
  3.200  3.2347E+00  2.5980E-02 -1.8297E+01  1.307E+00  5.2594E+00  3.5546E+00
  3.400  3.1623E+00  3.0146E-02 -1.9233E+01  1.291E+00  5.2208E+00  3.7165E+00
  3.600  3.0828E+00  4.1948E-02 -1.9945E+01  1.270E+00  5.2597E+00  3.8829E+00
  3.800  2.9967E+00  5.6486E-02 -2.0458E+01  1.248E+00  5.3517E+00  4.0535E+00
